slot,player_id,player_name,world_cup_team,minutes,overall,league_factor,role_stability,flexible,role_source
GK,182718,Joan García,Spain,4049.0,0.8135541498532886,1.0039733261846715,1.0,False,grid_centered_v2
RB,855,João Cancelo,Portugal,2230.0,0.7085660773886647,0.9949514413862309,0.5151515151515151,True,grid_centered_v2
RCB,30776,Cristian Romero,Argentina,3294.0,0.756119384867475,1.0323374507113539,0.8461538461538461,False,grid_centered_v2
LCB,18776,Çağlar Söyüncü,Türkiye,1087.0,0.7236662928541923,0.9556428965091245,0.4,True,grid_centered_v2
LB,21138,Rayan Aït-Nouri,Algeria,2260.0,0.7364604039059865,1.0163850933289265,0.9354838709677419,False,grid_centered_v2
DM,44,Rodri,Spain,2811.0,0.740186311818419,1.0345321246451415,0.8235294117647058,False,public_anchor
CM,156477,Rayan Cherki,France,2970.0,0.7246671022735635,1.0278111262075817,0.8709677419354839,False,grid_centered_v2
AM,386828,Lamine Yamal,Spain,4201.0,0.8227191748058189,1.0095040886295161,0.5208333333333334,True,grid_centered_v2
RW,154,Lionel Messi,Argentina,3834.0,0.8326262945822291,0.9431699552153526,0.8541666666666666,False,grid_centered_v2
LW,295026,Martin Baturina,Croatia,2182.0,0.7757561839187576,0.9827868986185346,0.5833333333333334,True,grid_centered_v2
ST,278,Kylian Mbappé,France,4228.0,0.7898361405168215,1.016687008356357,0.5625,False,public_anchor
