position_group,player_id,player_name,world_cup_team,overall
GK,182718,Joan García,Spain,0.8125410524471025
GK,46417,Sipho Chaine,South Africa,0.8046814071966015
GK,732,Luca Zidane,Algeria,0.8043659103548025
GK,129058,Bart Verbruggen,Netherlands,0.8042557806630743
GK,1142,Yvon Mvogo,Switzerland,0.8038425360219557
GK,497,Manuel Neuer,Germany,0.8028707723419233
GK,47296,Gerónimo Rulli,Argentina,0.7997316705882923
GK,49866,Uğurcan Çakır,Türkiye,0.7996688084635637
GK,313,David Ospina,Colombia,0.7974102683490653
GK,22221,Mike Maignan,France,0.7968478905510646
GK,138804,Matěj Kovář,Czech Republic,0.7949020493809518
GK,280,Alisson,Brazil,0.7937602436978158
GK,369,Diogo Costa,Portugal,0.789240962485315
GK,702,Oliver Baumann,Germany,0.7886475451264789
GK,353883,Patrick Beach,Australia,0.7880000847914126
GK,119853,Mory Diaw,Senegal,0.7864643240984678
GK,269349,Lukáš Horníček,Czech Republic,0.7860071391917338
GK,2986,Edouard Mendy,Senegal,0.7850101819481448
GK,15304,Vozinha,Cape Verde Islands,0.779702135747165
GK,2892,Seung-gyu Kim,South Korea,0.7784032278788943
CB,30776,Cristian Romero,Argentina,0.7472008842204096
CB,18776,Çağlar Söyüncü,Türkiye,0.7174869516603453
CB,31,José María Giménez,Uruguay,0.7145529983127544
CB,624,Nicolás Otamendi,Argentina,0.711247171057178
CB,69,Brandon Mechele,Belgium,0.710173767974249
CB,47254,Mathías Olivera,Uruguay,0.7037803016899769
CB,101814,Ronald Araújo,Uruguay,0.7024660586819426
CB,38695,Jan Paul van Hecke,Netherlands,0.6898451273466767
CB,295793,Marc Pubill,Spain,0.6797864127569245
CB,135068,Emmanuel Agbadou,Ivory Coast,0.6756153909146266
CB,26300,Ozan Kabak,Türkiye,0.6741346457739429
CB,2897,Min-jae Kim,South Korea,0.6666133623297779
CB,1149,Dayot Upamecano,France,0.6645806152512117
CB,360114,Abdukodir Khusanov,Uzbekistan,0.6641809464191502
CB,25287,Kevin Danso,Austria,0.6619893460136191
CB,265595,Gonçalo Inácio,Portugal,0.6615089006606025
CB,16367,Willian Pacho,Ecuador,0.656419553374564
CB,396623,Pau Cubarsí,Spain,0.655409369567376
CB,390002,Mateo Chávez,Mexico,0.6482551656079723
CB,2467,Lisandro Martínez,Argentina,0.6429523577367886
FB,263482,Nuno Mendes,Portugal,0.7342081475578933
FB,21138,Rayan Aït-Nouri,Algeria,0.7314593087371993
FB,271539,Jaouen Hadjam,Algeria,0.7223121229763196
FB,855,João Cancelo,Portugal,0.7061063545386967
FB,337587,Jordan Bos,Australia,0.6954694945928398
FB,25158,David Raum,Germany,0.694522637234956
FB,563,Alejandro Grimaldo,Spain,0.6828723707777171
FB,502,Joshua Kimmich,Germany,0.6505603708209606
FB,355994,Alexander Freeman,USA,0.6492564257075905
FB,94405,Francis De Vries,New Zealand,0.6468346215465546
FB,9,Achraf Hakimi,Morocco,0.6379388486697729
FB,24845,Julian Ryerson,Norway,0.6363016311071621
FB,81,Krépin Diatta,Senegal,0.6346358730755063
FB,19549,Antonee Robinson,USA,0.6317990664755387
FB,196187,Alidu Seidu,Ghana,0.6294023361726697
FB,51776,Maximiliano Araújo,Uruguay,0.6280463299079829
FB,1231,Vladimír Coufal,Czech Republic,0.626926172607444
FB,1157,Konrad Laimer,Austria,0.6241944011278386
FB,19545,Reece James,England,0.6187005397569103
FB,38735,Sergiño Dest,USA,0.6167717588252039
DM,133609,Pedri,Spain,0.7408951815737805
DM,44,Rodri,Spain,0.7352109233164771
DM,271,Leandro Paredes,Argentina,0.6953525135726206
DM,374058,Lamine Camara,Senegal,0.6940569055375083
DM,2869,Edson Álvarez,Mexico,0.6611020214503045
DM,162714,Amadou Onana,Belgium,0.6574344668913804
DM,137210,Angelo Stiller,Germany,0.6458991796070358
DM,2926,Youri Tielemans,Belgium,0.6411563220889813
DM,41552,Pathé Ismaël Ciss,Senegal,0.6353135540036322
DM,511,Leon Goretzka,Germany,0.6225778233670196
DM,277003,Neil El Aynaoui,Morocco,0.6132862715672786
DM,16841,Mohanad Lasheen,Egypt,0.6022814533042561
DM,409,Nabil Bentaleb,Algeria,0.5988458454570937
DM,416901,Niko Sigur,Canada,0.595812957748708
DM,328033,Aleksandar Pavlović,Germany,0.5914345309033763
DM,96512,Kevin Lenini,Cape Verde Islands,0.5893774674216845
DM,153083,Emiliano Martínez,Uruguay,0.588314470913675
DM,1464,Granit Xhaka,Switzerland,0.5841970963283174
DM,1934,Sander Berge,Norway,0.5830856274464148
DM,280358,Jens Castrop,South Korea,0.5731781234684346
CM,156477,Rayan Cherki,France,0.7209995237813306
CM,538,Frenkie de Jong,Netherlands,0.7059027844166171
CM,129718,Jude Bellingham,England,0.6879490092407702
CM,319572,Valentín Barco,Argentina,0.6872933305921385
CM,128384,Vitinha,Portugal,0.6745366707182555
CM,1640,Hakan Çalhanoğlu,Türkiye,0.6577215699676474
CM,214463,İsmail Yüksek,Türkiye,0.6564877065814836
CM,6067,Thiago Almada,Argentina,0.6540155037230473
CM,2676,Rúben Neves,Portugal,0.653730372150864
CM,754,Luka Modrić,Croatia,0.6526845805438639
