player_id,player_name,detailed_fixtures,detailed_minutes,current_window_fixtures,pre_world_cup_fixtures,provider_position_rate,passes_rate,has_lineup_evidence,world_cup_team,squad_position,reported_minutes,benchmark_precheck
5,Manuel Akanji,54,4554.0,51,48,1.0,1.0,True,Switzerland,Defender,4981.0,True
9,Achraf Hakimi,50,4234.0,43,44,1.0,1.0,True,Morocco,Defender,4466.0,True
17,Christian Pulišić,38,2030.0,38,34,1.0,1.0,True,USA,Midfielder,2607.0,True
20,Axel Witsel,34,2564.0,34,32,1.0,1.0,True,Belgium,Midfielder,2678.0,True
30,Santiago Arias,2,177.0,2,1,1.0,1.0,True,Colombia,Defender,4115.0,True
31,José María Giménez,25,1537.0,25,25,1.0,1.0,True,Uruguay,Defender,2569.0,True
33,Lucas Hernández,40,2182.0,36,40,1.0,1.0,True,France,Defender,2291.0,True
44,Rodri,44,2983.0,40,37,1.0,1.0,True,Spain,Midfielder,3076.0,True
49,Thomas Partey,35,1602.0,35,32,1.0,0.9714285714285714,True,Ghana,Midfielder,2722.0,True
69,Brandon Mechele,56,5023.0,56,50,1.0,1.0,True,Belgium,Defender,5448.0,True
74,Sofyan Amrabat,35,2369.0,35,32,1.0,0.9714285714285714,True,Morocco,Midfielder,2721.0,True
78,Hans Vanaken,56,4687.0,56,50,1.0,1.0,True,Belgium,Midfielder,5007.0,True
81,Krépin Diatta,32,2180.0,32,28,1.0,1.0,True,Senegal,Defender,2517.0,True
130,Nélson Semedo,43,3025.0,43,39,1.0,1.0,True,Portugal,Defender,3235.0,True
153,Ousmane Dembélé,51,2961.0,47,44,1.0,1.0,True,France,Midfielder,3192.0,True
154,Lionel Messi,39,3496.0,32,32,1.0,1.0,True,Argentina,Attacker,7195.0,True
168,Davinson Sánchez,51,4324.0,50,46,1.0,1.0,True,Colombia,Defender,5466.0,True
184,Harry Kane,63,5077.0,58,56,1.0,1.0,True,England,Attacker,5228.0,True
186,Heung-min Son,26,2011.0,26,23,1.0,1.0,True,South Korea,Attacker,4495.0,True
207,Ivan Perišić,46,3330.0,46,42,1.0,1.0,True,Croatia,Defender,3578.0,True
217,Lautaro Martínez,54,3512.0,50,47,1.0,0.9814814814814815,True,Argentina,Attacker,4844.0,True
221,Eloy Room,12,1096.0,9,9,1.0,1.0,True,Curaçao,Goalkeeper,1294.0,False
225,Aziz Behich,17,1504.0,17,14,1.0,1.0,True,Australia,Midfielder,4313.0,True
226,Denzel Dumfries,34,2315.0,32,30,1.0,1.0,True,Netherlands,Midfielder,2653.0,True
228,Armando Obispo,33,2031.0,33,30,1.0,1.0,True,Curaçao,Defender,2132.0,True
241,Michal Sadílek,39,2792.0,39,36,1.0,1.0,True,Czech Republic,Midfielder,2929.0,True
242,Ryan Thomas,11,725.0,11,8,1.0,1.0,True,New Zealand,Midfielder,2532.0,True
247,Cody Gakpo,56,3972.0,56,52,1.0,1.0,True,Netherlands,Attacker,4345.0,True
249,Donyell Malen,52,3016.0,52,49,1.0,0.9038461538461539,True,Netherlands,Attacker,3344.0,True
257,Marquinhos,46,3842.0,39,41,1.0,1.0,True,Brazil,Defender,5209.0,True
264,Thomas Meunier,38,2744.0,38,35,1.0,1.0,True,Belgium,Defender,3124.0,True
271,Leandro Paredes,11,789.0,10,5,1.0,1.0,True,Argentina,Midfielder,4285.0,True
272,Adrien Rabiot,39,3405.0,39,33,1.0,1.0,True,France,Midfielder,3658.0,True
276,Neymar,5,302.0,5,3,1.0,1.0,True,Brazil,Attacker,3682.0,True
278,Kylian Mbappé,54,4363.0,51,47,1.0,1.0,True,France,Attacker,4582.0,True
280,Alisson,43,3841.0,42,38,1.0,1.0,True,Brazil,Goalkeeper,4566.0,True
289,Andrew Robertson,38,2158.0,38,35,1.0,0.9736842105263158,True,Scotland,Defender,2766.0,True
290,Virgil van Dijk,59,5331.0,59,55,1.0,1.0,True,Netherlands,Defender,5711.0,True
292,Jordan Henderson,34,2061.0,34,33,1.0,1.0,True,England,Midfielder,2262.0,True
299,Fabinho,43,3600.0,43,40,1.0,1.0,True,Brazil,Midfielder,5291.0,True
304,Sadio Mané,41,3389.0,41,37,1.0,1.0,True,Senegal,Midfielder,4360.0,True
306,Mohamed Salah,52,4145.0,52,47,1.0,1.0,True,Egypt,Attacker,4285.0,True
318,Kalidou Koulibaly,34,2956.0,29,32,1.0,1.0,True,Senegal,Defender,3136.0,True
328,Fabián Ruiz,48,2859.0,41,41,1.0,1.0,True,Spain,Midfielder,2715.0,True
369,Diogo Costa,50,4460.0,50,45,1.0,1.0,True,Portugal,Goalkeeper,7705.0,True
375,Chancel Mbemba,30,2531.0,30,26,1.0,0.9666666666666667,True,Congo DR,Defender,2621.0,True
399,Alexander Nübel,49,4476.0,49,49,1.0,1.0,True,Germany,Goalkeeper,4641.0,True
409,Nabil Bentaleb,41,2303.0,41,37,1.0,1.0,True,Algeria,Midfielder,2702.0,True
415,Weston McKennie,57,4592.0,53,52,1.0,1.0,True,USA,Midfielder,4961.0,True
421,Breel Embolo,38,2423.0,38,32,1.0,1.0,True,Switzerland,Attacker,3139.0,True
427,Haji Wright,18,840.0,17,16,1.0,1.0,True,USA,Attacker,2923.0,True
429,Fernando Muslera,8,681.0,8,5,1.0,1.0,True,Uruguay,Goalkeeper,4102.0,True
440,Yuto Nagatomo,2,93.0,2,1,1.0,1.0,True,Japan,Defender,2321.0,True
454,Yunus Akgün,42,2553.0,42,40,1.0,0.9761904761904762,True,Türkiye,Midfielder,2658.0,True
497,Manuel Neuer,46,4050.0,41,42,1.0,1.0,True,Germany,Goalkeeper,4320.0,True
502,Joshua Kimmich,58,4828.0,53,54,1.0,1.0,True,Germany,Defender,5132.0,True
505,David Alaba,20,867.0,20,16,1.0,1.0,True,Austria,Defender,941.0,False
509,Alphonso Davies,24,874.0,24,23,1.0,1.0,True,Canada,Defender,1076.0,False
511,Leon Goretzka,54,2584.0,51,51,1.0,0.9629629629629629,True,Germany,Midfielder,2748.0,True
517,James Rodríguez,17,958.0,16,12,1.0,1.0,True,Colombia,Attacker,3427.0,True
524,Dominik Kotarski,22,2010.0,22,22,1.0,1.0,True,Croatia,Goalkeeper,4111.0,True
529,Nicolás Tagliafico,35,2394.0,35,29,1.0,1.0,True,Argentina,Defender,3844.0,True
538,Frenkie de Jong,42,2906.0,42,38,1.0,1.0,True,Netherlands,Midfielder,3137.0,True
542,Ryan Gravenberch,54,4478.0,54,50,1.0,1.0,True,Netherlands,Midfielder,4785.0,True
544,Noa Lang,46,1952.0,46,44,1.0,1.0,True,Netherlands,Attacker,2027.0,True
545,Noussair Mazraoui,33,2136.0,33,27,1.0,0.9696969696969697,True,Morocco,Defender,2775.0,True
563,Alejandro Grimaldo,46,4038.0,46,46,1.0,1.0,True,Spain,Defender,4263.0,True
567,Rúben Dias,40,3241.0,37,36,1.0,1.0,True,Portugal,Defender,3579.0,True
583,João Félix,42,3478.0,42,39,1.0,1.0,True,Portugal,Midfielder,3587.0,True
617,Ederson,38,3426.0,35,38,1.0,1.0,True,Brazil,Goalkeeper,4226.0,True
619,Eric García,51,3953.0,51,51,1.0,1.0,True,Spain,Defender,3998.0,True
622,Aymeric Laporte,36,2973.0,36,29,1.0,1.0,True,Spain,Defender,3198.0,True
624,Nicolás Otamendi,58,4729.0,53,52,1.0,0.9827586206896551,True,Argentina,Defender,6580.0,True
626,John Stones,23,1497.0,23,18,1.0,0.9565217391304348,True,England,Defender,1685.0,False
629,Kevin De Bruyne,26,1747.0,26,21,1.0,1.0,True,Belgium,Midfielder,2036.0,True
635,Riyad Mahrez,46,3761.0,46,42,1.0,1.0,True,Algeria,Midfielder,3891.0,True
636,Bernardo Silva,60,4236.0,57,56,1.0,1.0,True,Portugal,Midfielder,4452.0,True
637,Felix Nmecha,51,3671.0,46,47,1.0,1.0,True,Germany,Midfielder,4103.0,True
644,Leroy Sané,48,3725.0,45,44,1.0,1.0,True,Germany,Midfielder,3782.0,True
658,Houssem Aouar,34,2736.0,34,31,1.0,1.0,True,Algeria,Attacker,2930.0,True
667,Memphis Depay,11,639.0,11,8,1.0,1.0,True,Netherlands,Attacker,4158.0,True
702,Oliver Baumann,36,3270.0,36,36,1.0,1.0,True,Germany,Goalkeeper,3540.0,True
706,Joshua Brenet,9,663.0,7,7,1.0,1.0,True,Curaçao,Defender,2731.0,True
711,Stefan Posch,38,2494.0,38,34,1.0,0.9473684210526315,True,Austria,Defender,2744.0,True
714,Nadiem Amiri,37,2878.0,37,35,1.0,1.0,True,Germany,Midfielder,2899.0,True
719,Florian Grillitsch,30,1790.0,30,28,1.0,1.0,True,Austria,Midfielder,1951.0,True
