fixture_id,league_id,league_name,season,target_players,reason
1431049,18,AFC Champions League Two,2025,1,pilot_zero_player_endpoint
1415916,301,Pro League,2025,1,pilot_zero_player_endpoint
1415917,301,Pro League,2025,1,pilot_zero_player_endpoint
1415918,301,Pro League,2025,3,pilot_zero_player_endpoint
1415919,301,Pro League,2025,5,pilot_zero_player_endpoint
1404268,296,Thai League 1,2025,1,pilot_zero_player_endpoint
1415920,301,Pro League,2025,1,pilot_zero_player_endpoint
1415921,301,Pro League,2025,1,pilot_zero_player_endpoint
1415922,301,Pro League,2025,1,pilot_zero_player_endpoint
1415923,301,Pro League,2025,3,pilot_zero_player_endpoint
1415924,301,Pro League,2025,1,pilot_zero_player_endpoint
1415926,301,Pro League,2025,4,pilot_zero_player_endpoint
1415927,301,Pro League,2025,2,pilot_zero_player_endpoint
1442427,296,Thai League 1,2025,1,pilot_zero_player_endpoint
1415928,301,Pro League,2025,2,pilot_zero_player_endpoint
1415929,301,Pro League,2025,1,pilot_zero_player_endpoint
1415588,318,1. Division,2025,1,pilot_zero_player_endpoint
1442428,296,Thai League 1,2025,1,pilot_zero_player_endpoint
1415600,318,1. Division,2025,1,pilot_zero_player_endpoint
1415598,318,1. Division,2025,4,pilot_zero_player_endpoint
1446895,301,Pro League,2025,3,pilot_zero_player_endpoint
1446896,301,Pro League,2025,2,pilot_zero_player_endpoint
1446898,301,Pro League,2025,1,pilot_zero_player_endpoint
1446899,301,Pro League,2025,2,pilot_zero_player_endpoint
1446592,296,Thai League 1,2025,1,pilot_zero_player_endpoint
1446900,301,Pro League,2025,2,pilot_zero_player_endpoint
1415607,318,1. Division,2025,1,pilot_zero_player_endpoint
1446901,301,Pro League,2025,3,pilot_zero_player_endpoint
1415603,318,1. Division,2025,3,pilot_zero_player_endpoint
1415606,318,1. Division,2025,1,pilot_zero_player_endpoint
1438568,18,AFC Champions League Two,2025,2,pilot_zero_player_endpoint
1438572,18,AFC Champions League Two,2025,4,pilot_zero_player_endpoint
1415590,318,1. Division,2025,1,pilot_zero_player_endpoint
1438573,18,AFC Champions League Two,2025,2,pilot_zero_player_endpoint
1438576,18,AFC Champions League Two,2025,9,pilot_zero_player_endpoint
1438578,18,AFC Champions League Two,2025,2,pilot_zero_player_endpoint
1438581,18,AFC Champions League Two,2025,1,pilot_zero_player_endpoint
1446596,296,Thai League 1,2025,1,pilot_zero_player_endpoint
1446902,301,Pro League,2025,1,pilot_zero_player_endpoint
1446903,301,Pro League,2025,2,pilot_zero_player_endpoint
1446904,301,Pro League,2025,3,pilot_zero_player_endpoint
1446905,301,Pro League,2025,3,pilot_zero_player_endpoint
1415610,318,1. Division,2025,1,pilot_zero_player_endpoint
1446906,301,Pro League,2025,2,pilot_zero_player_endpoint
1446907,301,Pro League,2025,2,pilot_zero_player_endpoint
1415609,318,1. Division,2025,3,pilot_zero_player_endpoint
1415614,318,1. Division,2025,1,pilot_zero_player_endpoint
1446909,301,Pro League,2025,2,pilot_zero_player_endpoint
1415592,318,1. Division,2025,3,pilot_zero_player_endpoint
