league_id,league_name,league_type,country,season,coverage_events,coverage_lineups,coverage_fixture_statistics,coverage_player_statistics,coverage_players,coverage_injuries,coverage_predictions,coverage_odds,coverage_standings,season_start,season_end
1,World Cup,Cup,World,2026,True,True,True,True,True,True,True,True,True,2026-06-11,2026-07-19
2,UEFA Champions League,Cup,World,2025,True,True,True,True,True,True,True,False,True,2025-07-08,2026-05-30
2,UEFA Champions League,Cup,World,2026,True,True,True,True,True,False,True,True,False,2026-07-07,2026-07-29
3,UEFA Europa League,Cup,World,2025,True,True,True,True,True,True,True,False,True,2025-07-10,2026-05-20
6,Africa Cup of Nations,Cup,World,2025,True,True,True,True,True,False,True,False,True,2025-12-21,2026-01-18
10,Friendlies,Cup,World,2025,True,True,True,True,True,False,True,False,False,2025-01-04,2025-12-21
10,Friendlies,Cup,World,2026,True,True,True,True,True,False,True,True,False,2026-01-01,2026-11-15
11,CONMEBOL Sudamericana,Cup,World,2025,True,True,True,True,True,False,True,False,True,2025-03-05,2025-11-22
11,CONMEBOL Sudamericana,Cup,World,2026,True,True,True,True,True,False,True,True,True,2026-03-03,2026-07-29
12,CAF Champions League,Cup,World,2025,True,True,True,True,True,False,True,False,True,2025-09-16,2026-05-24
13,CONMEBOL Libertadores,Cup,World,2025,True,True,True,True,True,True,True,False,True,2025-02-05,2025-11-29
13,CONMEBOL Libertadores,Cup,World,2026,True,True,True,True,True,False,True,False,True,2026-02-04,2026-08-18
15,FIFA Club World Cup,Cup,World,2025,True,True,True,True,True,False,True,False,True,2025-06-15,2025-07-13
16,CONCACAF Champions League,Cup,World,2025,True,True,True,True,True,False,True,False,False,2025-02-05,2025-06-02
16,CONCACAF Champions League,Cup,World,2026,True,True,True,True,True,False,True,False,False,2026-02-04,2026-05-30
17,AFC Champions League Elite,Cup,World,2025,True,True,True,True,True,True,True,False,True,2025-08-12,2026-04-25
18,AFC Champions League Two,Cup,World,2025,True,True,True,True,True,False,True,False,False,2025-08-13,2026-05-16
20,CAF Confederation Cup,Cup,World,2025,True,True,True,True,True,False,True,False,True,2025-09-16,2026-05-16
22,CONCACAF Gold Cup,Cup,World,2025,True,True,True,True,True,False,True,False,True,2025-06-15,2025-07-06
23,EAFF E-1 Football Championship,Cup,World,2025,True,False,False,False,True,False,True,False,False,2025-07-07,2025-07-15
30,World Cup - Qualification Asia,Cup,World,2026,True,True,True,True,True,False,True,False,True,2023-10-12,2025-11-18
31,World Cup - Qualification CONCACAF,Cup,World,2026,True,True,True,True,True,True,True,False,True,2024-03-22,2025-11-19
33,World Cup - Qualification Oceania,Cup,World,2026,True,True,False,False,True,False,True,False,False,2024-09-05,2025-03-24
34,World Cup - Qualification South America,Cup,World,2026,True,True,True,True,True,False,True,False,True,2023-09-07,2025-09-09
37,World Cup - Qualification Intercontinental Play-offs,Cup,World,2026,True,True,True,True,True,False,True,False,False,2026-03-26,2026-03-31
38,UEFA U21 Championship,Cup,World,2025,True,True,True,True,True,False,True,False,True,2025-06-11,2025-06-28
39,Premier League,League,England,2025,True,True,True,True,True,True,True,False,True,2025-08-15,2026-05-24
40,Championship,League,England,2025,True,True,True,True,True,True,True,False,True,2025-08-08,2026-05-23
41,League One,League,England,2025,True,True,True,True,True,True,True,False,True,2025-08-01,2026-05-24
45,FA Cup,Cup,England,2025,True,True,True,True,True,False,True,False,False,2025-08-01,2026-05-16
46,EFL Trophy,Cup,England,2025,True,True,True,True,True,False,True,False,True,2025-08-26,2026-04-12
48,League Cup,Cup,England,2025,True,True,True,True,True,True,True,False,False,2025-07-29,2026-03-22
61,Ligue 1,League,France,2025,True,True,True,True,True,True,True,False,True,2025-08-15,2026-05-29
62,Ligue 2,League,France,2025,True,True,True,True,True,True,True,False,True,2025-08-09,2026-05-24
63,National 1,League,France,2025,True,True,False,False,True,True,True,False,True,2025-08-08,2026-05-15
66,Coupe de France,Cup,France,2025,True,True,True,True,True,False,True,False,False,2025-11-14,2026-05-22
67,National 2 - Group A,League,France,2025,True,True,False,False,True,False,True,False,True,2025-08-16,2026-05-16
71,Serie A,League,Brazil,2025,True,True,True,True,True,True,True,False,True,2025-03-29,2025-12-07
71,Serie A,League,Brazil,2026,True,True,True,True,True,True,True,True,True,2026-01-28,2026-12-02
73,Copa Do Brasil,Cup,Brazil,2025,True,True,True,True,True,False,True,False,False,2025-02-18,2025-12-21
73,Copa Do Brasil,Cup,Brazil,2026,True,True,True,True,True,False,True,False,False,2026-02-17,2026-08-05
78,Bundesliga,League,Germany,2025,True,True,True,True,True,True,True,False,True,2025-08-22,2026-05-25
79,2. Bundesliga,League,Germany,2025,True,True,True,True,True,True,True,False,True,2025-08-01,2026-05-26
80,3. Liga,League,Germany,2025,True,True,True,True,True,True,True,False,True,2025-08-01,2026-05-16
81,DFB Pokal,Cup,Germany,2025,True,True,True,True,True,True,True,False,False,2025-08-15,2026-05-23
88,Eredivisie,League,Netherlands,2025,True,True,True,True,True,True,True,False,True,2025-08-08,2026-05-24
89,Eerste Divisie,League,Netherlands,2025,True,True,True,True,True,True,True,False,True,2025-08-08,2026-05-23
90,KNVB Beker,Cup,Netherlands,2025,True,True,True,True,True,False,True,False,False,2025-09-02,2026-04-19
94,Primeira Liga,League,Portugal,2025,True,True,True,True,True,True,True,False,True,2025-08-08,2026-05-28
95,Segunda Liga,League,Portugal,2025,True,True,True,True,True,False,True,False,True,2025-08-09,2026-05-29
96,Taça de Portugal,Cup,Portugal,2025,True,True,True,True,True,False,True,False,False,2025-08-30,2026-05-24
98,J1 League,League,Japan,2025,True,True,True,True,True,True,True,False,True,2025-02-14,2025-12-06
98,J1 League,League,Japan,2026,True,True,True,True,True,False,True,False,True,2026-02-06,2026-06-06
99,J2 League,League,Japan,2025,True,True,False,False,True,True,True,False,True,2025-02-15,2025-12-14
101,J-League Cup,Cup,Japan,2025,True,True,False,False,True,False,True,False,True,2025-03-20,2025-11-01
102,Emperor Cup,Cup,Japan,2025,True,True,False,False,True,True,True,False,False,2025-05-24,2025-11-22
103,Eliteserien,League,Norway,2025,True,True,True,True,True,True,True,False,True,2025-03-29,2025-12-11
103,Eliteserien,League,Norway,2026,True,True,True,True,True,True,True,True,True,2026-03-14,2026-12-06
104,1. Division,League,Norway,2025,True,True,False,False,True,True,True,False,True,2025-03-31,2025-11-30
105,NM Cupen,Cup,Norway,2025,True,True,False,False,True,False,True,False,False,2025-03-26,2025-12-06
106,Ekstraklasa,League,Poland,2025,True,True,True,True,True,True,True,False,True,2025-07-18,2026-05-23
113,Allsvenskan,League,Sweden,2025,True,True,True,True,True,True,True,False,True,2025-03-29,2025-11-29
113,Allsvenskan,League,Sweden,2026,True,True,True,True,True,True,True,True,True,2026-04-04,2026-11-29
114,Superettan,League,Sweden,2026,True,True,True,True,True,False,True,True,True,2026-04-03,2026-11-07
119,Superliga,League,Denmark,2025,True,True,True,True,True,True,True,False,True,2025-07-18,2026-05-21
128,Liga Profesional Argentina,League,Argentina,2025,True,True,True,True,True,True,True,False,True,2025-01-23,2025-12-14
128,Liga Profesional Argentina,League,Argentina,2026,True,True,True,True,True,False,True,True,True,2026-01-22,2026-11-08
130,Copa Argentina,Cup,Argentina,2025,True,True,False,False,True,False,True,False,False,2025-01-23,2025-11-15
135,Serie A,League,Italy,2025,True,True,True,True,True,True,True,False,True,2025-08-23,2026-05-24
136,Serie B,League,Italy,2025,True,True,True,True,True,True,True,False,True,2025-08-22,2026-05-29
137,Coppa Italia,Cup,Italy,2025,True,True,True,True,True,False,True,False,False,2025-08-09,2026-05-13
140,La Liga,League,Spain,2025,True,True,True,True,True,True,True,False,True,2025-08-15,2026-05-24
141,Segunda División,League,Spain,2025,True,True,True,True,True,True,True,False,True,2025-08-15,2026-06-20
143,Copa del Rey,Cup,Spain,2025,True,True,True,True,True,False,True,False,False,2025-09-27,2026-04-18
144,Jupiler Pro League,League,Belgium,2025,True,True,True,True,True,True,True,False,True,2025-07-25,2026-05-31
145,Challenger Pro League,League,Belgium,2025,True,True,True,True,True,True,True,False,True,2025-08-08,2026-04-18
147,Cup,Cup,Belgium,2025,True,True,False,False,True,False,True,False,False,2025-08-02,2026-05-14
162,Primera División,League,Costa-Rica,2025,True,True,False,False,True,True,True,False,True,2025-07-25,2026-05-17
169,Super League,League,China,2026,True,True,True,True,True,False,True,True,True,2026-03-06,2026-11-08
172,First League,League,Bulgaria,2025,True,True,True,True,True,True,True,False,True,2025-07-18,2026-05-29
179,Premiership,League,Scotland,2025,True,True,True,True,True,True,True,False,True,2025-08-02,2026-05-25
182,Challenge Cup,Cup,Scotland,2025,True,True,False,False,True,False,True,False,False,2025-08-12,2026-03-28
185,League Cup,Cup,Scotland,2025,True,True,True,False,True,False,True,False,False,2025-07-11,2025-12-14
186,Ligue 1,League,Algeria,2025,True,True,False,False,True,True,True,False,True,2025-08-21,2026-06-06
188,A-League,League,Australia,2025,True,True,True,True,True,True,True,False,True,2025-10-17,2026-05-23
197,Super League 1,League,Greece,2025,True,True,True,True,True,True,True,False,True,2025-08-23,2026-05-21
199,Cup,Cup,Greece,2025,True,True,True,False,True,False,True,False,False,2025-08-18,2026-04-25
200,Botola Pro,League,Morocco,2025,True,True,True,False,True,False,True,False,True,2025-09-12,2026-07-21
202,Ligue 1,League,Tunisia,2025,True,True,False,False,True,True,True,False,True,2025-08-09,2026-05-13
203,Süper Lig,League,Turkey,2025,True,True,True,True,True,True,True,False,True,2025-08-08,2026-05-17
204,1. Lig,League,Turkey,2025,True,True,True,True,True,True,True,False,True,2025-08-08,2026-05-24
206,Türkiye Kupası,Cup,Turkey,2025,True,True,True,True,True,False,True,False,True,2025-09-02,2026-05-22
207,Super League,League,Switzerland,2025,True,True,True,True,True,True,True,False,True,2025-07-25,2026-05-21
209,Schweizer Cup,Cup,Switzerland,2025,True,True,False,False,True,False,True,False,False,2025-08-15,2026-05-24
210,HNL,League,Croatia,2025,True,True,True,True,True,True,True,False,True,2025-08-01,2026-05-23
218,Bundesliga,League,Austria,2025,True,True,True,True,True,True,True,False,True,2025-08-01,2026-05-25
220,Cup,Cup,Austria,2025,True,True,False,False,True,False,True,False,False,2025-07-25,2026-05-01
233,Premier League,League,Egypt,2025,True,True,True,True,True,False,True,False,True,2025-08-08,2026-05-28
234,Liga Nacional,League,Honduras,2025,True,True,False,False,True,False,True,False,True,2025-07-23,2026-05-24
235,Premier League,League,Russia,2025,True,True,True,True,True,True,True,False,True,2025-07-18,2026-05-23
237,Cup,Cup,Russia,2025,True,True,True,False,True,False,True,False,False,2025-07-29,2026-05-24
239,Primera A,League,Colombia,2025,True,True,True,True,True,True,True,False,True,2025-01-24,2025-12-17
