player_id,player_name,world_cup_team_id,world_cup_team,squad_position,age,number,profile_name,season_query,season,team_id,team_name,league_id,league_name,league_country,appearances,lineups,minutes,provider_position,provider_rating
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2025,2025,50.0,Manchester City,15,FIFA Club World Cup,World,3.0,1.0,157.0,Defender,7.200000
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2025,2025,50.0,Manchester City,667,Friendlies Clubs,World,3.0,1.0,157.0,Defender,7.200000
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2025,2025,15.0,Switzerland,10,Friendlies,World,2.0,2.0,107.0,Defender,6.6
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2025,2025,505.0,Inter,547,Super Cup,Italy,0.0,0.0,0.0,Defender,
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2025,2025,505.0,Inter,137,Coppa Italia,Italy,2.0,2.0,186.0,Defender,6.75
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2025,2025,505.0,Inter,135,Serie A,Italy,33.0,31.0,2820.0,Defender,7.15
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2025,2025,50.0,Manchester City,39,Premier League,England,0.0,0.0,0.0,Defender,
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2025,2025,505.0,Inter,2,UEFA Champions League,World,10.0,7.0,707.0,Defender,6.94
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2026,2026,15.0,Switzerland,1,World Cup,World,6.0,6.0,600.0,Defender,7.03
5,M. Akanji,15,Switzerland,Defender,30,5,M. Akanji,2026,2026,15.0,Switzerland,10,Friendlies,World,4.0,4.0,247.0,Defender,6.7
9,A. Hakimi,31,Morocco,Defender,27,2,A. Hakimi,2025,2025,85.0,Paris Saint Germain,531,UEFA Super Cup,World,1.0,1.0,90.0,Defender,7.200000
9,A. Hakimi,31,Morocco,Defender,27,2,A. Hakimi,2025,2025,85.0,Paris Saint Germain,15,FIFA Club World Cup,World,5.0,5.0,413.0,Defender,7.560000
9,A. Hakimi,31,Morocco,Defender,27,2,A. Hakimi,2025,2025,31.0,Morocco,10,Friendlies,World,3.0,2.0,198.0,Defender,7.93
