player_id,player_name,world_cup_team_id,world_cup_team,squad_position,age,number,has_2025_statistics,has_2026_statistics,failed_2025_query,failed_2026_query,competition_stat_lines,reported_minutes_across_lines
5,M. Akanji,15,Switzerland,Defender,30,5,True,True,False,False,10,4981.0
9,A. Hakimi,31,Morocco,Defender,27,2,True,True,False,False,8,4466.0
17,C. Pulisic,2384,USA,Midfielder,27,10,True,True,False,False,7,2607.0
20,A. Witsel,1,Belgium,Midfielder,36,6,True,True,False,False,3,2678.0
30,S. Arias,8,Colombia,Defender,33,4,True,True,False,False,12,4115.0
31,J. Giménez,7,Uruguay,Defender,30,2,True,True,False,False,8,2569.0
33,L. Hernández,2,France,Defender,29,21,True,True,False,False,9,2291.0
44,Rodri,9,Spain,Midfielder,29,16,True,True,False,False,7,3076.0
49,T. Partey,1504,Ghana,Midfielder,32,5,True,True,False,False,6,2722.0
69,B. Mechele,1,Belgium,Defender,32,4,True,True,False,False,4,5448.0
74,S. Amrabat,31,Morocco,Midfielder,29,4,True,True,False,False,9,2721.0
78,H. Vanaken,1,Belgium,Midfielder,33,20,True,True,False,False,4,5007.0
81,K. Diatta,13,Senegal,Defender,26,15,True,True,False,False,7,2517.0
130,Nélson Semedo,27,Portugal,Defender,32,2,True,True,False,False,6,3235.0
153,O. Dembélé,2,France,Midfielder,28,7,True,True,False,False,9,3192.0
154,L. Messi,26,Argentina,Attacker,38,10,True,True,False,False,11,7195.0
168,D. Sánchez,8,Colombia,Defender,29,23,True,True,False,False,9,5466.0
184,H. Kane,10,England,Attacker,32,9,True,True,False,False,9,5228.0
186,Son Heung-Min,17,South Korea,Attacker,33,7,True,True,False,False,8,4495.0
207,I. Perisic,3,Croatia,Defender,36,14,True,True,False,False,6,3578.0
217,Lautaro Martínez,26,Argentina,Attacker,28,22,True,True,False,False,10,4844.0
221,E. Room,5530,Curaçao,Goalkeeper,36,1,True,True,False,False,6,1294.0
225,A. Behich,20,Australia,Midfielder,35,16,True,True,False,False,6,4313.0
226,D. Dumfries,1118,Netherlands,Midfielder,29,22,True,True,False,False,7,2653.0
228,A. Obispo,5530,Curaçao,Defender,26,18,True,True,False,False,6,2132.0
241,M. Sadílek,770,Czech Republic,Midfielder,26,18,True,True,False,False,4,2929.0
242,R. Thomas,4673,New Zealand,Midfielder,31,23,True,True,False,False,4,2532.0
247,C. Gakpo,1118,Netherlands,Attacker,26,11,True,True,False,False,7,4345.0
249,D. Malen,1118,Netherlands,Attacker,26,18,True,True,False,False,9,3344.0
257,Marquinhos,6,Brazil,Defender,31,4,True,True,False,False,11,5209.0
