player_id,player_name,world_cup_team_id,world_cup_team,squad_position,age,number,has_2025_statistics,has_2026_statistics,failed_2025_query,failed_2026_query,competition_stat_lines,reported_minutes_across_lines,has_any_statistics,has_both_seasons,reported_minutes,detailed_match_minutes,detailed_minutes_share,rank_entry_precheck,benchmark_precheck
5,M. Akanji,15,Switzerland,Defender,30,5,True,True,False,False,10,4981.0,True,True,4981.0,4981.0,1.0,True,True
9,A. Hakimi,31,Morocco,Defender,27,2,True,True,False,False,8,4466.0,True,True,4466.0,4466.0,1.0,True,True
17,C. Pulisic,2384,USA,Midfielder,27,10,True,True,False,False,7,2607.0,True,True,2607.0,2607.0,1.0,True,True
20,A. Witsel,1,Belgium,Midfielder,36,6,True,True,False,False,3,2678.0,True,True,2678.0,2678.0,1.0,True,True
30,S. Arias,8,Colombia,Defender,33,4,True,True,False,False,12,4115.0,True,True,4115.0,3637.0,0.8838396111786149,True,True
31,J. Giménez,7,Uruguay,Defender,30,2,True,True,False,False,8,2569.0,True,True,2569.0,2569.0,1.0,True,True
33,L. Hernández,2,France,Defender,29,21,True,True,False,False,9,2291.0,True,True,2291.0,2291.0,1.0,True,True
44,Rodri,9,Spain,Midfielder,29,16,True,True,False,False,7,3076.0,True,True,3076.0,3076.0,1.0,True,True
49,T. Partey,1504,Ghana,Midfielder,32,5,True,True,False,False,6,2722.0,True,True,2722.0,2722.0,1.0,True,True
69,B. Mechele,1,Belgium,Defender,32,4,True,True,False,False,4,5448.0,True,True,5448.0,5448.0,1.0,True,True
74,S. Amrabat,31,Morocco,Midfielder,29,4,True,True,False,False,9,2721.0,True,True,2721.0,2721.0,1.0,True,True
78,H. Vanaken,1,Belgium,Midfielder,33,20,True,True,False,False,4,5007.0,True,True,5007.0,5007.0,1.0,True,True
81,K. Diatta,13,Senegal,Defender,26,15,True,True,False,False,7,2517.0,True,True,2517.0,2517.0,1.0,True,True
130,Nélson Semedo,27,Portugal,Defender,32,2,True,True,False,False,6,3235.0,True,True,3235.0,3235.0,1.0,True,True
153,O. Dembélé,2,France,Midfielder,28,7,True,True,False,False,9,3192.0,True,True,3192.0,3192.0,1.0,True,True
154,L. Messi,26,Argentina,Attacker,38,10,True,True,False,False,11,7195.0,True,True,7195.0,7195.0,1.0,True,True
168,D. Sánchez,8,Colombia,Defender,29,23,True,True,False,False,9,5466.0,True,True,5466.0,5466.0,1.0,True,True
184,H. Kane,10,England,Attacker,32,9,True,True,False,False,9,5228.0,True,True,5228.0,5228.0,1.0,True,True
186,Son Heung-Min,17,South Korea,Attacker,33,7,True,True,False,False,8,4495.0,True,True,4495.0,4495.0,1.0,True,True
207,I. Perisic,3,Croatia,Defender,36,14,True,True,False,False,6,3578.0,True,True,3578.0,3578.0,1.0,True,True
217,Lautaro Martínez,26,Argentina,Attacker,28,22,True,True,False,False,10,4844.0,True,True,4844.0,4844.0,1.0,True,True
221,E. Room,5530,Curaçao,Goalkeeper,36,1,True,True,False,False,6,1294.0,True,True,1294.0,1294.0,1.0,True,False
225,A. Behich,20,Australia,Midfielder,35,16,True,True,False,False,6,4313.0,True,True,4313.0,4313.0,1.0,True,True
226,D. Dumfries,1118,Netherlands,Midfielder,29,22,True,True,False,False,7,2653.0,True,True,2653.0,2653.0,1.0,True,True
228,A. Obispo,5530,Curaçao,Defender,26,18,True,True,False,False,6,2132.0,True,True,2132.0,2132.0,1.0,True,True
241,M. Sadílek,770,Czech Republic,Midfielder,26,18,True,True,False,False,4,2929.0,True,True,2929.0,2929.0,1.0,True,True
242,R. Thomas,4673,New Zealand,Midfielder,31,23,True,True,False,False,4,2532.0,True,True,2532.0,2532.0,1.0,True,True
247,C. Gakpo,1118,Netherlands,Attacker,26,11,True,True,False,False,7,4345.0,True,True,4345.0,4345.0,1.0,True,True
249,D. Malen,1118,Netherlands,Attacker,26,18,True,True,False,False,9,3344.0,True,True,3344.0,3344.0,1.0,True,True
257,Marquinhos,6,Brazil,Defender,31,4,True,True,False,False,11,5209.0,True,True,5209.0,5209.0,1.0,True,True
264,T. Meunier,1,Belgium,Defender,34,15,True,True,False,False,6,3124.0,True,True,3124.0,3124.0,1.0,True,True
271,L. Paredes,26,Argentina,Midfielder,31,5,True,True,False,False,8,4285.0,True,True,4285.0,4195.0,0.9789964994165694,True,True
272,A. Rabiot,2,France,Midfielder,30,14,True,True,False,False,6,3658.0,True,True,3658.0,3658.0,1.0,True,True
276,Neymar,6,Brazil,Attacker,33,10,True,True,False,False,9,3682.0,True,True,3682.0,3682.0,1.0,True,True
278,Kylian Mbappé,2,France,Attacker,27,10,True,True,False,False,7,4582.0,True,True,4582.0,4582.0,1.0,True,True
280,Alisson Becker,6,Brazil,Goalkeeper,33,1,True,True,False,False,8,4566.0,True,True,4566.0,4566.0,1.0,True,True
289,A. Robertson,1108,Scotland,Defender,31,3,True,True,False,False,9,2766.0,True,True,2766.0,2766.0,1.0,True,True
290,V. van Dijk,1118,Netherlands,Defender,34,4,True,True,False,False,7,5711.0,True,True,5711.0,5711.0,1.0,True,True
292,J. Henderson,10,England,Midfielder,35,14,True,True,False,False,6,2262.0,True,True,2262.0,2262.0,1.0,True,True
299,Fabinho,6,Brazil,Midfielder,32,17,True,True,False,False,6,5291.0,True,True,5291.0,5291.0,1.0,True,True
304,S. Mané,13,Senegal,Midfielder,33,10,True,True,False,False,7,4360.0,True,True,4360.0,4360.0,1.0,True,True
306,Mohamed Salah,32,Egypt,Attacker,33,10,True,True,False,False,8,4285.0,True,True,4285.0,4285.0,1.0,True,True
313,D. Ospina,8,Colombia,Goalkeeper,37,1,True,True,False,False,9,4820.0,True,True,4820.0,4799.0,0.995643153526971,True,True
