world_cup_team,players,players_with_any_statistics,players_with_both_seasons,player_any_statistics_rate,player_both_seasons_rate,reported_minutes,detailed_match_minutes,detailed_minutes_share
Algeria,26,26,25,1.0,0.9615384615384616,64550.0,64176.0,0.9942060418280403
Argentina,26,26,26,1.0,1.0,114276.0,113728.0,0.9952045923903532
Australia,26,26,26,1.0,1.0,81574.0,77312.0,0.9477529605021208
Austria,26,26,26,1.0,1.0,67981.0,67917.0,0.9990585604801342
Belgium,26,26,26,1.0,1.0,90491.0,88451.0,0.9774563216231449
Bosnia & Herzegovina,26,26,26,1.0,1.0,70309.0,68429.0,0.9732608912088069
Brazil,26,26,26,1.0,1.0,122629.0,114078.0,0.9302693490120608
Canada,26,26,26,1.0,1.0,78250.0,74259.0,0.948996805111821
Cape Verde Islands,26,26,26,1.0,1.0,70075.0,69562.0,0.9926792722083482
Colombia,26,26,26,1.0,1.0,116511.0,115174.0,0.9885246886560067
Congo DR,26,26,26,1.0,1.0,52878.0,52608.0,0.9948939067286963
Croatia,26,26,26,1.0,1.0,82976.0,81084.0,0.9771982259930583
Curaçao,26,26,26,1.0,1.0,59747.0,57157.0,0.9566505431235041
Czech Republic,26,26,26,1.0,1.0,70837.0,69339.0,0.9788528593813968
Ecuador,26,26,26,1.0,1.0,110870.0,105816.0,0.9544150807251737
Egypt,26,25,25,0.9615384615384616,0.9615384615384616,57289.0,57289.0,1.0
England,26,26,26,1.0,1.0,106069.0,103003.0,0.9710942876806608
France,26,26,26,1.0,1.0,104719.0,103232.0,0.9858000935837814
Germany,26,26,26,1.0,1.0,96172.0,94919.0,0.9869712598261449
Ghana,26,26,26,1.0,1.0,75586.0,71866.0,0.9507845368189877
Haiti,26,25,24,0.9615384615384616,0.9230769230769231,56010.0,52456.0,0.9365470451705052
Iran,26,25,23,0.9615384615384616,0.8846153846153846,29762.0,28658.0,0.9629057187017002
Iraq,26,26,22,1.0,0.8461538461538461,49101.0,39393.0,0.8022850858434655
Ivory Coast,26,26,26,1.0,1.0,74990.0,74754.0,0.9968529137218296
Japan,26,26,26,1.0,1.0,95475.0,92195.0,0.9656454569258969
Jordan,26,22,19,0.8461538461538461,0.7307692307692307,23780.0,23772.0,0.9996635828427249
Mexico,26,26,26,1.0,1.0,86029.0,85341.0,0.9920026967650444
Morocco,26,26,26,1.0,1.0,73466.0,73321.0,0.9980262978792911
Netherlands,26,26,26,1.0,1.0,85602.0,84976.0,0.9926870867503096
New Zealand,26,26,26,1.0,1.0,69211.0,63918.0,0.9235237173281704
Norway,26,26,26,1.0,1.0,89898.0,86950.0,0.9672072793610537
Panama,26,25,24,0.9615384615384616,0.9230769230769231,72631.0,65862.0,0.9068028803128141
Paraguay,26,26,25,1.0,0.9615384615384616,111703.0,100655.0,0.9010948676400813
Portugal,26,26,26,1.0,1.0,98998.0,96943.0,0.9792420048889876
Qatar,26,26,25,1.0,0.9615384615384616,41178.0,40479.0,0.9830249162173976
Saudi Arabia,26,24,24,0.9230769230769231,0.9230769230769231,72654.0,72654.0,1.0
Scotland,26,26,26,1.0,1.0,65578.0,61145.0,0.9324011101283968
Senegal,26,26,26,1.0,1.0,77482.0,76673.0,0.9895588652848404
South Africa,26,26,26,1.0,1.0,74392.0,67363.0,0.9055140337670717
South Korea,26,26,25,1.0,0.9615384615384616,86042.0,83718.0,0.972989935147951
Spain,26,26,26,1.0,1.0,96943.0,96376.0,0.9941512022528702
Sweden,26,26,26,1.0,1.0,77733.0,75565.0,0.9721096574170558
Switzerland,26,26,26,1.0,1.0,85397.0,83209.0,0.9743784910476949
Tunisia,26,26,22,1.0,0.8461538461538461,47179.0,44883.0,0.95133428008224
Türkiye,26,26,26,1.0,1.0,70281.0,70018.0,0.9962578790853858
USA,26,26,26,1.0,1.0,103149.0,98443.0,0.9543766783972699
Uruguay,26,26,26,1.0,1.0,104616.0,100308.0,0.9588208304657031
Uzbekistan,26,25,24,0.9615384615384616,0.9230769230769231,37673.0,25987.0,0.689804369176864
