player_id,cached_detailed_fixtures,cached_detailed_minutes,player_name,reported_minutes,detailed_match_minutes,ledger_detailed_minutes,ledger_aggregate_minutes,fixture_endpoint_coverage,missing_fixture_endpoints,ledger_pass,is_unresolved,cache_minus_ledger_minutes
0,14.0,138.0,,,,,,,,,False,138.0
1,1.0,90.0,,,,,,,,,False,90.0
5,62.0,4554.0,M. Akanji,4981.0,4981.0,4307.0,4981.0,1.0,0.0,True,False,247.0
6,3.0,192.0,,,,,,,,,False,192.0
8,3.0,11.0,,,,,,,,,False,11.0
9,53.0,4234.0,A. Hakimi,4466.0,4466.0,3641.0,4466.0,1.0,0.0,True,False,593.0
15,2.0,176.0,,,,,,,,,False,176.0
17,39.0,2030.0,C. Pulisic,2607.0,2607.0,2030.0,2607.0,1.0,0.0,False,False,0.0
18,1.0,9.0,,,,,,,,,False,9.0
20,39.0,2564.0,A. Witsel,2678.0,2678.0,2564.0,2678.0,1.0,0.0,True,False,0.0
23,1.0,88.0,,,,,,,,,False,88.0
24,1.0,0.0,,,,,,,,,False,0.0
29,2.0,0.0,,,,,,,,,False,0.0
30,53.0,2823.0,S. Arias,4115.0,3637.0,2709.0,4115.0,1.0,0.0,False,True,114.0
31,38.0,1537.0,J. Giménez,2569.0,2569.0,1537.0,2569.0,1.0,0.0,False,True,0.0
33,65.0,2182.0,L. Hernández,2291.0,2291.0,2084.0,2291.0,1.0,0.0,True,False,98.0
44,46.0,2983.0,Rodri,3076.0,3076.0,2811.0,3076.0,1.0,0.0,True,False,172.0
45,1.0,20.0,,,,,,,,,False,20.0
48,3.0,45.0,,,,,,,,,False,45.0
49,41.0,1602.0,T. Partey,2722.0,2722.0,1602.0,2722.0,1.0,0.0,False,True,0.0
50,2.0,210.0,,,,,,,,,False,210.0
52,2.0,20.0,,,,,,,,,False,20.0
53,3.0,149.0,,,,,,,,,False,149.0
56,2.0,160.0,,,,,,,,,False,160.0
69,60.0,5270.0,B. Mechele,5448.0,5448.0,5270.0,5448.0,1.0,0.0,True,False,0.0
71,1.0,8.0,,,,,,,,,False,8.0
74,45.0,2369.0,S. Amrabat,2721.0,2721.0,2369.0,2721.0,1.0,0.0,True,False,0.0
75,1.0,90.0,,,,,,,,,False,90.0
78,59.0,4957.0,H. Vanaken,5007.0,5007.0,4957.0,5007.0,1.0,0.0,True,False,0.0
81,33.0,2180.0,K. Diatta,2517.0,2517.0,2180.0,2517.0,1.0,0.0,True,False,0.0
86,1.0,45.0,,,,,,,,,False,45.0
87,1.0,78.0,,,,,,,,,False,78.0
99,1.0,0.0,,,,,,,,,False,0.0
104,1.0,90.0,,,,,,,,,False,90.0
107,2.0,112.0,,,,,,,,,False,112.0
112,1.0,56.0,,,,,,,,,False,56.0
115,1.0,77.0,,,,,,,,,False,77.0
118,1.0,28.0,,,,,,,,,False,28.0
124,2.0,101.0,,,,,,,,,False,101.0
127,1.0,0.0,,,,,,,,,False,0.0
