domain,league_id,competition_name,competition_country,matches,competition_strength,competition_strength_z,rated_teams
club,2,UEFA Champions League,World,212,1580.5104674128565,3.530754117253314,49
club,3,UEFA Europa League,World,159,1530.4632041903415,1.5867925871584385,36
club,11,CONMEBOL Sudamericana,World,14,1511.8080101033945,0.862177946788577,11
club,12,CAF Champions League,World,11,1497.7521865842405,0.3162144227982005,7
club,13,CONMEBOL Libertadores,World,30,1497.162270254894,0.29330058942582576,17
club,15,FIFA Club World Cup,World,49,1582.204611904292,3.5965589486409963,32
club,16,CONCACAF Champions League,World,29,1504.3685337677673,0.5732099819228303,18
club,17,AFC Champions League Elite,World,31,1496.7984071914295,0.27916723323304604,14
club,18,AFC Champions League Two,World,7,1490.242949934182,0.02453679193175759,6
club,39,Premier League,England,380,1543.4769729403731,2.0922800840298192,20
club,40,Championship,England,147,1496.478926952559,0.2667578175327662,24
club,45,FA Cup,England,45,1500.8481666182633,0.4364700710905639,46
club,48,League Cup,England,42,1499.2505592560387,0.3744149845106573,42
club,61,Ligue 1,France,294,1513.8114679351827,0.9399972859769667,19
club,62,Ligue 2,France,1,1500.0,0.4035251472156328,2
club,66,Coupe de France,France,33,1490.4127854756098,0.03113363135354187,34
club,71,Serie A,Brazil,167,1488.903472043743,-0.02749189698672265,24
club,73,Copa Do Brasil,Brazil,24,1486.4793394777657,-0.12165130049213252,16
club,78,Bundesliga,Germany,300,1493.9338365840908,0.16790010887205295,19
club,81,DFB Pokal,Germany,36,1488.272709128058,-0.05199231446710594,37
club,88,Eredivisie,Netherlands,95,1479.005533579866,-0.4119527118663461,18
club,90,KNVB Beker,Netherlands,7,1489.6112505587396,0.0,9
club,94,Primeira Liga,Portugal,138,1468.6072772025811,-0.8158471323790785,18
club,96,Taça de Portugal,Portugal,7,1517.7545140141897,1.0931551091110934,7
club,103,Eliteserien,Norway,29,1490.311521099887,0.027200268406220265,19
club,113,Allsvenskan,Sweden,19,1504.269556136808,0.5693654418913527,14
club,119,Superliga,Denmark,63,1491.5785209295245,0.07641372722216588,12
club,135,Serie A,Italy,363,1503.5250677232661,0.5404476401507807,20
club,137,Coppa Italia,Italy,32,1490.4168107852893,0.031289984501742175,31
club,140,La Liga,Spain,347,1489.3110824663113,-0.01165928337875741,20
club,143,Copa del Rey,Spain,34,1488.5174633432034,-0.042485445401040864,34
club,144,Jupiler Pro League,Belgium,214,1487.32502282457,-0.08880283312399719,16
club,179,Premiership,Scotland,38,1480.147553823952,-0.3675937743711723,12
club,197,Super League 1,Greece,87,1488.5348510604658,-0.04181006274717696,14
club,203,Süper Lig,Turkey,170,1481.7014757512843,-0.30723553991437924,18
club,204,1. Lig,Turkey,53,1502.4125002533597,0.49723272245354777,20
club,206,Türkiye Kupası,Turkey,6,1529.36714327048,1.5442188253649571,8
club,207,Super League,Switzerland,1,1498.602960574298,0.34926062354896054,2
club,253,Major League Soccer,USA,239,1495.80175701521,0.24045483465654083,30
club,262,Liga MX,Mexico,189,1481.975172170667,-0.2966044828705759,18
club,288,Premier Soccer League,South-Africa,57,1482.9280688019105,-0.2595915819841055,16
club,307,Pro League,Saudi-Arabia,172,1467.2526066503542,-0.8684659424781056,18
club,345,Czech Liga,Czech-Republic,93,1473.3843605976065,-0.6302932029924557,16
club,475,Paulista - A1,Brazil,12,1504.8568634976225,0.5921779363666022,10
club,526,Trophée des Champions,France,1,1634.225921149805,3.3176649532166103,2
club,528,Community Shield,England,1,1558.2300937775644,2.665328388965675,2
club,529,Super Cup,Germany,1,1713.7087200155238,4.0,2
club,531,UEFA Super Cup,World,1,1604.1292570335222,2.1486348512884845,2
club,547,Super Cup,Italy,3,1577.5303032761053,3.3118058521359943,4
club,551,Super Cup,Turkey,3,1597.0676450674919,4.0,4
club,556,Super Cup,Spain,3,1636.6383646732504,3.9444526093017265,4
club,624,Carioca - 1,Brazil,19,1489.5918296236096,-0.0007543579476741425,11
club,772,Leagues Cup,World,19,1487.0396814226247,-0.0998862105678099,24
club,848,UEFA Europa Conference League,World,62,1490.3258345450226,0.027756238601493812,38
club,1168,FIFA Intercontinental Cup,World,4,1669.0407950788258,4.0,5
national,1,World Cup,World,102,1503.6069799854813,0.6377543150362647,48
national,6,Africa Cup of Nations,World,37,1487.9410016742,-0.01721175540350012,24
national,22,CONCACAF Gold Cup,World,24,1488.345794645765,-0.0002880972278258044,16
national,30,World Cup - Qualification Asia,World,5,1478.1914209944794,-0.4248239976363031,4
national,31,World Cup - Qualification CONCACAF,World,19,1477.8130388140967,-0.44064346865084447,12
national,34,World Cup - Qualification South America,World,13,1499.174039472216,0.45242113183021987,10
national,37,World Cup - Qualification Intercontinental Play-offs,World,1,1490.585584328401,0.09335343717869149,2
