gamma,role,winner_player_id,winner_player_name,frozen_player_id,frozen_rank,frozen_score,winner_score
0.0,GK,369,D. Costa,369,1,0.7374951034392485,0.7374951034392485
0.0,RB,403087,M. Abu Al Shamat,1417,2,0.6676253922279228,0.6707941321520746
0.0,RCB,30776,C. Romero,30776,1,0.7256182282114146,0.7256182282114146
0.0,LCB,624,N. Otamendi,69,2,0.7065425588139983,0.7090932474189339
0.0,LB,263482,N. Mendes,263482,1,0.7107889849760821,0.7107889849760821
0.0,DM,214463,I. Yuksek,138908,2,0.7189595182743745,0.7322327676280197
0.0,CM,133609,Pedri,133609,1,0.7496793477876889,0.7496793477876889
0.0,AM,156477,R. Cherki,156477,1,0.7884631372516417,0.7884631372516417
0.0,RW,386828,Lamine Yamal,386828,1,0.8485582023003944,0.8485582023003944
0.0,LW,1422,J. Doku,1422,1,0.80150144361303,0.80150144361303
0.0,ST,154,L. Messi,154,1,0.8241763605026016,0.8241763605026016
0.09,GK,369,D. Costa,369,1,0.7400646383977971,0.7400646383977971
0.09,RB,1417,A. Saelemaekers,1417,1,0.6811644453289497,0.6811644453289497
0.09,RCB,30776,C. Romero,30776,1,0.7587373718922272,0.7587373718922272
0.09,LCB,69,B. Mechele,69,1,0.7198583130267444,0.7198583130267444
0.09,LB,263482,N. Mendes,263482,1,0.7456424424310921,0.7456424424310921
0.09,DM,138908,E. Anderson,138908,1,0.751579156236877,0.751579156236877
0.09,CM,133609,Pedri,133609,1,0.7676656124788579,0.7676656124788579
0.09,AM,156477,R. Cherki,156477,1,0.8135202366461258,0.8135202366461258
0.09,RW,386828,Lamine Yamal,386828,1,0.8593715412708907,0.8593715412708907
0.09,LW,1422,J. Doku,1422,1,0.8254919434507352,0.8254919434507352
0.09,ST,154,L. Messi,154,1,0.8286458382373144,0.8286458382373144
0.18,GK,369,D. Costa,369,1,0.7426244807301814,0.7426244807301814
0.18,RB,1417,A. Saelemaekers,1417,1,0.6944098036951282,0.6944098036951282
0.18,RCB,30776,C. Romero,30776,1,0.7890488066987938,0.7890488066987938
0.18,LCB,69,B. Mechele,69,1,0.7328095925565697,0.7328095925565697
0.18,LB,263482,N. Mendes,263482,1,0.777667375666899,0.777667375666899
0.18,DM,138908,E. Anderson,138908,1,0.7816469700787775,0.7816469700787775
0.18,CM,133609,Pedri,133609,1,0.7847658147687573,0.7847658147687573
0.18,AM,156477,R. Cherki,156477,1,0.8363825139869178,0.8363825139869178
0.18,RW,386828,Lamine Yamal,386828,1,0.8696010365281073,0.8696010365281073
0.18,LW,1422,J. Doku,1422,1,0.8475191186446464,0.8475191186446464
0.18,ST,154,L. Messi,154,1,0.8330583371110343,0.8330583371110343
0.27,GK,369,D. Costa,369,1,0.7451742112119548,0.7451742112119548
0.27,RB,19545,R. James,1417,3,0.7073468626509108,0.7231243752610246
0.27,RCB,30776,C. Romero,30776,1,0.8164985815074706,0.8164985815074706
0.27,LCB,2194,R. Bensebaini,69,2,0.7453848524212969,0.7454210175729137
0.27,LB,263482,N. Mendes,263482,1,0.8067625325021727,0.8067625325021727
0.27,DM,138908,E. Anderson,138908,1,0.8090758947330461,0.8090758947330461
0.27,CM,133609,Pedri,133609,1,0.8009667607642634,0.8009667607642634
0.27,AM,156477,R. Cherki,156477,1,0.8570809929283991,0.8570809929283991
0.27,RW,386828,Lamine Yamal,386828,1,0.8792580824236412,0.8792580824236412
0.27,LW,1422,J. Doku,1422,1,0.8675412724690941,0.8675412724690941
0.27,ST,154,L. Messi,154,1,0.8374124984855833,0.8374124984855833
0.36,GK,22221,M. Maignan,369,2,0.7477134096690287,0.7496806855667684
0.36,RB,19545,R. James,1417,7,0.7199627654334283,0.760225184837019
0.36,RCB,30776,C. Romero,30776,1,0.8411183223763118,0.8411183223763118
0.36,LCB,16367,W. Pacho,69,6,0.7575746613358487,0.7733974140474209
0.36,LB,263482,N. Mendes,263482,1,0.8329219229195058,0.8329219229195058
0.36,DM,138908,E. Anderson,138908,1,0.8338578462084822,0.8338578462084822
0.36,CM,133609,Pedri,133609,1,0.8162643372135834,0.8162643372135834
0.36,AM,156477,R. Cherki,156477,1,0.8756820661114639,0.8756820661114639
0.36,RW,386828,Lamine Yamal,386828,1,0.888355786079029,0.888355786079029
0.36,LW,1422,J. Doku,1422,1,0.8855632844292157,0.8855632844292157
0.36,ST,154,L. Messi,154,1,0.8417069889968605,0.8417069889968605
