role,rank_v2,player_id,player_name,club_name,national_team,dominant_competition,minutes,context_matches,context_coverage,opponent_strength,competition_strength,context_strength_z,raw_role_score,adjusted_role_score_v2,uncertainty_v2,goalkeeping_v2
GK,1,369,D. Costa,FC Porto,Portugal,Primeira Liga,4730.0,54,1.0,1515.0177880008082,1489.1050378336356,0.3317301255009527,0.8186999148639398,0.7426244807301814,0.06832669709957462,0.852019538188277
GK,2,22221,M. Maignan,AC Milan,France,Serie A,4291.0,48,1.0,1512.1515849992397,1504.2492125070014,0.6767804070561281,0.8230050976832824,0.7397248458993839,0.07176969332467496,0.8298225775380466
GK,3,46417,S. Chaine,Orlando Pirates,South Africa,Premier Soccer League,2700.0,38,1.0,1489.6062011481542,1482.9280688019103,-0.17254928125777172,0.8402251460507629,0.7222469859770771,0.0906802992202091,0.789875
GK,4,221605,F. Wiegele,Plzen,Austria,Czech Liga,2446.0,50,1.0,1509.2662485776088,1490.6273248090665,0.41400747254607545,0.8091690526054602,0.6881239650991475,0.09531634886599782,0.767188583383144
GK,5,280,Alisson,Liverpool,Brazil,Premier League,3746.0,43,1.0,1534.3466739627988,1539.8671275283268,1.4685947722018962,0.820048130201663,0.6785542783949234,0.07686361682398486,0.7019743865690916
GK,6,49866,U. Cakir,Galatasaray,Türkiye,Süper Lig,4058.0,47,1.0,1525.443179077429,1512.2095152558388,1.0196080360841817,0.8292479978304215,0.6695927012450018,0.07382109514831259,0.6800645421540944
GK,7,2986,E. Mendy,Al-Ahli Jeddah,Senegal,Pro League,4023.0,45,1.0,1505.9137885780572,1482.933030032236,0.008191041806300118,0.8146307760078734,0.663540665566245,0.07414461465613245,0.7247257769652651
GK,8,182718,J. Garcia,Barcelona,Spain,La Liga,4049.0,54,1.0,1519.9172635775292,1513.8528358143474,0.9491245367739755,0.8399359718097255,0.6605508815586203,0.07390388340321821,0.649311477066074
GK,9,19465,D. Raya,Arsenal,Spain,Premier League,4620.0,66,1.0,1569.6990537043964,1553.8174941242482,2.265616090695984,0.7365173358498895,0.6541197927035405,0.0691429219356126,0.7757771739130435
GK,10,46672,R. Silva,Sporting CP,Portugal,Primeira Liga,4215.0,52,1.0,1544.7668476355748,1499.371638020363,0.7529087432084303,0.7331827206788596,0.6261648256168006,0.07242001451020423,0.7810000000000001
RB,1,1417,A. Saelemaekers,AC Milan,Belgium,Serie A,3162.0,45,1.0,1515.7410855258715,1504.2883031803376,0.698795933078182,0.6676253922279228,0.6944098036951282,0.0829942500465963,
RB,2,19545,R. James,Chelsea,England,Premier League,2979.0,53,1.0,1579.9056742097482,1544.2797268072572,2.193611544069384,0.5939108504311699,0.6827513978589,0.0855054281770118,
RB,3,9,A. Hakimi,Paris Saint Germain,Morocco,Ligue 1,3641.0,46,1.0,1545.6708185700759,1532.591112224127,1.5725239966320452,0.617379245237745,0.6775730672766983,0.0773425698550447,
RB,4,47519,P. Porro,Tottenham,Spain,Premier League,4374.0,54,1.0,1556.346534141646,1544.682255754709,2.05852111607038,0.5916423297992848,0.6761414200408373,0.0705650329009542,
RB,5,92993,M. Wieffer,Brighton,Netherlands,Premier League,1946.0,32,1.0,1554.377486495355,1542.7571030679997,1.9457508446649414,0.5904508873922724,0.667151696796372,0.1057931430001877,
RB,6,41621,M. Nunes,Manchester City,Portugal,Premier League,4016.0,63,1.0,1555.5859137108218,1539.7273945191878,1.932876386590592,0.5759969953988812,0.6562829174898093,0.0736431040417795,
RB,7,403087,M. Abu Al Shamat,Al-Qadisiyah FC,Saudi Arabia,Pro League,2629.0,34,1.0,1509.3197072021485,1469.1194154750945,-0.3797706606799276,0.6707941321520746,0.6556307857536284,0.0910193321687864,
RB,8,1157,K. Laimer,Bayern München,Austria,Bundesliga,3656.0,52,1.0,1549.6058969277633,1518.8602494446568,1.3222837851669003,0.5993007557896411,0.6535504544943858,0.077183744504623,
RB,9,161907,M. Gusto,Chelsea,France,Premier League,3348.0,59,1.0,1567.6315765939294,1540.9506670295732,1.878963236703753,0.5721618767640075,0.6503309214165013,0.0806559132617443,
RB,10,24845,J. Ryerson,Borussia Dortmund,Norway,Bundesliga,3290.0,51,1.0,1529.09869663837,1510.1971682636774,0.9082389517057237,0.6100656252356744,0.6450528149174047,0.0813637559990537,
RCB,1,30776,C. Romero,Tottenham,Argentina,Premier League,3294.0,40,1.0,1556.6906210676216,1545.3068413435935,1.9472988499977626,0.7256182282114146,0.7890488066987938,0.081314339805003,
RCB,2,1145,I. Konate,Liverpool,France,Premier League,4294.0,59,1.0,1570.10138986275,1548.9939887938824,2.1180304733945934,0.6528046818467669,0.7321950841320539,0.0712193355678997,
RCB,3,38695,J. P. van Hecke,Brighton,Netherlands,Premier League,3801.0,44,1.0,1554.2238349327267,1537.0947621107266,1.7584147079679424,0.6655048936069468,0.7313299868899894,0.0756972326702795,
RCB,4,25287,K. Danso,Tottenham,Austria,Premier League,2590.0,52,1.0,1558.9429093999156,1544.334877601385,2.0580595634695613,0.6401746937289038,0.7195100638689438,0.0917020523721601,
RCB,5,135068,E. Agbadou,Wolves,Ivory Coast,Premier League,2928.0,46,1.0,1540.515457832659,1511.2533389635023,1.3023607798736623,0.6679359011839725,0.7174759750011378,0.0862468816257372,
RCB,6,360114,A. Khusanov,Manchester City,Uzbekistan,Premier League,3087.0,52,1.0,1569.713159614547,1533.8937580787226,2.032691434399406,0.6428134144471213,0.7153073251313623,0.0839963903153333,
RCB,7,163189,M. Thiaw,Newcastle,Germany,Premier League,4688.0,61,1.0,1574.7528083409131,1543.4204747977585,2.0948008169776924,0.6317759905691971,0.7123163977048581,0.0681608717436922,
RCB,8,126949,C. Richards,Crystal Palace,USA,Premier League,4581.0,60,1.0,1532.4714719338801,1525.9016682169918,1.2504449339284993,0.6593581557764934,0.7076271872951594,0.0689523054887945,
RCB,9,295793,M. Pubill,Atletico Madrid,Spain,La Liga,2783.0,64,1.0,1559.4169872521188,1520.9116403513983,1.2753487478745895,0.6567376089727006,0.7062291524935478,0.0884651736929382,
RCB,10,1149,D. Upamecano,Bayern München,France,Bundesliga,3956.0,58,1.0,1558.5451929144863,1521.4098898409402,1.5726911815525944,0.6428791095839443,0.7021355518373171,0.0741994688181925,
LCB,1,69,B. Mechele,Club Brugge KV,Belgium,Jupiler Pro League,5270.0,60,1.0,1520.35703319816,1511.3303368423658,0.7416586641590796,0.7065425588139983,0.7328095925565697,0.0642870696522883,
LCB,2,624,N. Otamendi,Benfica,Argentina,Primeira Liga,4243.0,56,1.0,1517.2327986320636,1505.1297376261878,0.5163785592078874,0.7090932474189339,0.727627750661078,0.0716460780479048,
LCB,3,2194,R. Bensebaini,Borussia Dortmund,Algeria,Bundesliga,3155.0,46,1.0,1537.5930669597426,1515.3531720105864,1.1895691564303856,0.6800823975305541,0.7246391279992029,0.0830862687254227,
LCB,4,47254,M. Olivera,Napoli,Uruguay,Serie A,2187.0,51,1.0,1520.1953002115229,1513.993413510935,0.8492430465691988,0.6818447945605016,0.713704200452183,0.0997940265578331,
LCB,5,16367,W. Pacho,Paris Saint Germain,Ecuador,Ligue 1,4396.0,58,1.0,1562.3035031653837,1544.5824427301638,1.9112160275668535,0.6398726434067448,0.7109627085419392,0.0703882383259553,
LCB,6,26243,N. Schlotterbeck,Borussia Dortmund,Germany,Bundesliga,3425.0,40,1.0,1536.4698804527825,1508.1236032578222,0.8947901201075221,0.6656134566789846,0.7001209066190648,0.0797441163195833,
LCB,7,67971,M. Guehi,Crystal Palace,England,Premier League,5114.0,62,1.0,1546.2911312235717,1529.194656664178,1.6118897897295146,0.636936751790037,0.6993775843867703,0.0652602263640872,
LCB,8,6610,M. Senesi,Bournemouth,Argentina,Premier League,3461.0,46,1.0,1549.6496688297912,1541.4189808417009,1.7277550791374618,0.6297724080066613,0.6974837610124955,0.079328298278925,
LCB,9,265595,G. Inacio,Sporting CP,Portugal,Primeira Liga,3802.0,52,1.0,1538.8615045514548,1501.15295252972,0.7207652561711171,0.6639161629502291,0.689877019910475,0.0756872770928484,
LCB,10,22224,Gabriel,Arsenal,Brazil,Premier League,4750.0,60,1.0,1563.4467591537787,1542.4672414573124,2.068882285426086,0.6060585765776758,0.6889283986865753,0.0677145712376201,
LB,1,263482,N. Mendes,Paris Saint Germain,Portugal,UEFA Champions League,3391.0,51,1.0,1570.6587751668346,1551.5548166726614,2.0137713088700124,0.7107889849760821,0.777667375666899,0.0801428980321012,
LB,2,21138,R. Ait-Nouri,Manchester City,Algeria,Premier League,2260.0,51,1.0,1544.1280289358597,1529.5802433904562,1.581307714486649,0.7087118649157458,0.7623666796130459,0.0981690793559403,
LB,3,855,J. Cancelo,Barcelona,Portugal,La Liga,2230.0,37,1.0,1528.0458900297206,1504.0716187674109,1.0364741557908235,0.6878468460897644,0.7260850176105973,0.0988272034588541,
LB,4,337587,J. Bos,Feyenoord,Australia,Eredivisie,2878.0,42,1.0,1497.3701349780313,1492.6360228691283,0.09763514197646277,0.696265396343431,0.6998682549503195,0.0869928467500891,
LB,5,563,A. Grimaldo,Bayer Leverkusen,Spain,Bundesliga,4038.0,54,1.0,1543.8233937100733,1516.4582531816304,1.1187979675165742,0.6549567350634156,0.6967752974486876,0.0734422173329184,
LB,6,25158,D. Raum,RB Leipzig,Germany,Bundesliga,3030.0,39,1.0,1525.7451105696127,1493.5897417219076,0.3995340522134302,0.6686023407020102,0.6824716452705502,0.0847827742638868,
LB,7,51776,M. Araujo,Sporting CP,Uruguay,Primeira Liga,3756.0,47,1.0,1546.087561832297,1504.2091661586408,0.8816359726750878,0.6254908709027437,0.6610279546081287,0.0761493404090175,
LB,8,19549,A. Robinson,Fulham,USA,Premier League,2136.0,37,1.0,1526.2346257709248,1530.9605563087448,1.2891781931068997,0.6073558874024648,0.6590184004059847,0.1009783601247472,
LB,9,39058,F. Bjorkan,Bodo/Glimt,Norway,Eliteserien,3086.0,45,1.0,1532.2344107838364,1522.422844827565,1.0906503352173882,0.5911397936357379,0.6366579626413671,0.0840099984791027,
LB,10,307123,N. O'Reilly,Manchester City,England,Premier League,4505.0,64,1.0,1559.8371025789188,1537.9241989534294,1.9839747573145805,0.5490823718844827,0.6344883837497162,0.0695314906420033,
DM,1,138908,E. Anderson,Nottingham Forest,England,Premier League,4793.0,57,1.0,1559.2379025034343,1536.0247475521144,1.9257122080546127,0.7189595182743745,0.7816469700787775,0.0674101390864806,
DM,2,44,Rodri,Manchester City,Spain,Premier League,2811.0,42,1.0,1569.154869312556,1534.164106182012,2.0436280842419703,0.7148257557778602,0.7795341321374766,0.0880234760575071,
DM,3,214463,I. Yuksek,Fenerbahçe,Türkiye,Süper Lig,2742.0,50,1.0,1507.610722890224,1503.1105495430788,0.5357163823206191,0.7322327676280197,0.7494866841620447,0.0891241113336148,
DM,4,116117,M. Caicedo,Chelsea,Ecuador,Premier League,4587.0,58,1.0,1564.2405420532227,1541.798605145566,1.9409857443741738,0.6783356921873241,0.7471534816681509,0.0689071943910715,
DM,5,863,R. Bentancur,Tottenham,Uruguay,Premier League,3006.0,41,1.0,1558.641800916881,1541.9954529924482,1.9439795995288192,0.6405411529998152,0.7143827049715714,0.085120555578755,
DM,6,538,F. de Jong,Barcelona,Netherlands,La Liga,2906.0,43,1.0,1527.9518682400392,1514.8040453837232,0.9258729424528876,0.6793491568198466,0.7122612102123181,0.0865727339620117,
DM,7,162714,A. Onana,Aston Villa,Belgium,Premier League,2755.0,44,1.0,1547.7790169227671,1536.8517124127932,1.7487450625238088,0.6441270367685359,0.709050050240658,0.0889135880183747,
DM,8,1271,A. Tchouameni,Real Madrid,France,La Liga,4300.0,57,1.0,1552.4239239187673,1520.5330417501284,1.3299606647926816,0.657378636467366,0.7070327572142846,0.0711696303142693,
DM,9,747,Casemiro,Manchester United,Brazil,Premier League,3049.0,42,1.0,1536.1103895282765,1537.4082166896858,1.489537842929172,0.6413963622179201,0.6967970095679362,0.0845181973337754,
DM,10,6236,A. Cubas,Vancouver Whitecaps,Paraguay,Major League Soccer,2805.0,35,1.0,1499.7020154036604,1497.61220186312,0.3583845794724998,0.6803423205314133,0.6929912323746812,0.0881175685227012,
CM,1,133609,Pedri,Barcelona,Spain,La Liga,3539.0,51,1.0,1531.0024755984803,1515.7164902365375,1.1327558855408895,0.7496793477876889,0.7847658147687573,0.0784492247909585,
CM,2,374058,L. Camara,Monaco,Senegal,Ligue 1,2949.0,42,1.0,1548.2660217180924,1521.7799411418748,1.4972605446607965,0.6527832043270774,0.7102785298904849,0.0859392484562722,
CM,3,129678,A. Ounahi,Girona,Morocco,La Liga,2428.0,33,1.0,1517.7275190139956,1491.7571446729228,0.6644390251462052,0.6761144730043271,0.6994444008909237,0.094711910358498,
CM,4,335051,J. Neves,Paris Saint Germain,Portugal,Ligue 1,3100.0,46,1.0,1560.5464120817212,1546.4547267103917,1.881255689009194,0.6180588891310697,0.6923898020542184,0.0838200838201257,
CM,5,336657,W. Zaire-Emery,Paris Saint Germain,France,Ligue 1,4243.0,61,1.0,1546.7721237469475,1542.4081413332742,1.5591824636233533,0.6303767647010418,0.6906278625860127,0.0716460780479048,
CM,6,10135,Bruno Guimaraes,Newcastle,Brazil,Premier League,3921.0,50,1.0,1550.2348278529196,1538.6526975989195,1.665489861821156,0.6162438589462154,0.6824524593747694,0.0745298962315638,
