slot,player_id,player_name,club_name,competition_name,exact_role_minutes,exact_role_observations,exact_role_share,family_minutes,family_observations,context_matches,context_coverage,opponent_strength,competition_strength,rank_v2,score_margin_vs_best_alternative,plausibility_gate_passed
GK,369,D. Costa,FC Porto,Primeira Liga,2363.0,26,1.0,2363.0,26,54,1.0,1515.0177880008082,1489.1050378336356,1,0.0028996348307974706,True
RB,1417,A. Saelemaekers,AC Milan,Serie A,2601.0,32,0.8922813036020584,2601.0,32,45,1.0,1515.7410855258715,1504.2883031803376,1,0.011658405836228125,True
RCB,30776,C. Romero,Tottenham,Premier League,2485.0,29,0.9324577861163228,2665.0,31,40,1.0,1556.6906210676216,1545.3068413435935,1,0.05685372256673993,True
LCB,69,B. Mechele,Club Brugge KV,Jupiler Pro League,4880.0,55,0.942084942084942,5180.0,58,60,1.0,1520.35703319816,1511.3303368423658,1,0.005181841895491757,True
LB,263482,N. Mendes,Paris Saint Germain,UEFA Champions League,3139.0,43,0.9763608087091756,3139.0,43,51,1.0,1570.6587751668346,1551.5548166726614,1,0.015300696053853091,True
DM,138908,E. Anderson,Nottingham Forest,Premier League,3283.0,37,0.772834274952919,4248.0,48,57,1.0,1559.2379025034345,1536.0247475521144,1,0.0021128379413009046,True
CM,133609,Pedri,Barcelona,La Liga,551.0,7,0.1684500152858453,3271.0,40,51,1.0,1531.0024755984805,1515.7164902365375,1,0.07448728487827239,True
AM,156477,R. Cherki,Manchester City,Premier League,807.0,10,0.4953959484346225,1101.0,14,60,1.0,1558.5783341672209,1537.247935479248,1,0.04053561214178614,True
RW,386828,Lamine Yamal,Barcelona,La Liga,3929.0,46,0.9561937211000244,3929.0,46,52,1.0,1529.1086310505518,1513.635306930047,1,0.027829068346307606,True
LW,1422,J. Doku,Manchester City,Premier League,2447.0,32,0.9436945622830698,2503.0,33,54,1.0,1566.4443377941234,1539.5777434584804,1,0.059610351893145785,True
ST,154,L. Messi,Inter Miami,Major League Soccer,1109.0,14,0.5776041666666667,1109.0,14,44,1.0,1503.1381184466186,1497.1088011049271,1,0.037084633436117675,True
