domain,team_id,elo,component_id,component_size,competition_count,cross_competition_bridge,elo_z
national,26,1599.7426539777064,national:32,81,2,True,4.0
national,8,1569.5881304645925,national:32,81,2,True,3.396306254386091
national,11,1530.9523502419504,national:32,81,3,True,1.781014528073972
national,5164,1450.0737118793754,national:32,81,1,False,-1.6003742941425791
national,6,1545.0538857856052,national:32,81,2,True,2.37057409075657
national,2380,1489.5925477619928,national:32,81,2,True,0.05183638380482365
national,30,1468.6638336557794,national:32,81,1,False,-0.823155101893364
national,2382,1503.8838075381443,national:32,81,2,True,0.6493279717051561
club,1604,1522.2751943739106,club:451,585,2,True,1.2687496999697487
club,1608,1398.611062536804,club:451,585,2,True,-3.5346760912684676
club,126,1473.3508619198772,club:451,585,2,True,-0.6315943758563005
club,133,1485.9955185285257,club:451,585,4,True,-0.14044412256104083
club,1613,1510.5418629591386,club:451,585,2,True,0.8129976084166342
club,1603,1597.8365105188782,club:451,585,2,True,4.0
national,16,1595.6284751084763,national:32,81,2,True,4.0
national,5532,1487.9338141005726,national:32,81,1,False,-0.017512254788924837
club,157,1813.4356211045867,club:451,585,5,True,4.0
club,2537,1468.0417993297597,club:451,585,1,False,-0.8378117146579812
club,85,1710.994059047915,club:451,585,7,True,4.0
club,530,1589.7310626588073,club:451,585,5,True,3.888905218603453
club,121,1688.899033538339,club:451,585,5,True,4.0
club,212,1685.2812274447508,club:451,585,4,True,4.0
national,2384,1541.4179217090143,national:32,81,2,True,2.2185610433626564
national,5168,1483.4063767770363,national:32,81,2,True,-0.20679617782509369
national,2386,1466.9064857481533,national:32,81,3,True,-0.8966266228276519
national,23,1482.407999628196,national:32,81,3,True,-0.248536511240587
club,120,1460.0175383407404,club:451,585,4,True,-1.1494941857002128
club,1595,1571.278005595597,club:451,585,4,True,3.1721420884391565
club,49,1552.7312310531963,club:451,585,5,True,2.451738735762918
club,1616,1574.6810735926952,club:451,585,3,True,3.3043258052838294
club,451,1489.5783763383342,club:451,585,1,False,-0.0012769173713999338
club,211,1677.4276380604044,club:451,585,4,True,4.0
national,10983,1484.1515397762155,national:32,81,1,False,-0.17564226763117602
club,124,1589.7281502158887,club:451,585,6,True,3.8887920919981633
club,165,1635.644875408096,club:451,585,4,True,4.0
national,5530,1494.6039275421895,national:32,81,3,True,0.26135306108459533
national,5159,1463.2283792999501,national:32,81,2,True,-1.050401566158446
club,2282,1455.5535698150748,club:451,585,3,True,-1.3228859463418716
club,505,1695.8333728976593,club:451,585,5,True,4.0
national,5529,1529.8901714972792,national:32,81,2,True,1.7366067659362607
national,4672,1503.863776433663,national:32,81,2,True,0.6484905076459019
club,50,1732.0873804172868,club:451,585,5,True,4.0
club,968,1476.1548853763898,club:451,585,1,False,-0.522679055058261
club,541,1683.5456666876935,club:451,585,5,True,4.0
club,2932,1723.5891409587834,club:451,585,3,True,4.0
club,2865,1466.560064002822,club:451,585,1,False,-0.8953660400672007
club,496,1603.4190361643723,club:451,585,4,True,4.0
national,8171,1488.7577751909573,national:32,81,2,True,0.016936060333273228
club,1577,1488.0370713997988,club:451,585,1,False,-0.06114507626225698
club,127,1669.0407950788258,club:451,585,6,True,4.0
national,5161,1472.2197008511569,national:32,81,2,True,-0.6744907594765952
club,2699,1644.7438346752322,club:451,585,3,True,4.0
club,287,1490.4609002212158,club:451,585,1,False,0.0330025290407631
club,2767,1479.2466714823306,club:451,585,1,False,-0.4025863094767807
club,2292,1502.4993865839176,club:451,585,2,True,0.5006076059780388
club,571,1426.262613117527,club:451,585,3,True,-2.4606203464537146
national,29,1489.550032632528,national:32,81,2,True,0.05005890353984875
club,9568,1637.4874300978433,club:451,585,4,True,4.0
