fixture_id,league_id,league_name,season,player_rows,lineup_rows,players_response_nonempty,lineups_response_nonempty
1489369,1,World Cup,2026,52,52,True,True
1586077,1,World Cup,2026,51,51,True,True
1383423,2,UEFA Champions League,2025,0,46,False,True
1544371,2,UEFA Champions League,2025,46,46,True,True
1554364,2,UEFA Champions League,2026,0,41,False,True
1554385,2,UEFA Champions League,2026,32,43,True,True
1410068,3,UEFA Europa League,2025,0,44,False,True
1544596,3,UEFA Europa League,2025,46,46,True,True
1347239,6,Africa Cup of Nations,2025,52,52,True,True
1508003,6,Africa Cup of Nations,2025,51,51,True,True
1377225,11,CONMEBOL Sudamericana,2025,46,46,True,True
1485071,11,CONMEBOL Sudamericana,2025,46,46,True,True
1501201,11,CONMEBOL Sudamericana,2026,44,44,True,True
1535228,11,CONMEBOL Sudamericana,2026,44,44,True,True
1469724,12,CAF Champions League,2025,0,0,False,False
1541796,12,CAF Champions League,2025,40,40,True,True
1377443,13,CONMEBOL Libertadores,2025,46,46,True,True
1485040,13,CONMEBOL Libertadores,2025,46,46,True,True
1494504,13,CONMEBOL Libertadores,2026,46,46,True,True
1535314,13,CONMEBOL Libertadores,2026,46,46,True,True
1321680,15,FIFA Club World Cup,2025,47,47,True,True
1399365,15,FIFA Club World Cup,2025,48,48,True,True
1514127,16,CONCACAF Champions League,2026,43,43,True,True
1544369,16,CONCACAF Champions League,2026,46,46,True,True
1431101,17,AFC Champions League Elite,2025,44,44,True,True
1542238,17,AFC Champions League Elite,2025,46,46,True,True
1431049,18,AFC Champions League Two,2025,0,45,False,True
1542549,18,AFC Champions League Two,2025,0,46,False,True
1469820,20,CAF Confederation Cup,2025,0,0,False,False
1541943,20,CAF Confederation Cup,2025,40,40,True,True
1371356,22,CONCACAF Gold Cup,2025,46,46,True,True
1391246,22,CONCACAF Gold Cup,2025,46,46,True,True
1479250,30,World Cup - Qualification Asia,2026,46,46,True,True
1481800,30,World Cup - Qualification Asia,2026,46,46,True,True
1169556,31,World Cup - Qualification CONCACAF,2026,43,43,True,True
1453336,31,World Cup - Qualification CONCACAF,2026,46,46,True,True
1100310,34,World Cup - Qualification South America,2026,46,46,True,True
1100322,34,World Cup - Qualification South America,2026,46,46,True,True
1537582,37,World Cup - Qualification Intercontinental Play-offs,2026,46,46,True,True
1378969,39,Premier League,2025,40,40,True,True
1379348,39,Premier League,2025,40,40,True,True
1386551,40,Championship,2025,40,40,True,True
1545715,40,Championship,2025,40,40,True,True
1387103,41,League One,2025,36,36,True,True
1387653,41,League One,2025,36,36,True,True
1478183,45,FA Cup,2025,0,0,False,False
1542889,45,FA Cup,2025,40,40,True,True
1444527,46,EFL Trophy,2025,0,36,False,True
1529693,46,EFL Trophy,2025,36,36,True,True
1393285,48,League Cup,2025,38,38,True,True
1518728,48,League Cup,2025,40,40,True,True
1387706,61,Ligue 1,2025,40,40,True,True
1545409,61,Ligue 1,2025,40,40,True,True
1389126,62,Ligue 2,2025,37,37,True,True
1390013,62,Ligue 2,2025,36,36,True,True
1485814,66,Coupe de France,2025,0,0,False,False
1542551,66,Coupe de France,2025,40,40,True,True
1351157,71,Serie A,2025,46,46,True,True
1478056,71,Serie A,2025,46,46,True,True
1492110,71,Serie A,2026,46,46,True,True
1492297,71,Serie A,2026,46,46,True,True
1377538,73,Copa Do Brasil,2025,32,46,True,True
1491727,73,Copa Do Brasil,2025,46,46,True,True
1537034,73,Copa Do Brasil,2026,43,43,True,True
1537008,73,Copa Do Brasil,2026,45,45,True,True
1388308,78,Bundesliga,2025,40,40,True,True
1545418,78,Bundesliga,2025,40,40,True,True
1388614,79,2. Bundesliga,2025,40,40,True,True
1388919,79,2. Bundesliga,2025,40,40,True,True
1394057,80,3. Liga,2025,30,38,True,True
1394432,80,3. Liga,2025,0,39,False,True
1378937,81,DFB Pokal,2025,40,40,True,True
1542721,81,DFB Pokal,2025,40,40,True,True
1380868,88,Eredivisie,2025,42,42,True,True
1546052,88,Eredivisie,2025,45,45,True,True
1381914,89,Eerste Divisie,2025,43,41,True,True
1544691,89,Eerste Divisie,2025,0,46,False,True
1477433,90,KNVB Beker,2025,44,44,True,True
1529695,90,KNVB Beker,2025,47,46,True,True
1396240,94,Primeira Liga,2025,40,40,True,True
1545404,94,Primeira Liga,2025,40,40,True,True
1397975,95,Segunda Liga,2025,40,40,True,True
1545427,95,Segunda Liga,2025,0,40,False,True
