fixture_id,date_utc,league_id,league_name,league_type,country,season,home_team_id,home_team,away_team_id,away_team,status,is_friendly,is_youth,official_senior_main,in_current_window,in_pre_world_cup_window
1489369,2026-06-11 19:00:00+00:00,1,World Cup,Cup,World,2026,16,Mexico,1531,South Africa,FT,False,False,True,True,False
1586077,2026-07-15 19:00:00+00:00,1,World Cup,Cup,World,2026,10,England,26,Argentina,FT,False,False,True,True,False
1383423,2025-07-08 16:00:00+00:00,2,UEFA Champions League,Cup,World,2025,3502,Saburtalo,375,Malmo FF,FT,False,False,True,False,True
1544371,2026-05-30 16:00:00+00:00,2,UEFA Champions League,Cup,World,2025,85,Paris Saint Germain,42,Arsenal,PEN,False,False,True,True,True
1554364,2026-07-07 17:30:00+00:00,2,UEFA Champions League,Cup,World,2026,4625,Floriana,652,Shamrock Rovers,FT,False,False,True,True,False
1554385,2026-07-14 19:00:00+00:00,2,UEFA Champions League,Cup,World,2026,652,Shamrock Rovers,4625,Floriana,FT,False,False,True,True,False
1410068,2025-07-24 17:00:00+00:00,3,UEFA Europa League,Cup,World,2025,568,Sheriff Tiraspol,207,Utrecht,FT,False,False,True,True,True
1544596,2026-05-20 19:00:00+00:00,3,UEFA Europa League,Cup,World,2025,160,SC Freiburg,66,Aston Villa,FT,False,False,True,True,True
1347239,2025-12-21 19:00:00+00:00,6,Africa Cup of Nations,Cup,World,2025,31,Morocco,1524,Comoros,FT,False,False,True,True,True
1508003,2026-01-18 19:00:00+00:00,6,Africa Cup of Nations,Cup,World,2025,13,Senegal,31,Morocco,AET,False,False,True,True,True
1377225,2025-07-16 00:30:00+00:00,11,CONMEBOL Sudamericana,Cup,World,2025,118,Bahia,1138,America de Cali,FT,False,False,True,False,True
1485071,2025-11-22 20:00:00+00:00,11,CONMEBOL Sudamericana,Cup,World,2025,446,Lanus,1062,Atletico-MG,PEN,False,False,True,True,True
1501201,2026-03-04 00:30:00+00:00,11,CONMEBOL Sudamericana,Cup,World,2026,2331,Cobresal,2329,A. Italiano,PEN,False,False,True,True,True
1535228,2026-05-28 00:30:00+00:00,11,CONMEBOL Sudamericana,Cup,World,2026,435,River Plate,3701,Blooming,FT,False,False,True,True,True
1469724,2025-09-20 15:00:00+00:00,12,CAF Champions League,Cup,World,2025,17993,Bibiani Gold Stars,918,JS Kabylie,FT,False,False,True,True,True
1541796,2026-05-24 19:00:00+00:00,12,CAF Champions League,Cup,World,2025,969,FAR Rabat,2699,Mamelodi Sundowns,FT,False,False,True,True,True
1377443,2025-08-12 22:00:00+00:00,13,CONMEBOL Libertadores,Cup,World,2025,154,Fortaleza EC,438,Velez Sarsfield,FT,False,False,True,True,True
1485040,2025-11-29 21:00:00+00:00,13,CONMEBOL Libertadores,Cup,World,2025,121,Palmeiras,127,Flamengo,FT,False,False,True,True,True
1494504,2026-02-06 00:30:00+00:00,13,CONMEBOL Libertadores,Cup,World,2026,2353,Juventud,1157,Universidad Catolica,FT,False,False,True,True,True
1535314,2026-05-29 00:30:00+00:00,13,CONMEBOL Libertadores,Cup,World,2026,451,Boca Juniors,2994,U. Catolica,FT,False,False,True,True,True
1321680,2025-06-15 00:00:00+00:00,15,FIFA Club World Cup,Cup,World,2025,1577,Al Ahly,9568,Inter Miami,FT,False,False,True,False,True
