league_id,league_name,season,fixtures,current_window,pre_world_cup_window
40,Championship,2025,545,545,545
39,Premier League,2025,380,380,380
140,La Liga,2025,378,378,378
135,Serie A,2025,378,378,378
262,Liga MX,2025,331,321,331
144,Jupiler Pro League,2025,307,307,307
78,Bundesliga,2025,306,306,306
61,Ligue 1,2025,306,306,306
203,Süper Lig,2025,294,294,294
88,Eredivisie,2025,279,279,279
307,Pro League,2025,276,276,276
253,Major League Soccer,2025,270,195,270
89,Eerste Divisie,2025,258,258,258
2,UEFA Champions League,2025,245,241,245
71,Serie A,2025,241,224,241
94,Primeira Liga,2025,236,236,236
3,UEFA Europa League,2025,228,228,228
141,Segunda División,2025,224,224,224
848,UEFA Europa Conference League,2025,217,215,217
235,Premier League,2025,214,214,214
41,League One,2025,210,210,210
207,Super League,2025,209,209,209
253,Major League Soccer,2026,208,208,206
197,Super League 1,2025,194,194,194
179,Premiership,2025,192,192,192
318,1. Division,2025,177,177,177
119,Superliga,2025,177,177,177
128,Liga Profesional Argentina,2025,175,164,175
106,Ekstraklasa,2025,174,174,174
62,Ligue 2,2025,173,173,173
301,Pro League,2025,170,170,170
128,Liga Profesional Argentina,2026,169,169,169
345,Czech Liga,2025,166,166,166
71,Serie A,2026,161,161,157
288,Premier Soccer League,2025,150,150,150
79,2. Bundesliga,2025,150,150,150
218,Bundesliga,2025,149,149,149
188,A-League,2025,148,148,148
204,1. Lig,2025,139,139,139
233,Premier League,2025,130,130,130
95,Segunda Liga,2025,126,126,126
305,Stars League,2025,126,126,126
103,Eliteserien,2025,114,89,114
283,Liga I,2025,113,110,113
136,Serie B,2025,108,108,108
17,AFC Champions League Elite,2025,105,105,105
1,World Cup,2026,102,102,0
292,K League 1,2025,98,81,98
239,Primera A,2025,97,84,97
210,HNL,2025,96,96,96
113,Allsvenskan,2025,91,75,91
271,NB I,2025,90,90,90
98,J1 League,2025,88,67,88
13,CONMEBOL Libertadores,2026,77,77,77
80,3. Liga,2025,74,74,74
98,J1 League,2026,74,74,74
286,Super Liga,2025,72,72,72
172,First League,2025,72,72,72
12,CAF Champions League,2025,72,72,72
292,K League 1,2026,69,69,62
242,Liga Pro,2026,68,68,57
242,Liga Pro,2025,67,53,67
383,Ligat Ha'al,2025,67,67,67
143,Copa del Rey,2025,66,66,66
45,FA Cup,2025,64,64,64
11,CONMEBOL Sudamericana,2026,62,62,62
332,Super Liga,2025,62,62,62
15,FIFA Club World Cup,2025,60,0,60
48,League Cup,2025,60,60,60
66,Coupe de France,2025,57,57,57
772,Leagues Cup,2025,55,55,55
206,Türkiye Kupası,2025,54,54,54
18,AFC Champions League Two,2025,51,51,51
16,CONCACAF Champions League,2026,47,47,47
81,DFB Pokal,2025,47,47,47
357,Premier Division,2026,46,46,36
103,Eliteserien,2026,42,42,38
475,Paulista - A1,2026,40,40,40
90,KNVB Beker,2025,39,39,39
137,Coppa Italia,2025,38,38,38
6,Africa Cup of Nations,2025,37,37,37
20,CAF Confederation Cup,2025,34,34,34
113,Allsvenskan,2026,34,34,28
11,CONMEBOL Sudamericana,2025,33,30,33
265,Primera División,2025,33,29,33
357,Premier Division,2025,33,21,33
145,Challenger Pro League,2025,32,32,32
624,Carioca - 1,2026,31,31,31
296,Thai League 1,2025,30,30,30
46,EFL Trophy,2025,30,30,30
265,Primera División,2026,29,29,27
73,Copa Do Brasil,2025,28,28,28
13,CONMEBOL Libertadores,2025,27,27,27
96,Taça de Portugal,2025,25,25,25
239,Primera A,2026,25,25,25
73,Copa Do Brasil,2026,24,24,24
22,CONCACAF Gold Cup,2025,24,0,24
244,Veikkausliiga,2025,21,17,21
31,World Cup - Qualification CONCACAF,2026,19,18,19
169,Super League,2026,18,18,15
244,Veikkausliiga,2026,15,15,9
114,Superettan,2026,14,14,11
34,World Cup - Qualification South America,2026,13,10,13
30,World Cup - Qualification Asia,2026,7,7,7
1168,FIFA Intercontinental Cup,2025,5,5,5
556,Super Cup,2025,3,3,3
547,Super Cup,2025,3,3,3
551,Super Cup,2025,3,3,3
2,UEFA Champions League,2026,2,2,0
37,World Cup - Qualification Intercontinental Play-offs,2026,1,1,1
262,Liga MX,2026,1,1,0
526,Trophée des Champions,2025,1,1,1
531,UEFA Super Cup,2025,1,1,1
529,Super Cup,2025,1,1,1
528,Community Shield,2025,1,1,1
533,CAF Super Cup,2025,1,1,1
