resolved_role,reason,players
RB,upper90_can_enter_real_xi,81
RW,upper90_can_enter_real_xi,68
AM,upper90_can_enter_real_xi,48
GK,upper90_can_enter_real_xi,37
CM,upper90_can_enter_real_xi,20
RCB,upper90_can_enter_real_xi,13
LB,upper90_can_enter_real_xi,8
ST,high_ability_role_stabilization,6
LCB,upper90_can_enter_real_xi,5
LB,high_ability_role_stabilization,4
RB,upper90_can_enter_top30,4
RW,upper90_can_enter_top30,4
CM,high_ability_role_stabilization,3
CM,upper90_can_enter_top30,3
AM,high_ability_role_stabilization,2
AM,upper90_can_enter_top30,2
DM,covered_pool_shortage,2
DM,high_ability_role_stabilization,2
DM,upper90_can_enter_real_xi,2
LCB,high_ability_role_stabilization,2
RCB,covered_pool_shortage,2
LW,high_ability_role_stabilization,1
LW,upper90_can_enter_real_xi,1
RB,high_ability_role_stabilization,1
RCB,top35_guardrail,1
ST,upper90_can_enter_real_xi,1
