player_id,player_name,world_cup_team,squad_position,resolved_role,role_stability,role_observations,role_distribution,minutes_num,overall,uncertainty,conservative_score,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping,profile_scored,identity_rows_before_deduplication,formation_primary_role,formation_primary_role_raw,formation_role_stability_minutes,formation_precise_minutes,formation_role_observations,formation_role_distribution,canonical_name,allowed_roles,preferred_role,public_position,source_type,source_url,checked_at_utc,evidence_note,high_impact_current_release,public_anchor_available,current_role_publicly_compatible,formation_role_publicly_compatible,audited_role,audited_role_source,audited_role_publicly_compatible,role_changed,public_conflict_current,public_conflict_formation,formation_evidence_stable,profile_scored_bool,audited_role_eligible,overall_audited,conservative_score_audited
271,L. Paredes,Argentina,Midfielder,AM,0.8205128205128205,39,AM:32 | DM:5 | CM:2,3687.0,0.7297198287208823,0.0768585822136089,0.6528612465072733,0.8558873158433865,0.6559637023984938,0.7830182295331928,0.5118561604933325,0.5722299527203937,0.6258665937194237,0.7569725055534922,0.6004025523684093,True,1,DM,DM,0.7251461988304093,684.0,8.0,DM:496m/6 | CM:188m/2,Leandro Paredes,DM|CM,DM,midfielder,official_club_news,https://www.asroma.com/en/news/72982/paredes-signs-new-deal-until-30-june-2026,2026-07-20,Roma identifies Paredes as a midfielder; AM is excluded,True,True,False,True,DM,formation_and_public_agree,True,True,True,False,False,True,True,0.699795449408959,0.6229368671953501
278,K. Mbappe,France,Attacker,RW,0.8723404255319149,47,RW:41 | ST:5 | LW:1,4228.0,0.7652669971779251,0.0717730576679086,0.6934939395100165,0.5103376224444001,0.8389728071545359,0.7889353649265,0.9778309582408936,0.2274829287792701,0.4079832050523204,0.5459210982195699,0.5322806446313325,True,2,ST,ST,0.6836638338054769,4236.0,48.0,ST:2896m/33 | AM:711m/8 | DM:629m/7,Kylian Mbappe,ST|LW,ST,forward,official_club,https://www.realmadrid.com/en-US/football/first-team/players/kylian-mbappe,2026-07-20,Real Madrid lists Mbappe as a forward; preferred central attacking role for this ontology,True,True,False,True,ST,formation_and_public_agree,True,True,True,False,True,True,True,0.7754605329358748,0.7036874752679662
1117,K. Tierney,Scotland,Midfielder,RB,0.7,40,RB:28 | LB:12,3486.0,0.5936742946444555,0.0790433332862751,0.5146309613581804,0.6717959998558554,0.5470505605097841,0.7014910198359349,0.5333139235928253,0.5433384939047179,0.5269571821296841,0.5601367840041861,0.4143017316645189,True,1,LCB,LCB,1.0,904.0,11.0,LCB:904m/11,Kieran Tierney,LB,LB,defender,official_club,https://www.celticfc.com/players/kieran-tierney,2026-07-20,Celtic lists Tierney as a defender; career role is left-back,True,True,False,False,LB,public_preferred_override,True,True,True,True,True,True,True,0.5936742946444555,0.5146309613581804
1422,J. Doku,Belgium,Midfielder,CM,0.9,40,CM:36 | LW:3 | ST:1,3271.0,0.7602722023267787,0.081599719459298,0.6786724828674807,0.5364074263492392,0.9651187785959998,0.8591729322590616,0.6288346280780234,0.409790908936892,0.9034043888163888,0.5495838613711092,0.4578917554337903,True,1,LW,LW,0.3740019163206643,3131.0,40.0,LW:1171m/15 | CM:773m/10 | AM:767m/9 | DM:300m/4 | ST:64m/1 | RW:56m/1,Jeremy Doku,RW|LW,RW,winger,official_club_news,https://www.mancity.com/news/mens/jeremy-doku-season-overview-63853436,2026-07-20,Manchester City describes Doku as a winger,True,True,False,True,LW,formation_and_public_agree,True,True,True,False,False,True,True,0.8011881056395112,0.7195883861802131
2489,L. Diaz,Colombia,Midfielder,CM,0.8490566037735849,53,CM:45 | LW:5 | ST:1 | DM:1 | AM:1,4720.0,0.7521635370401455,0.067929424991391,0.6842341120487545,0.595745303460046,0.8093498369572664,0.8155188006498966,0.8587883232559071,0.3453542702446861,0.5079136420921947,0.5298007239581655,0.5477284988150108,True,1,AM,AM,0.6694542253521126,4544.0,53.0,AM:3042m/36 | LW:1406m/16 | ST:96m/1,Luis Diaz,LW|ST,LW,forward or left wing,official_club,https://fcbayern.com/en/teams/first-team/luis-diaz,2026-07-20,Bayern says Diaz is a forward comfortable on the left wing and centrally,True,True,False,False,LW,public_preferred_override,True,True,True,True,True,True,True,0.7463359463885896,0.6784065213971986
2601,D. Kamada,Japan,Attacker,ST,0.7804878048780488,41,ST:32 | RW:9,3539.0,0.528463835858335,0.0784492247909585,0.4500146110673764,0.5412662696607501,0.5372325867858309,0.5753677173982457,0.4576874143318721,0.5970166967405329,0.5313868625917663,0.5419582573201696,0.510870199213738,True,1,AM,AM,0.5334728033472803,956.0,13.0,AM:510m/6 | CM:377m/5 | RW:69m/1 | ST:0m/1,Daichi Kamada,AM|CM,AM,midfielder,official_club,https://www.cpfc.co.uk/teams/first-team/midfielder/daichi-kamada/,2026-07-20,Crystal Palace lists Kamada as a midfielder; ST is excluded,True,True,False,True,AM,formation_and_public_agree,True,True,True,False,False,True,True,0.5371060417897717,0.4586568169988132
2869,E. Alvarez,Mexico,Defender,RB,0.8666666666666667,15,RB:13 | RCB:2,1333.0,0.7073064725034203,0.1278244294772826,0.5794820430261376,0.6450494527662062,0.4735040706059623,0.4644762723453683,0.4294976437317927,0.8503344237537235,0.7442309869462705,0.4936374315977927,0.5730978457256396,True,2,DM,DM,0.8387096774193549,1674.0,20.0,DM:1404m/17 | RCB:180m/2 | CM:90m/1,Edson Alvarez,DM|RCB,DM,deep midfielder,official_club,https://www.whufc.com/en/teams/mens-team/edson-alvarez,2026-07-20,West Ham describes Alvarez as a midfielder usually playing deep and sometimes in defence,True,True,False,True,DM,formation_and_public_agree,True,True,True,False,True,True,True,0.6633555215725851,0.5355310920953026
6002,E. Palacios,Argentina,Defender,RB,1.0,19,RB:19,1686.0,0.6944075536179698,0.1136580374025179,0.5807495162154519,0.8757533339022833,0.4776174621152314,0.4792543885933022,0.3748372202761329,0.7186354540806643,0.5777035333139608,0.60083118492179,0.6705733245181427,True,1,RCB,RCB,0.5,360.0,4.0,RCB:180m/2 | DM:90m/1 | RB:90m/1,Exequiel Palacios,CM|DM,CM,midfielder,official_club,https://www.bayer04.de/en-us/player/werkself/bayer-04-leverkusen/exequiel-palacios,2026-07-20,Bayer 04 lists Palacios in midfield; RB is excluded,True,True,False,False,CM,public_preferred_override,True,True,True,True,False,True,True,0.632023270867794,0.5183652334652761
19617,M. Olise,France,Midfielder,CM,1.0,52,CM:52,4569.0,0.8102143473077419,0.0690427941176097,0.7411715531901322,0.7091114828456158,0.8934296224709991,0.90274240338615,0.8368737855003541,0.3756585754153179,0.7048010000850327,0.5303449823639997,0.502077930342978,True,1,AM,AM,0.7605506657639359,4431.0,52.0,AM:3370m/40 | RW:971m/11 | CM:90m/1,Michael Olise,RW|AM,RW,forward or right winger,official_club,https://fcbayern.com/en/teams/first-team/michael-olise,2026-07-20,Bayern lists Olise as a forward who mostly plays on the right wing,True,True,False,True,AM,formation_and_public_agree,True,True,True,False,True,True,True,0.8102143473077418,0.7411715531901321
25158,D. Raum,Germany,Midfielder,RB,0.9411764705882352,34,RB:32 | LB:1 | LCB:1,3030.0,0.6677485732012052,0.0847827742638868,0.5829657989373184,0.7176180105497567,0.720207928699296,0.8921081507530005,0.4897578599894956,0.5857224199197393,0.339147941061167,0.4677590237562899,0.4136149400045529,True,1,LB,LB,0.6666666666666666,270.0,3.0,LB:180m/2 | LCB:90m/1,David Raum,LB,LB,left-back,official_league_news,https://www.bundesliga.com/en/bundesliga/news/who-is-david-raum-rb-leipzig-left-back-germany-squad-hansi-flick-17085,2026-07-20,Bundesliga explicitly identifies Raum as a left-back,True,True,False,True,LB,formation_and_public_agree,True,True,True,False,False,True,True,0.6677485732012052,0.5829657989373184
