review_id,player_name,national_team,provider_squad_group,annual_minutes,classified_position_minutes,complete_lineup_observations,reviewer_primary_role,reviewer_secondary_role,confidence_1_3,evidence_or_rationale
V31-0001,T. Meunier,Belgium,Defender,2744,2403,28,,,,
V31-0002,N. Schlotterbeck,Germany,Defender,3425,2325,26,,,,
V31-0003,R. Bensebaini,Algeria,Defender,3155,3316,37,,,,
V31-0004,A. Tanaka,Japan,Midfielder,1899,1621,21,,,,
V31-0005,H. Kane,England,Attacker,4702,4689,54,,,,
V31-0006,C. Richards,USA,Defender,4581,4203,48,,,,
V31-0007,M. Ugarte,Uruguay,Midfielder,1322,1048,14,,,,
V31-0008,N. Amiri,Germany,Midfielder,2878,2376,29,,,,
V31-0009,Gabriel,Brazil,Defender,4750,4452,51,,,,
V31-0010,Ederson,Brazil,Goalkeeper,3246,3156,35,,,,
V31-0011,F. Aursnes,Norway,Defender,4061,4037,47,,,,
V31-0012,T. Hernandez,France,Defender,3696,3127,35,,,,
V31-0013,S. Bueno,Uruguay,Defender,3010,1087,12,,,,
V31-0014,S. Taniguchi,Japan,Defender,3193,982,11,,,,
V31-0015,Vinicius Junior,Brazil,Midfielder,4696,4835,58,,,,
V31-0016,I. Toney,England,Attacker,3559,3236,36,,,,
V31-0017,D. Raum,Germany,Midfielder,3030,2822,32,,,,
V31-0018,W. Pina,Cape Verde Islands,Defender,2816,806,9,,,,
V31-0019,A. Nubel,Germany,Goalkeeper,4476,4386,48,,,,
V31-0020,C. Summerville,Netherlands,Attacker,2808,1875,22,,,,
V31-0021,Neymar,Brazil,Attacker,2566,355,4,,,,
V31-0022,T. Mokoena,South Africa,Midfielder,3348,727,10,,,,
V31-0023,P. Vite,Ecuador,Midfielder,3709,2446,28,,,,
V31-0024,P. Okon-Engstler,Australia,Midfielder,2529,162,2,,,,
V31-0025,Y. Tielemans,Belgium,Midfielder,3059,2839,33,,,,
V31-0026,N. Angulo,Ecuador,Midfielder,3028,1752,22,,,,
V31-0027,M. Caicedo,Ecuador,Midfielder,4587,4462,52,,,,
V31-0028,C. Riad,Morocco,Defender,1125,985,12,,,,
V31-0029,T. Muharemovic,Bosnia & Herzegovina,Defender,3185,3095,35,,,,
V31-0030,P. Porro,Spain,Defender,4374,4335,50,,,,
V31-0031,A. Rufer,New Zealand,Midfielder,2044,0,0,,,,
V31-0032,R. Schmid,Austria,Midfielder,3254,3081,36,,,,
V31-0033,A. Sorloth,Norway,Attacker,3164,2328,32,,,,
V31-0034,E. Achouri,Tunisia,Midfielder,2422,631,8,,,,
V31-0035,N. Semedo,Portugal,Defender,3145,2508,31,,,,
V31-0036,J. Mateta,France,Attacker,3430,3022,39,,,,
V31-0037,Rayan,Brazil,Midfielder,4318,3973,50,,,,
V31-0038,O. Diomande,Ivory Coast,Defender,2338,2077,24,,,,
V31-0039,D. Olmo,Spain,Midfielder,3265,2762,36,,,,
V31-0040,H. Hassan,Egypt,Midfielder,2150,1359,19,,,,
V31-0041,N. Elvedi,Switzerland,Defender,3837,1410,15,,,,
V31-0042,A. Modiba,South Africa,Defender,3194,781,9,,,,
V31-0043,M. Olivera,Uruguay,Defender,2187,1549,20,,,,
V31-0044,R. Khedira,Tunisia,Midfielder,2718,2312,26,,,,
V31-0045,N. Bentaleb,Algeria,Midfielder,2303,1974,24,,,,
V31-0046,D. Nunez,Uruguay,Attacker,1838,1604,19,,,,
V31-0047,E. Owusu,Ghana,Midfielder,2504,2009,24,,,,
V31-0048,M. Niakhate,Senegal,Defender,4637,3030,33,,,,
V31-0049,F. Rieder,Switzerland,Midfielder,2847,2645,33,,,,
V31-0050,M. Guehi,England,Defender,5114,4288,48,,,,
V31-0051,M. Choiniere,Canada,Midfielder,2171,921,12,,,,
V31-0052,R. Goss,South Africa,Goalkeeper,2610,180,2,,,,
V31-0053,J. Ito,Japan,Attacker,2420,1058,14,,,,
V31-0054,S. Sithole,South Africa,Midfielder,2006,869,11,,,,
V31-0055,A. Ueda,Japan,Attacker,3549,3526,43,,,,
V31-0056,V. Darida,Czech Republic,Midfielder,2830,1720,20,,,,
V31-0057,D. Rice,England,Midfielder,4949,4741,55,,,,
V31-0058,J. Enciso,Paraguay,Attacker,3353,3106,38,,,,
V31-0059,S. Caceres,Uruguay,Defender,3204,2406,29,,,,
V31-0060,J. Placide,Haiti,Goalkeeper,2700,810,9,,,,
V31-0061,J. Vasquez,Mexico,Defender,3864,1911,21,,,,
V31-0062,N. Woltemade,Germany,Attacker,3318,2805,37,,,,
V31-0063,A. Obispo,Curaçao,Defender,2031,1445,18,,,,
V31-0064,D. Doue,France,Midfielder,2918,2921,39,,,,
V31-0065,M. Muheim,Switzerland,Defender,2739,1577,18,,,,
V31-0066,D. Jurasek,Czech Republic,Defender,2144,1150,13,,,,
V31-0067,J. Yeboah,Ecuador,Attacker,3079,135,2,,,,
V31-0068,B. Mechele,Belgium,Defender,5270,5180,58,,,,
V31-0069,A. Grimaldo,Spain,Defender,4038,3993,45,,,,
V31-0070,J. Garcia,Spain,Goalkeeper,4049,4049,45,,,,
V31-0071,Ibanez,Brazil,Defender,3476,2986,34,,,,
V31-0072,Rodri,Spain,Midfielder,2811,2278,29,,,,
V31-0073,K. Mudau,South Africa,Defender,3322,907,12,,,,
V31-0074,M. Arfsten,USA,Midfielder,2845,1204,14,,,,
V31-0075,E. Skhiri,Tunisia,Defender,2503,1347,17,,,,
V31-0076,J. Ordonez,Ecuador,Defender,3955,3366,39,,,,
V31-0077,L. Hernandez,France,Defender,2084,1804,22,,,,
V31-0078,Z. Suzuki,Japan,Goalkeeper,2345,1080,12,,,,
V31-0079,K. Sebelebele,South Africa,Midfielder,1797,1673,20,,,,
V31-0080,S. Berge,Norway,Midfielder,3499,3218,37,,,,
V31-0081,P. Sulc,Czech Republic,Attacker,2788,1453,18,,,,
V31-0082,P. Hincapie,Ecuador,Midfielder,3442,2705,33,,,,
V31-0083,N. Mendes,Portugal,Defender,3391,3215,44,,,,
V31-0084,J. Kimmich,Germany,Defender,4423,4517,51,,,,
V31-0085,T. Almada,Argentina,Midfielder,2028,1528,23,,,,
V31-0086,A. Elanga,Sweden,Midfielder,2361,1798,25,,,,
V31-0087,M. Rogers,England,Midfielder,4821,4615,53,,,,
V31-0088,H. Vanaken,Belgium,Midfielder,4957,4818,55,,,,
V31-0089,N. Al Dawsari,Saudi Arabia,Midfielder,2246,1811,21,,,,
V31-0090,I. Saibari,Morocco,Attacker,3863,3754,46,,,,
V31-0091,Lee Han-Beom,South Korea,Defender,3126,1170,13,,,,
V31-0092,Bruno Guimaraes,Brazil,Midfielder,3921,3617,42,,,,
