player_id,player_name,role,role_minutes,role_observations,role_share
1,R. Burki,GK,0.0,2,
2,M. Hitz,GK,0.0,2,
4,L. Unbehaun,GK,0.0,1,
5,M. Akanji,LCB,690.0,7,0.24210526315789474
5,M. Akanji,RCB,2160.0,24,0.7578947368421053
6,L. Balerdi,LCB,0.0,2,
6,L. Balerdi,RCB,0.0,11,
8,R. Guerreiro,AM,0.0,6,
8,R. Guerreiro,DM,0.0,1,
8,R. Guerreiro,LB,0.0,2,
8,R. Guerreiro,RB,0.0,2,
8,R. Guerreiro,RW,0.0,2,
8,Raphaël Guerreiro,LB,0.0,3,
9,A. Hakimi,RB,3997.0,45,0.9763067904250122
9,Achraf Hakimi,RB,97.0,1,0.023693209574987786
13,D. Zagadou,LCB,0.0,1,
14,M. Dahoud,CM,0.0,3,
14,M. Dahoud,DM,0.0,5,
14,M. Dahoud,ST,0.0,1,
15,T. Delaney,CM,0.0,2,
16,M. Gotze,AM,0.0,8,
16,M. Gotze,CM,0.0,4,
16,M. Gotze,ST,0.0,1,
17,C. Pulisic,LW,117.0,2,0.06806282722513089
17,C. Pulisic,ST,1602.0,21,0.9319371727748691
18,J. Sancho,LW,0.0,5,
18,J. Sancho,RW,0.0,11,
19,J. Weigl,CM,0.0,5,
19,J. Weigl,DM,0.0,5,
20,A. Witsel,CM,180.0,2,0.08746355685131195
20,A. Witsel,DM,1878.0,23,0.9125364431486881
22,J. Bruun Larsen,AM,0.0,2,
22,J. Bruun Larsen,LW,0.0,2,
22,J. Bruun Larsen,RW,0.0,5,
22,J. Bruun Larsen,ST,0.0,1,
23,S. Gomez,LB,0.0,31,
26,M. Wolf,LB,0.0,1,
26,M. Wolf,RB,0.0,7,
26,M. Wolf,ST,0.0,1,
29,J. Oblak,GK,0.0,45,
30,S. Arias,RB,177.0,2,1.0
31,J. Giménez,RCB,0.0,1,0.0
31,J. M. Gimenez,LCB,300.0,4,0.28846153846153844
31,J. M. Gimenez,RCB,740.0,9,0.7115384615384616
33,L. Hernandez,LB,1749.0,21,0.9695121951219512
33,L. Hernández,LB,55.0,1,0.03048780487804878
39,S. Savic,LCB,0.0,1,
39,S. Savic,RCB,0.0,2,
44,Rodri,DM,2278.0,29,1.0
45,T. Lemar,AM,0.0,8,
45,T. Lemar,CM,0.0,2,
48,S. Niguez,DM,0.0,4,
49,T. Partey,CM,891.0,12,0.7674418604651163
49,T. Partey,DM,270.0,3,0.23255813953488372
50,Koke,CM,0.0,31,
50,Koke,DM,0.0,9,
52,S. Camello,LW,0.0,1,
52,S. Camello,ST,0.0,3,
53,A. Correa,AM,0.0,1,
53,A. Correa,RW,0.0,1,
56,A. Griezmann,CM,0.0,1,
56,A. Griezmann,ST,0.0,29,
59,A. Morata,ST,0.0,7,
61,B. Gabriel,GK,0.0,4,
67,S. Denswil,LCB,0.0,4,
68,C. Mata,RB,0.0,1,
68,C. Mata,RCB,0.0,29,
69,B. Mechele,LCB,4880.0,55,0.9420849420849421
69,B. Mechele,RCB,300.0,3,0.05791505791505792
70,M. Mitrovic,LCB,0.0,1,
71,Luan Peres,LCB,0.0,2,
74,S. Amrabat,CM,423.0,5,0.23396017699115043
74,S. Amrabat,DM,1385.0,17,0.7660398230088495
78,H. Vanaken,AM,2655.0,30,0.5510585305105853
78,H. Vanaken,CM,1080.0,12,0.22415940224159403
78,H. Vanaken,DM,1083.0,13,0.22478206724782068
81,K. Diatta,LB,90.0,1,0.06105834464043419
81,K. Diatta,RB,1384.0,16,0.9389416553595658
83,A. Danjuma,LW,0.0,5,
83,A. Danjuma,ST,0.0,4,
85,C. Ngonge,RW,0.0,2,
85,C. Ngonge,ST,0.0,4,
86,L. Openda,AM,0.0,1,
86,L. Openda,ST,0.0,9,
87,K. Rezaei,ST,0.0,1,
88,S. Schrijvers,CM,0.0,2,
95,B. Badiashile,LCB,0.0,10,
98,B. Henrichs,RB,0.0,2,
102,D. Sidibe,RB,0.0,5,
102,D. Sidibe,RCB,0.0,1,
104,Carlos Vinicius,ST,0.0,1,
105,F. Ballo-Toure,LB,0.0,7,
107,S. Diop,AM,0.0,7,
107,S. Diop,CM,0.0,1,
107,S. Diop,LW,0.0,6,
107,S. Diop,ST,0.0,2,
109,A. Golovin,AM,0.0,13,
109,A. Golovin,CM,0.0,2,
109,A. Golovin,LW,0.0,8,
110,H. Massengo,CM,0.0,28,
111,Rony Lopes,ST,0.0,1,
112,K. N'Doram,CM,0.0,2,
116,K. Thuram,CM,0.0,36,
116,K. Thuram,DM,0.0,4,
118,G. Martins,LW,0.0,2,
118,G. Martins,RW,0.0,8,
120,W. Geubbels,ST,0.0,6,
124,J. Cillessen,GK,0.0,2,
125,J. Ezkieta,GK,0.0,1,
126,I. Pena,GK,0.0,5,
127,M. ter Stegen,GK,0.0,2,
128,J. Alba,LB,0.0,7,
128,J. Alba,LW,0.0,1,
128,J. Alba,RB,0.0,1,
128,J. Alba,RW,0.0,1,
128,Jordi Alba,LB,0.0,1,
130,N. Semedo,CM,90.0,1,0.038527397260273974
130,N. Semedo,LB,146.0,2,0.0625
130,N. Semedo,RB,2032.0,25,0.8698630136986302
130,N. Semedo,RCB,68.0,1,0.02910958904109589
131,J. Cuenca,LCB,0.0,13,
133,C. Lenglet,LCB,0.0,20,
134,J. Miranda,LB,0.0,17,
134,J. Miranda,RB,0.0,1,
135,J. Murillo,LCB,0.0,1,
137,S. Roberto,CM,0.0,3,
137,S. Roberto,DM,0.0,1,
138,J. Todibo,LCB,0.0,10,
138,J. Todibo,RCB,0.0,9,
143,C. Alena,CM,0.0,1,
143,C. Alena,LW,0.0,8,
144,S. Busquets,CM,0.0,5,
144,S. Busquets,DM,0.0,3,
144,S. Busquets,LB,0.0,1,
144,S. Busquets,LCB,0.0,1,
144,Sergio Busquets,CM,0.0,2,
146,A. Collado,RW,0.0,1,
147,Coutinho,AM,0.0,9,
147,Coutinho,RW,0.0,1,
153,O. Dembele,AM,80.0,1,0.03187250996015936
153,O. Dembele,RW,533.0,7,0.21235059760956176
153,O. Dembele,ST,1554.0,22,0.6191235059760957
153,O. Dembélé,ST,149.0,2,0.05936254980079681
153,Ousmane Dembélé,ST,194.0,2,0.07729083665338646
154,L. Messi,AM,553.0,6,0.28802083333333334
154,L. Messi,RW,258.0,3,0.134375
154,L. Messi,ST,1109.0,14,0.5776041666666667
156,Malcom,AM,0.0,1,
156,Malcom,RW,0.0,25,
156,Malcom,ST,0.0,1,
157,L. Suarez,LW,0.0,1,
157,L. Suarez,ST,0.0,7,
157,L. Suárez,ST,0.0,2,
158,P. Gazzaniga,GK,0.0,27,
159,H. Lloris,GK,0.0,13,
164,B. Davies,LB,0.0,3,
