player_id,player_name,primary_role,primary_role_minutes,primary_role_observations,classified_role_minutes,primary_role_share,primary_role_eligible,exact_window_total_minutes,positional_gate_passed,total_minutes_gate_passed
1,R. Burki,GK,0.0,4,0.0,0.0,False,0.0,False,False
2,M. Hitz,GK,0.0,2,0.0,0.0,False,0.0,False,False
4,L. Unbehaun,GK,0.0,1,0.0,0.0,False,0.0,False,False
5,M. Akanji,RCB,2160.0,24,2850.0,0.7578947368421053,True,4307.0,True,True
6,L. Balerdi,RCB,0.0,11,0.0,0.0,False,0.0,False,False
8,R. Guerreiro,AM,0.0,6,0.0,0.0,False,0.0,False,False
9,A. Hakimi,RB,3997.0,45,4094.0,0.9763067904250122,True,3641.0,True,True
13,D. Zagadou,LCB,0.0,1,0.0,0.0,False,0.0,False,False
14,M. Dahoud,DM,0.0,5,0.0,0.0,False,0.0,False,False
15,T. Delaney,CM,0.0,4,0.0,0.0,False,0.0,False,False
16,M. Gotze,AM,0.0,8,0.0,0.0,False,0.0,False,False
17,C. Pulisic,ST,1602.0,21,1719.0,0.9319371727748692,True,2030.0,True,True
18,J. Sancho,RW,0.0,13,0.0,0.0,False,0.0,False,False
19,J. Weigl,CM,0.0,6,0.0,0.0,False,0.0,False,False
20,A. Witsel,DM,1878.0,23,2058.0,0.912536443148688,True,2564.0,True,True
22,J. Bruun Larsen,RW,0.0,5,0.0,0.0,False,0.0,False,False
23,S. Gomez,LB,0.0,31,0.0,0.0,False,0.0,False,False
25,M. Reus,DM,0.0,1,0.0,0.0,False,0.0,False,False
26,M. Wolf,RB,0.0,9,0.0,0.0,False,0.0,False,False
29,J. Oblak,GK,0.0,45,0.0,0.0,False,0.0,False,False
30,S. Arias,RB,357.0,5,357.0,1.0,False,2709.0,False,True
31,J. M. Gimenez,RCB,740.0,9,1040.0,0.7115384615384616,False,1537.0,False,False
33,L. Hernandez,LB,1749.0,21,1804.0,0.9695121951219512,True,2084.0,True,True
37,N. Perez,RCB,0.0,1,0.0,0.0,False,0.0,False,False
39,S. Savic,RCB,0.0,3,0.0,0.0,False,0.0,False,False
