fixture_id,unresolved_players,player_fixture_pairs,max_priority,total_priority,information_value_score
1415643,4,8,6.5,52.0,32.5
1446922,4,8,6.5,52.0,32.5
1340875,3,6,6.5,39.0,26.0
1415598,3,6,6.5,39.0,26.0
1415609,3,6,6.5,39.0,26.0
1446911,3,6,6.5,39.0,26.0
1446924,3,6,6.5,39.0,26.0
1544966,3,6,6.5,39.0,26.0
1393775,3,6,6.5,38.0,25.5
1415919,3,6,6.5,36.0,24.5
1446917,3,6,6.5,36.0,24.5
1446929,3,6,6.5,36.0,24.5
1543180,3,6,6.5,36.0,24.5
1544969,3,6,6.5,36.0,24.5
1340853,2,4,6.5,26.0,19.5
1340860,2,4,6.5,26.0,19.5
1340861,2,4,6.5,26.0,19.5
1383451,2,4,6.5,26.0,19.5
1383454,2,4,6.5,26.0,19.5
1389645,2,4,6.5,26.0,19.5
1389661,2,4,6.5,26.0,19.5
1389684,2,4,6.5,26.0,19.5
1389732,2,4,6.5,26.0,19.5
1389742,2,4,6.5,26.0,19.5
1389753,2,4,6.5,26.0,19.5
1393752,2,4,6.5,26.0,19.5
1393759,2,4,6.5,26.0,19.5
1415592,2,4,6.5,26.0,19.5
1415603,2,4,6.5,26.0,19.5
1415617,2,4,6.5,26.0,19.5
1415627,2,4,6.5,26.0,19.5
1415649,2,4,6.5,26.0,19.5
1415668,2,4,6.5,26.0,19.5
1415685,2,4,6.5,26.0,19.5
1415697,2,4,6.5,26.0,19.5
1415708,2,4,6.5,26.0,19.5
1415724,2,4,6.5,26.0,19.5
1415732,2,4,6.5,26.0,19.5
1421138,2,4,6.5,26.0,19.5
1421145,2,4,6.5,26.0,19.5
1446901,2,4,6.5,26.0,19.5
1446904,2,4,6.5,26.0,19.5
1446910,2,4,6.5,26.0,19.5
1491607,2,4,6.5,26.0,19.5
1491631,2,4,6.5,26.0,19.5
1506899,2,4,6.5,26.0,19.5
1506903,2,4,6.5,26.0,19.5
1506906,2,4,6.5,26.0,19.5
1506910,2,4,6.5,26.0,19.5
1506917,2,4,6.5,26.0,19.5
1506918,2,4,6.5,26.0,19.5
1506936,2,4,6.5,26.0,19.5
1506945,2,4,6.5,26.0,19.5
1506957,2,4,6.5,26.0,19.5
1506959,2,4,6.5,26.0,19.5
1506963,2,4,6.5,26.0,19.5
1506966,2,4,6.5,26.0,19.5
1506974,2,4,6.5,26.0,19.5
1506978,2,4,6.5,26.0,19.5
1506979,2,4,6.5,26.0,19.5
1537393,2,4,6.5,26.0,19.5
1537400,2,4,6.5,26.0,19.5
1542140,2,4,6.5,26.0,19.5
1542141,2,4,6.5,26.0,19.5
1543176,2,4,6.5,26.0,19.5
1543178,2,4,6.5,26.0,19.5
1543778,2,4,6.5,26.0,19.5
1543779,2,4,6.5,26.0,19.5
1393731,2,4,6.5,25.0,19.0
1393763,2,4,6.5,25.0,19.0
1491649,2,4,6.5,25.0,19.0
1415918,2,4,6.5,23.0,18.0
1415923,2,4,6.5,23.0,18.0
1415928,2,4,6.5,23.0,18.0
1446895,2,4,6.5,23.0,18.0
1446899,2,4,6.5,23.0,18.0
1446907,2,4,6.5,23.0,18.0
1446913,2,4,6.5,23.0,18.0
1446918,2,4,6.5,23.0,18.0
1446928,2,4,6.5,23.0,18.0
1485346,2,4,6.5,23.0,18.0
1485352,2,4,6.5,23.0,18.0
1485353,2,4,6.5,23.0,18.0
1505612,2,4,6.5,23.0,18.0
1521238,2,4,6.5,23.0,18.0
1537625,2,4,6.5,23.0,18.0
1537626,2,4,6.5,23.0,18.0
1543177,2,4,6.5,23.0,18.0
1340803,3,3,6.5,19.5,16.25
1340821,3,3,6.5,19.5,16.25
1340809,2,2,6.5,13.0,13.0
1340810,2,2,6.5,13.0,13.0
1506997,2,2,6.5,13.0,13.0
1340854,1,2,6.5,13.0,13.0
1340857,1,2,6.5,13.0,13.0
1340862,1,2,6.5,13.0,13.0
1340876,1,2,6.5,13.0,13.0
1380177,1,2,6.5,13.0,13.0
1380183,1,2,6.5,13.0,13.0
1380195,1,2,6.5,13.0,13.0
1380198,1,2,6.5,13.0,13.0
1380215,1,2,6.5,13.0,13.0
1380217,1,2,6.5,13.0,13.0
1380222,1,2,6.5,13.0,13.0
1380228,1,2,6.5,13.0,13.0
1380237,1,2,6.5,13.0,13.0
1380243,1,2,6.5,13.0,13.0
1380250,1,2,6.5,13.0,13.0
1380255,1,2,6.5,13.0,13.0
1380260,1,2,6.5,13.0,13.0
1380267,1,2,6.5,13.0,13.0
1380274,1,2,6.5,13.0,13.0
