player_id,fixture_id,window,priority_reason,selection_resolution_reason,resolved_role,reason_weight,data_weight,priority_score
2514,1321725,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RW,5.0,2.0,7.0
36579,1321725,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RW,5.0,2.0,7.0
34418,1324142,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324142,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324153,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324153,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324162,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324162,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324174,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324174,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324182,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324182,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324182,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324182,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324202,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324202,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324202,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324202,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324216,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324216,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324216,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324216,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324227,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324227,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324227,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324227,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324242,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324242,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324242,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324242,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324252,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324252,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324252,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324252,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324267,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324267,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324267,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324267,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324273,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324273,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324273,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324273,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324289,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324289,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324289,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324289,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324299,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324299,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324299,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
304782,1324299,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
34418,1324302,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
34418,1324302,pre_world_cup,missing_fixture_endpoint,upper90_can_enter_real_xi,RB,5.0,2.0,7.0
304782,1324302,annual_current,missing_fixture_endpoint,upper90_can_enter_real_xi,GK,5.0,2.0,7.0
