player_id,player_name,world_cup_team_id,world_cup_team,squad_position,age,number
730,T. Courtois,1,Belgium,Goalkeeper,33,1
162511,S. Lammens,1,Belgium,Goalkeeper,23,12
340151,M. Penders,1,Belgium,Goalkeeper,20,13
2920,T. Castagne,1,Belgium,Defender,30,21
162007,M. De Cuyper,1,Belgium,Defender,25,5
162141,K. De Winter,1,Belgium,Defender,23,16
304228,Z. Debast,1,Belgium,Defender,22,2
69,B. Mechele,1,Belgium,Defender,32,4
264,T. Meunier,1,Belgium,Defender,34,15
312964,N. Ngoy,1,Belgium,Defender,22,25
375974,J. Seys,1,Belgium,Defender,20,18
204043,A. Theate,1,Belgium,Defender,25,3
629,K. De Bruyne,1,Belgium,Midfielder,34,7
162714,A. Onana,1,Belgium,Midfielder,24,24
2120,N. Raskin,1,Belgium,Midfielder,24,23
1417,A. Saelemaekers,1,Belgium,Attacker,26,22
2926,Y. Tielemans,1,Belgium,Midfielder,28,8
335056,D. Moreira,1,Belgium,Attacker,21,19
78,H. Vanaken,1,Belgium,Midfielder,33,20
20,A. Witsel,1,Belgium,Midfielder,36,6
1422,J. Doku,1,Belgium,Midfielder,23,11
340077,M. Fernandez-Pardo,1,Belgium,Attacker,20,26
907,R. Lukaku,1,Belgium,Attacker,32,9
25458,D. Lukebakio,1,Belgium,Midfielder,28,14
147859,C. De Ketelaere,1,Belgium,Attacker,24,17
1946,L. Trossard,1,Belgium,Midfielder,31,10
22221,M. Maignan,2,France,Goalkeeper,30,16
347211,R. Risser,2,France,Goalkeeper,21,23
21628,B. Samba,2,France,Goalkeeper,31,1
2724,L. Digne,2,France,Defender,32,3
161907,M. Gusto,2,France,Defender,22,2
33,L. Hernández,2,France,Defender,29,21
47300,T. Hernández,2,France,Defender,28,19
1145,I. Konaté,2,France,Defender,26,15
1257,J. Koundé,2,France,Defender,27,5
20995,M. Lacroix,2,France,Defender,25,26
22090,W. Saliba,2,France,Defender,24,17
1149,D. Upamecano,2,France,Defender,27,4
156477,R. Cherki,2,France,Midfielder,22,24
2290,N. Kanté,2,France,Midfielder,34,13
22147,M. Koné,2,France,Midfielder,24,6
272,A. Rabiot,2,France,Midfielder,30,14
1271,A. Tchouaméni,2,France,Midfielder,25,8
336657,W. Zaïre-Emery,2,France,Midfielder,19,18
274300,M. Akliouche,2,France,Midfielder,23,25
161904,B. Barcola,2,France,Midfielder,23,12
25927,J. Mateta,2,France,Attacker,28,22
153,O. Dembélé,2,France,Midfielder,28,7
343027,D. Doué,2,France,Midfielder,20,20
278,Kylian Mbappé,2,France,Attacker,27,10
21509,M. Thuram,2,France,Midfielder,28,9
19617,M. Olise,2,France,Midfielder,24,11
524,D. Kotarski,3,Croatia,Goalkeeper,25,23
1305,D. Livakovic,3,Croatia,Goalkeeper,31,1
14268,I. Pandur,3,Croatia,Goalkeeper,25,12
1902,D. Caleta-Car,3,Croatia,Defender,29,5
30827,M. Erlic,3,Croatia,Defender,27,25
129033,J. Gvardiol,3,Croatia,Defender,23,4
1084,M. Pongracic,3,Croatia,Defender,28,3
125171,J. Stanisic,3,Croatia,Midfielder,25,2
14701,J. Sutalo,3,Croatia,Defender,25,6
387521,L. Vuskovic,3,Croatia,Defender,18,22
295026,M. Baturina,3,Croatia,Attacker,22,16
284869,T. Fruk,3,Croatia,Midfielder,24,19
14395,K. Jakic,3,Croatia,Midfielder,28,18
2291,M. Kovacic,3,Croatia,Midfielder,31,8
754,L. Modric,3,Croatia,Midfielder,40,10
1322,N. Moro,3,Croatia,Midfielder,27,7
2763,Mario Pasalic,3,Croatia,Midfielder,30,15
7332,L. Sucic,3,Croatia,Midfielder,23,21
348205,P. Sucic,3,Croatia,Attacker,22,17
842,N. Vlasic,3,Croatia,Midfielder,28,13
46746,A. Budimir,3,Croatia,Attacker,34,11
726,A. Kramaric,3,Croatia,Midfielder,34,9
202696,I. Matanovic,3,Croatia,Attacker,22,20
66055,P. Musa,3,Croatia,Attacker,27,26
260865,Marco Pasalic,3,Croatia,Midfielder,25,24
207,I. Perisic,3,Croatia,Defender,36,14
158700,V. Johansson,5,Sweden,Goalkeeper,27,12
2851,K. Nordfeldt,5,Sweden,Goalkeeper,36,23
48033,J. Widell Zetterström,5,Sweden,Goalkeeper,27,1
47903,H. Ekdal,5,Sweden,Defender,27,14
47969,G. Gudmundsson,5,Sweden,Midfielder,26,5
137976,I. Hien,5,Sweden,Defender,26,4
137721,G. Lagerbielke,5,Sweden,Defender,25,2
889,V. Lindelöf,5,Sweden,Midfielder,31,3
47988,C. Starfelt,5,Sweden,Defender,30,15
161504,H. Johansson,5,Sweden,Defender,28,6
8486,E. Smith,5,Sweden,Defender,28,20
226765,E. Stroud,5,Sweden,Defender,23,24
198654,D. Svensson,5,Sweden,Defender,23,8
47696,A. Bernhardsson,5,Sweden,Midfielder,27,21
265820,Y. Ayari,5,Sweden,Midfielder,22,18
347316,L. Bergvall,5,Sweden,Midfielder,19,7
48002,B. Nygren,5,Sweden,Midfielder,24,10
48047,J. Karlström,5,Sweden,Midfielder,30,16
2860,K. Sema,5,Sweden,Midfielder,32,13
30484,M. Svanberg,5,Sweden,Midfielder,26,19
350850,B. Zeneli,5,Sweden,Midfielder,23,22
160925,T. Ali,5,Sweden,Midfielder,27,26
153430,A. Elanga,5,Sweden,Midfielder,23,11
18979,V. Gyökeres,5,Sweden,Attacker,27,17
2864,A. Isak,5,Sweden,Attacker,26,9
15683,G. Nilsson,5,Sweden,Attacker,28,25
280,Alisson Becker,6,Brazil,Goalkeeper,33,1
617,Ederson,6,Brazil,Goalkeeper,32,23
2410,Weverton,6,Brazil,Goalkeeper,38,12
860,Alex Sandro,6,Brazil,Defender,34,6
30497,Bremer,6,Brazil,Defender,28,14
22224,Gabriel Magalhães,6,Brazil,Defender,28,3
30424,Ibañez,6,Brazil,Defender,27,24
10124,Léo Pereira,6,Brazil,Defender,29,15
257,Marquinhos,6,Brazil,Defender,31,4
24866,Douglas Santos,6,Brazil,Defender,31,16
10097,Éderson Silva,6,Brazil,Midfielder,22,2
618,Danilo,6,Brazil,Defender,34,13
10135,Bruno Guimarães,6,Brazil,Midfielder,28,8
747,Casemiro,6,Brazil,Midfielder,33,5
299,Fabinho,6,Brazil,Midfielder,32,17
1646,Lucas Paquetá,6,Brazil,Midfielder,28,20
275170,Danilo Santos,6,Brazil,Midfielder,24,18
1165,Matheus Cunha,6,Brazil,Attacker,26,9
377122,Endrick,6,Brazil,Attacker,19,19
265785,Luiz Henrique,6,Brazil,Attacker,24,21
127769,Gabriel Martinelli,6,Brazil,Midfielder,24,22
276,Neymar,6,Brazil,Attacker,33,10
1496,Raphinha,6,Brazil,Midfielder,29,11
407806,Rayan,6,Brazil,Midfielder,19,26
196156,Thiago,6,Brazil,Attacker,24,25
762,Vinícius Júnior,6,Brazil,Midfielder,25,7
61895,S. Mele,7,Uruguay,Goalkeeper,28,12
429,F. Muslera,7,Uruguay,Goalkeeper,39,23
50077,S. Rochet,7,Uruguay,Goalkeeper,32,1
101814,R. Araújo,7,Uruguay,Defender,26,4
135334,S. Bueno,7,Uruguay,Defender,27,24
51535,S. Cáceres,7,Uruguay,Defender,26,3
31,J. Giménez,7,Uruguay,Defender,30,2
47254,M. Olivera,7,Uruguay,Defender,28,16
1290,G. Varela,7,Uruguay,Defender,32,13
51572,M. Viña,7,Uruguay,Defender,28,17
863,R. Bentancur,7,Uruguay,Midfielder,28,6
