fixture_id,stage,kickoff_utc,home_team,away_team,provider_venue_name,provider_venue_city,status_short,host_city,latitude,longitude,timezone,exposure,kickoff_local,match_date_local,temperature_mean_c,temperature_max_c,relative_humidity_mean_pct,apparent_temperature_mean_c,apparent_temperature_max_c,precipitation_sum_mm,wind_speed_mean_kmh,wind_gust_max_kmh,weather_code_mode,heat_band,weather_evidence_grade,weather_source_endpoint,weather_window_hours,direct_pitch_exposure_claim_allowed,weather_interpretation
1489369,Group Stage - 1,2026-06-11T19:00:00+00:00,Mexico,South Africa,Estadio Banorte,Mexico City,FT,Mexico City,19.3029,-99.1505,America/Mexico_City,open_air,2026-06-11T13:00:00-06:00,2026-06-11,21.5,23.3,61.6,23.36,26.2,2.7,4.38,31.0,51.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1538999,Group Stage - 1,2026-06-12T02:00:00+00:00,South Korea,Czechia,Estadio Akron,Zapopan,FT,Guadalajara,20.6818,-103.4626,America/Mexico_City,open_air,2026-06-11T20:00:00-06:00,2026-06-11,19.28,21.0,88.0,20.34,21.7,0.0,9.8,24.5,1.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539000,Group Stage - 1,2026-06-12T19:00:00+00:00,Canada,Bosnia & Herzegovina,BMO Field,Toronto,FT,Toronto,43.6332,-79.4186,America/Toronto,open_air,2026-06-12T15:00:00-04:00,2026-06-12,25.9,26.3,42.4,24.38,26.0,0.0,18.28,47.5,1.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489370,Group Stage - 1,2026-06-13T01:00:00+00:00,USA,Paraguay,SoFi Stadium,Inglewood,FT,Los Angeles,33.9535,-118.3392,America/Los_Angeles,covered_open_sides,2026-06-12T18:00:00-07:00,2026-06-12,21.34,23.3,72.2,22.3,23.6,0.0,7.7,37.4,0.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489373,Group Stage - 1,2026-06-13T19:00:00+00:00,Qatar,Switzerland,Levi's Stadium,Santa Clara,FT,San Francisco Bay Area,37.403,-121.97,America/Los_Angeles,open_air,2026-06-13T12:00:00-07:00,2026-06-13,28.04,29.1,39.8,29.64,30.6,0.0,11.58,38.2,0.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489371,Group Stage - 1,2026-06-13T22:00:00+00:00,Brazil,Morocco,MetLife Stadium,East Rutherford,FT,New York New Jersey,40.8135,-74.0745,America/New_York,open_air,2026-06-13T18:00:00-04:00,2026-06-13,29.64,31.3,32.4,28.66,30.1,0.0,9.22,31.3,0.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1489372,Group Stage - 1,2026-06-14T01:00:00+00:00,Haiti,Scotland,Gillette Stadium,Boston,FT,Boston,42.0909,-71.2643,America/New_York,open_air,2026-06-13T21:00:00-04:00,2026-06-13,22.82,25.2,49.0,21.66,24.0,0.0,10.88,22.3,0.0,warm,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,True,outdoor stadium-area context
1539001,Group Stage - 1,2026-06-14T04:00:00+00:00,Australia,Türkiye,BC Place,Vancouver,FT,Vancouver,49.2768,-123.1119,America/Vancouver,retractable_or_fixed_roof,2026-06-13T21:00:00-07:00,2026-06-13,20.5,22.6,57.0,19.92,21.0,0.0,6.84,23.8,2.0,cool_or_mild,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489374,Group Stage - 1,2026-06-14T17:00:00+00:00,Germany,Curaçao,NRG Stadium,Houston,FT,Houston,29.6847,-95.4107,America/Chicago,retractable_or_fixed_roof,2026-06-14T12:00:00-05:00,2026-06-14,29.72,30.6,76.8,35.52,37.0,3.2,11.88,37.1,55.0,very_hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
1489376,Group Stage - 1,2026-06-14T20:00:00+00:00,Netherlands,Japan,AT&T Stadium,Arlington,FT,Dallas,32.7473,-97.0945,America/Chicago,retractable_or_fixed_roof,2026-06-14T15:00:00-05:00,2026-06-14,27.68,28.6,71.4,30.44,31.9,0.0,15.04,39.6,3.0,hot,A_reanalysis,https://archive-api.open-meteo.com/v1/archive,5,False,outdoor context only; roof or covered venue may decouple pitch conditions
