slot,agent_id,utility,mahalanobis_distance,nearest_real_distance,seed,candidates_evaluated,donor_player_ids,donor_weights,minutes,uncertainty,overall,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping
GK,AI-GK-20260720,0.455614509440,1.824059870629,0.038859727159,930607203,50000,64190|138804|46417,0.000205643897|0.027943570192|0.971850785911,2740.331280829730,0.089330311464,0.808898912874,0.411797322982,0.310662877048,0.315258969149,0.321598306930,0.210677503896,0.166186419074,0.844825938993,0.999664649870
RB,AI-RB-20260720,0.835377110134,2.639364630381,0.605354716461,380545036,50000,403087|1417|403087,0.114469590083|0.624339352247|0.261191057670,2961.772874747804,0.086008957595,0.637525715494,0.582892346068,0.713536011532,0.675538183523,0.507245596510,0.660362917652,0.694488162011,0.520334895565,0.470745993019
LB,AI-LB-20260720,0.910788259289,4.063797123679,0.080515787153,2127541646,50000,563|263482|21138,0.004603511489|0.016545016929|0.978851471582,2286.897457574615,0.097757005487,0.708093639688,0.674306455916,0.746090804610,0.566514702746,0.404554047790,0.742495329718,0.806404015405,0.622920892942,0.675535053288
RCB,AI-RCB-20260720,0.887780894841,3.818485356046,0.030730484144,3864801349,50000,161939|26300|30776,0.006382717735|0.002624932059|0.990992350206,3286.569072932158,0.081436235771,0.573232377795,0.648164614295,0.412822377302,0.434336101532,0.544362371405,0.728847575361,0.729465866977,0.795202787273,0.639274354474
LCB,AI-LCB-20260720,0.904318561767,2.742981467272,0.052276560058,1257527979,50000,69|47254|69,0.983063753083|0.011995124605|0.004941122312,5233.019030842058,0.064712980025,0.705125208019,0.748011639369,0.365130229438,0.392574984310,0.510322046044,0.663001206657,0.632937843287,0.823294431873,0.686101398800
DM,AI-DM-20260720,0.857952496383,2.992945157219,0.605541172029,131091672,50000,138908|214463|1640,0.222806572351|0.753579830527|0.023613597122,3188.916887517999,0.084471482652,0.720224313604,0.655130067995,0.642604522308,0.541113949830,0.477506409144,0.814466371053,0.870994739244,0.623690758817,0.524960393631
CM,AI-CM-20260720,1.005658481554,3.224610659011,0.189245931640,3626839450,50000,133609|37155|22147,0.953936916167|0.010648938136|0.035414145697,3521.007411710523,0.078666844598,0.743505619588,0.858170244019,0.740095235429,0.793451220978,0.499518619719,0.620086004451,0.667996959368,0.678325427332,0.657955414635
AM,AI-AM-20260720,0.944832054218,2.429328828370,0.347085485479,2111099095,50000,636|291964|156477,0.000495314440|0.129024297416|0.870480388144,3042.876459347007,0.084713503919,0.779491661904,0.765927138046,0.860227807086,0.888367948377,0.698175975638,0.400084847788,0.582117667673,0.555117431364,0.532060415379
RW,AI-RW-20260720,1.063025331557,3.685068426968,0.312250138856,201017185,50000,326067|386828|386828,0.064618070110|0.216155853473|0.719226076418,4164.232318107688,0.072354531966,0.802063279216,0.630011443622,0.965158976218,0.850403539434,0.846592775007,0.412266009432,0.878657178783,0.518325403831,0.397683834017
LW,AI-LW-20260720,0.934435267126,3.408694917346,0.586129528047,1416456620,50000,1422|1422|51618,0.109327157699|0.672984371950|0.217688470351,3178.264711630468,0.082883254350,0.762337381187,0.535025648903,0.947507774658,0.858012850493,0.655538392397,0.392340283938,0.841243590997,0.549608051944,0.464431811209
ST,AI-ST-20260720,0.967530883130,3.919813009131,0.618551107336,4069557385,50000,217|818|154,0.093761196259|0.012095250150|0.894143553592,3753.324500511113,0.076337496056,0.811466807136,0.590198233002,0.872710388597,0.916292015658,0.966760344462,0.316082662604,0.584098630961,0.463246566748,0.394432719105
