slot,player_id,player_name,world_cup_team,minutes,family_minutes,family_share,adjusted_role_score,conservative_score,uncertainty,overall,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping
GK,46417,S. Chaine,South Africa,2700.000000000000,2610.000000000000,1.000000000000,0.840225146051,0.719480963417,0.089814623902,0.809295587319,0.411936787024,0.310556767997,0.315114112102,0.321598306930,0.210644718990,0.166693811365,0.847284483239,0.999664649870
RB,403087,M. Abu Al Shamat,Saudi Arabia,2629.000000000000,1254.000000000000,0.939325842697,0.670794132152,0.541234116634,0.091019332169,0.632253448802,0.612005252771,0.664925821349,0.675785990014,0.513411298267,0.731559033194,0.656210651218,0.517676377001,0.444953096705
RCB,30776,C. Romero,Argentina,3294.000000000000,2665.000000000000,1.000000000000,0.725618228211,0.492203546866,0.081314339805,0.573517886671,0.648079428242,0.413209352510,0.434608639354,0.545033610341,0.729663742177,0.731495660875,0.796889019305,0.639908734067
LCB,624,N. Otamendi,Argentina,4243.000000000000,4292.000000000000,1.000000000000,0.709093247419,0.637447169371,0.071646078048,0.709093247419,0.698751116467,0.385492978267,0.358657262942,0.441457957889,0.642115399981,0.747074027168,0.783507065051,0.647779155002
LB,263482,N. Mendes,Portugal,3391.000000000000,3139.000000000000,0.976360808709,0.710788984976,0.630646086944,0.080142898032,0.710788984976,0.738679647233,0.788064318787,0.697899973667,0.614534990991,0.579384644923,0.743443014791,0.616770952625,0.610527953554
DM,214463,I. Yuksek,Türkiye,2742.000000000000,2081.000000000000,1.000000000000,0.732232767628,0.643108656294,0.089124111334,0.732232767628,0.628476820328,0.628820462769,0.509889965653,0.474661031392,0.849244041481,0.889106075730,0.636525015061,0.516766226645
CM,133609,Pedri,Spain,3539.000000000000,3271.000000000000,1.000000000000,0.749679347788,0.671230122997,0.078449224791,0.749679347788,0.868092250444,0.746141185887,0.803571490422,0.499487618413,0.626087404579,0.672514259980,0.682808412965,0.659736169340
AM,156477,R. Cherki,France,2970.000000000000,1101.000000000000,0.675874769797,0.788463137252,0.702828253394,0.085634883858,0.788463137252,0.769374442573,0.874147097185,0.890151443325,0.708867859753,0.388522420332,0.587843274737,0.539912685309,0.518110136929
RW,386828,Lamine Yamal,Spain,4201.000000000000,3929.000000000000,0.956193721100,0.848558202300,0.736271360776,0.072003332463,0.808274693239,0.644813429709,0.972901919524,0.852988062030,0.852798383668,0.416385384169,0.903691212032,0.529791439433,0.407691541067
LW,1422,J. Doku,Belgium,3271.000000000000,2503.000000000000,0.965291168531,0.801501443613,0.679130711088,0.081599719459,0.760730430547,0.536719667311,0.965711960659,0.859823944431,0.629617334416,0.410174338073,0.902389189813,0.549163938955,0.459968710238
ST,154,L. Messi,Argentina,3834.000000000000,1109.000000000000,0.577604166667,0.824176360503,0.757825461216,0.075370758081,0.833196219297,0.618208878710,0.906707543888,0.948684794446,0.972931633959,0.311312352048,0.590513193070,0.479621330057,0.406057244052
