slot,agent_id,utility,mahalanobis_distance,nearest_real_distance,seed,candidates_evaluated,donor_player_ids,donor_player_names,donor_weights,minutes,uncertainty,overall,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping
GK,AI-V2-GK-20260721,0.924535520580,2.886892248355,0.015113330930,1247279049,50000,22221|22221|46417,M. Maignan|M. Maignan|S. Chaine,0.325733440087|0.669060464567|0.005206095346,4282.717102305010,0.071868143742,0.812836284902,0.380236751644,0.341586509158,0.336301201327,0.348556038359,0.230515152978,0.201044525805,0.840098946819,0.829614606641
RB,AI-V2-RB-20260721,0.823697361159,2.532742764531,0.287372746253,575847221,50000,1719|47519|1417,M. Muldur|P. Porro|A. Saelemaekers,0.020975216113|0.104896597084|0.874128186803,3270.236005947905,0.082008307382,0.669333224628,0.600550394935,0.751602628587,0.702375932960,0.536041343671,0.659005724153,0.723869612295,0.546316505793,0.502716856295
LB,AI-V2-LB-20260721,0.958299012981,3.031128824317,0.398601651240,2452910289,50000,21138|280074|263482,R. Ait-Nouri|N. Brown|N. Mendes,0.093348504493|0.028889300180|0.877762195327,3295.591875081937,0.081714060997,0.773645588920,0.787954756520,0.830354603100,0.751564863726,0.671700897159,0.679750575175,0.806162244819,0.693554509273,0.691981472717
RCB,AI-V2-RCB-20260721,0.913894195728,3.317469200341,0.240025254868,3411969163,50000,30776|44475|30776,C. Romero|A. Al Amri|C. Romero,0.702641570747|0.030346943971|0.267011485282,3275.427670289751,0.081581428462,0.650765339340,0.718862399899,0.495361828551,0.516721910796,0.625143729388,0.788887922886,0.784837829045,0.841028838342,0.711790548682
LCB,AI-V2-LCB-20260721,0.887185864520,2.525065365644,0.327486550281,1160498617,50000,2194|404172|69,R. Bensebaini|K. Peprah|B. Mechele,0.133583971860|0.005352837151|0.861063190989,4978.487838776718,0.066871039524,0.731275345490,0.771320819854,0.404633493902,0.427689214913,0.553789538316,0.693786666426,0.670477179802,0.825717085952,0.702023627031
DM,AI-V2-DM-20260721,0.905262308884,3.347218134288,0.052438766585,3695282143,50000,138908|6716|44,E. Anderson|A. Mac Allister|Rodri,0.982757635181|0.010587545313|0.006654819506,4777.946739764143,0.067560793167,0.756096675617,0.789274729271,0.761422332568,0.697904453683,0.540316563455,0.784863990919,0.891534652257,0.673195984705,0.625256568264
CM,AI-V2-CM-20260721,1.024984954782,3.105027128959,0.369668713985,635337828,50000,133609|39043|2763,Pedri|F. Aursnes|M. Pasalic,0.930178076701|0.045775973006|0.024045950293,3547.457557821393,0.078409058984,0.772136942558,0.875047540849,0.768699869284,0.825414680202,0.551622192821,0.667540569738,0.695764328775,0.712904901453,0.696443762684
AM,AI-V2-AM-20260721,1.003306832218,2.441833105042,0.178630960000,818799842,50000,147859|291964|156477,C. De Ketelaere|A. Guler|R. Cherki,0.016073814465|0.071941992196|0.911984193339,3017.094385882860,0.085036425930,0.833045879621,0.817750998252,0.898876300532,0.916827178642,0.766184641342,0.476339872037,0.663725987349,0.627123165608,0.604383629393
RW,AI-V2-RW-20260721,1.067204659459,3.503398626058,0.492889997805,1370384211,50000,386828|19617|19617,Lamine Yamal|M. Olise|M. Olise,0.743513910394|0.057077180746|0.199408908860,4295.386880974907,0.071243995559,0.839803285688,0.707157740946,0.961863699921,0.888513684101,0.874139699584,0.458506246519,0.877213656374,0.582773390121,0.485268960338
LW,AI-V2-LW-20260721,0.989101431303,3.252235330736,0.715731032807,2686250009,50000,925|1422|2489,G. Guedes|J. Doku|L. Diaz,0.004042786655|0.820646395866|0.175310817480,3521.184727205887,0.079264905312,0.815574851217,0.629552193759,0.951087733355,0.888988788904,0.741688886983,0.483257676607,0.864325430801,0.627887107464,0.560428153040
ST,AI-V2-ST-20260721,0.966329813822,3.483049425787,0.497259802462,1306730845,50000,154|184|85041,L. Messi|H. Kane|A. Gouiri,0.879020890146|0.103416424809|0.017562685045,3890.765171535182,0.075144652692,0.829668735463,0.613576886261,0.886167160304,0.920904532005,0.975051422622,0.334328108338,0.602080296546,0.507424752657,0.425240345661
