slot,player_id,player_name,world_cup_team,club_name,competition_id,competition_name,minutes,context_matches,context_coverage,opponent_strength_adjusted,competition_strength,context_strength_z,raw_role_score,adjusted_role_score,conservative_score,uncertainty,overall,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping
GK,369,D. Costa,Portugal,FC Porto,94,Primeira Liga,4730,54,1.000000000000,1515.017788000808,1489.105037833636,0.331730125501,0.818699914864,0.742624480730,0.731144598571,0.068326697100,0.799471295670,0.364065365488,0.318293310623,0.322724887569,0.334762034516,0.219608237880,0.180909176439,0.808356880414,0.852019538188
RB,1417,A. Saelemaekers,Belgium,AC Milan,135,Serie A,3162,45,1.000000000000,1515.741085525872,1504.288303180338,0.698795933078,0.667625392228,0.694409803695,0.586119235845,0.082994250047,0.669113485891,0.595991425187,0.766074114342,0.702335649538,0.534924647470,0.646762451678,0.742303134713,0.553192366129,0.517700360665
RCB,30776,C. Romero,Argentina,Tottenham,39,Premier League,3294,40,1.000000000000,1556.690621067622,1545.306841343594,1.947298849998,0.725618228211,0.789048806699,0.574959419641,0.081314339805,0.656273759446,0.723346302832,0.499950014086,0.521846475480,0.629748425363,0.793053603635,0.794576898387,0.847803531397,0.716157750515
LCB,69,B. Mechele,Belgium,Club Brugge KV,144,Jupiler Pro League,5270,60,1.000000000000,1520.357033198160,1511.330336842366,0.741658664159,0.706542558814,0.732809592557,0.669153504911,0.064287069652,0.733440574563,0.772245555565,0.395712533716,0.423477278935,0.544477195362,0.691742848455,0.663535378776,0.843782928240,0.714247082398
LB,263482,N. Mendes,Portugal,Paris Saint Germain,2,UEFA Champions League,3391,51,1.000000000000,1570.658775166835,1551.554816672661,2.013771308870,0.710788984976,0.777667375667,0.699175348014,0.080142898032,0.779318246046,0.802437044589,0.842344354471,0.768488570809,0.696121081268,0.664346985200,0.806342920711,0.698116269186,0.692537832487
DM,138908,E. Anderson,England,Nottingham Forest,39,Premier League,4793,57,1.000000000000,1559.237902503434,1536.024747552114,1.925712208055,0.718959518274,0.781646970079,0.689992854605,0.067410139086,0.757402993692,0.789358543668,0.764093031116,0.698659881629,0.539710032088,0.786689644964,0.895974069341,0.673342133526,0.624074974514
CM,133609,Pedri,Spain,Barcelona,140,La Liga,3539,51,1.000000000000,1531.002475598480,1515.716490236538,1.132755885541,0.749679347788,0.784765814769,0.707520186721,0.078449224791,0.785969411512,0.889740310436,0.782795577456,0.833780873363,0.550291002483,0.672466945020,0.715749603580,0.725239952073,0.703915780919
AM,156477,R. Cherki,France,Manchester City,39,Premier League,2970,60,1.000000000000,1558.578334167221,1537.247935479248,1.920362786050,0.788463137252,0.836382513987,0.754784482864,0.085634883858,0.840419366721,0.824978375857,0.907526460522,0.919676094001,0.774789730620,0.473060585640,0.668347828568,0.623787693821,0.603037496782
RW,386828,Lamine Yamal,Spain,Barcelona,140,La Liga,4201,52,1.000000000000,1529.108631050552,1513.635306930047,1.127982336724,0.848558202300,0.869601036528,0.765786593368,0.072003332463,0.837789925830,0.689836414965,0.977770553404,0.876670176167,0.876506629335,0.466402502460,0.919971875641,0.579895371370,0.457482958645
LW,1422,J. Doku,Belgium,Manchester City,39,Premier League,3271,54,1.000000000000,1566.444337794123,1539.577743458480,2.070720144454,0.801501443613,0.847519118645,0.740321406013,0.081599719459,0.821921125472,0.627118117711,0.976125929541,0.899035913375,0.711628238665,0.502371208513,0.930654528025,0.638768450946,0.552866909352
ST,154,L. Messi,Argentina,Inter Miami,253,Major League Soccer,3834,44,1.000000000000,1503.138118446619,1497.108801104927,0.471226391585,0.824176360503,0.833058337111,0.769283186506,0.075370758081,0.844653944587,0.638018341079,0.913639166933,0.952660350343,0.975078056025,0.329782194830,0.610855107561,0.500815221613,0.426665728292
