slot,selected_player_id,selected_player_name,alternative_rank,alternative_player_id,alternative_player_name,alternative_club,alternative_competition,raw_role_score,adjusted_role_score_v2,opponent_strength,competition_strength,context_matches,context_coverage,selected
GK,369,D. Costa,1,369,D. Costa,FC Porto,Primeira Liga,0.8186999148639398,0.7426244807301814,1515.0177880008082,1489.1050378336356,54,1.0,True
GK,369,D. Costa,2,22221,M. Maignan,AC Milan,Serie A,0.8230050976832824,0.7397248458993839,1512.1515849992395,1504.2492125070014,48,1.0,False
GK,369,D. Costa,3,46417,S. Chaine,Orlando Pirates,Premier Soccer League,0.8402251460507629,0.7222469859770771,1489.6062011481542,1482.9280688019105,38,1.0,False
GK,369,D. Costa,4,221605,F. Wiegele,Plzen,Czech Liga,0.8091690526054602,0.6881239650991475,1509.2662485776088,1490.6273248090663,50,1.0,False
GK,369,D. Costa,5,280,Alisson,Liverpool,Premier League,0.820048130201663,0.6785542783949234,1534.3466739627988,1539.8671275283268,43,1.0,False
GK,369,D. Costa,6,49866,U. Cakir,Galatasaray,Süper Lig,0.8292479978304215,0.6695927012450018,1525.443179077429,1512.2095152558388,47,1.0,False
GK,369,D. Costa,7,2986,E. Mendy,Al-Ahli Jeddah,Pro League,0.8146307760078734,0.663540665566245,1505.9137885780572,1482.933030032236,45,1.0,False
GK,369,D. Costa,8,182718,J. Garcia,Barcelona,La Liga,0.8399359718097255,0.6605508815586203,1519.9172635775292,1513.8528358143474,54,1.0,False
GK,369,D. Costa,9,19465,D. Raya,Arsenal,Premier League,0.7365173358498895,0.6541197927035405,1569.6990537043964,1553.8174941242482,66,1.0,False
GK,369,D. Costa,10,46672,R. Silva,Sporting CP,Primeira Liga,0.7331827206788596,0.6261648256168006,1544.7668476355748,1499.371638020363,52,1.0,False
RB,1417,A. Saelemaekers,1,1417,A. Saelemaekers,AC Milan,Serie A,0.6676253922279228,0.6944098036951282,1515.7410855258715,1504.2883031803376,45,1.0,True
RB,1417,A. Saelemaekers,2,19545,R. James,Chelsea,Premier League,0.5939108504311699,0.6827513978589,1579.9056742097482,1544.2797268072572,53,1.0,False
RB,1417,A. Saelemaekers,3,9,A. Hakimi,Paris Saint Germain,Ligue 1,0.617379245237745,0.6775730672766983,1545.670818570076,1532.591112224127,46,1.0,False
RB,1417,A. Saelemaekers,4,47519,P. Porro,Tottenham,Premier League,0.5916423297992848,0.6761414200408373,1556.346534141646,1544.682255754709,54,1.0,False
RB,1417,A. Saelemaekers,5,92993,M. Wieffer,Brighton,Premier League,0.5904508873922724,0.667151696796372,1554.377486495355,1542.7571030679997,32,1.0,False
RB,1417,A. Saelemaekers,6,41621,M. Nunes,Manchester City,Premier League,0.5759969953988812,0.6562829174898093,1555.5859137108218,1539.7273945191878,63,1.0,False
RB,1417,A. Saelemaekers,7,403087,M. Abu Al Shamat,Al-Qadisiyah FC,Pro League,0.6707941321520746,0.6556307857536284,1509.3197072021485,1469.1194154750945,34,1.0,False
RB,1417,A. Saelemaekers,8,1157,K. Laimer,Bayern München,Bundesliga,0.5993007557896411,0.6535504544943858,1549.6058969277633,1518.8602494446568,52,1.0,False
RB,1417,A. Saelemaekers,9,161907,M. Gusto,Chelsea,Premier League,0.5721618767640075,0.6503309214165013,1567.6315765939294,1540.9506670295732,59,1.0,False
RB,1417,A. Saelemaekers,10,24845,J. Ryerson,Borussia Dortmund,Bundesliga,0.6100656252356744,0.6450528149174047,1529.09869663837,1510.1971682636774,51,1.0,False
RCB,30776,C. Romero,1,30776,C. Romero,Tottenham,Premier League,0.7256182282114146,0.7890488066987938,1556.6906210676216,1545.3068413435935,40,1.0,True
RCB,30776,C. Romero,2,1145,I. Konate,Liverpool,Premier League,0.6528046818467669,0.7321950841320539,1570.10138986275,1548.9939887938824,59,1.0,False
RCB,30776,C. Romero,3,38695,J. P. van Hecke,Brighton,Premier League,0.6655048936069468,0.7313299868899894,1554.2238349327267,1537.0947621107266,44,1.0,False
RCB,30776,C. Romero,4,25287,K. Danso,Tottenham,Premier League,0.6401746937289038,0.7195100638689438,1558.9429093999156,1544.334877601385,52,1.0,False
RCB,30776,C. Romero,5,135068,E. Agbadou,Wolves,Premier League,0.6679359011839725,0.7174759750011378,1540.515457832659,1511.2533389635023,46,1.0,False
RCB,30776,C. Romero,6,360114,A. Khusanov,Manchester City,Premier League,0.6428134144471213,0.7153073251313623,1569.713159614547,1533.8937580787226,52,1.0,False
RCB,30776,C. Romero,7,163189,M. Thiaw,Newcastle,Premier League,0.6317759905691971,0.7123163977048581,1574.7528083409131,1543.4204747977583,61,1.0,False
RCB,30776,C. Romero,8,126949,C. Richards,Crystal Palace,Premier League,0.6593581557764934,0.7076271872951594,1532.47147193388,1525.9016682169918,60,1.0,False
RCB,30776,C. Romero,9,295793,M. Pubill,Atletico Madrid,La Liga,0.6567376089727006,0.7062291524935478,1559.4169872521188,1520.9116403513983,64,1.0,False
RCB,30776,C. Romero,10,1149,D. Upamecano,Bayern München,Bundesliga,0.6428791095839443,0.7021355518373171,1558.5451929144865,1521.4098898409402,58,1.0,False
LCB,69,B. Mechele,1,69,B. Mechele,Club Brugge KV,Jupiler Pro League,0.7065425588139983,0.7328095925565697,1520.35703319816,1511.3303368423658,60,1.0,True
LCB,69,B. Mechele,2,624,N. Otamendi,Benfica,Primeira Liga,0.7090932474189339,0.727627750661078,1517.2327986320636,1505.1297376261878,56,1.0,False
LCB,69,B. Mechele,3,2194,R. Bensebaini,Borussia Dortmund,Bundesliga,0.6800823975305541,0.7246391279992029,1537.5930669597426,1515.3531720105864,46,1.0,False
LCB,69,B. Mechele,4,47254,M. Olivera,Napoli,Serie A,0.6818447945605016,0.713704200452183,1520.1953002115229,1513.993413510935,51,1.0,False
LCB,69,B. Mechele,5,16367,W. Pacho,Paris Saint Germain,Ligue 1,0.6398726434067448,0.7109627085419392,1562.3035031653835,1544.5824427301638,58,1.0,False
LCB,69,B. Mechele,6,26243,N. Schlotterbeck,Borussia Dortmund,Bundesliga,0.6656134566789846,0.7001209066190648,1536.4698804527825,1508.1236032578222,40,1.0,False
LCB,69,B. Mechele,7,67971,M. Guehi,Crystal Palace,Premier League,0.636936751790037,0.6993775843867703,1546.2911312235717,1529.194656664178,62,1.0,False
LCB,69,B. Mechele,8,6610,M. Senesi,Bournemouth,Premier League,0.6297724080066613,0.6974837610124955,1549.6496688297912,1541.4189808417009,46,1.0,False
LCB,69,B. Mechele,9,265595,G. Inacio,Sporting CP,Primeira Liga,0.6639161629502291,0.689877019910475,1538.8615045514548,1501.15295252972,52,1.0,False
LCB,69,B. Mechele,10,22224,Gabriel,Arsenal,Premier League,0.6060585765776758,0.6889283986865753,1563.4467591537789,1542.4672414573124,60,1.0,False
LB,263482,N. Mendes,1,263482,N. Mendes,Paris Saint Germain,UEFA Champions League,0.7107889849760821,0.777667375666899,1570.6587751668346,1551.5548166726614,51,1.0,True
LB,263482,N. Mendes,2,21138,R. Ait-Nouri,Manchester City,Premier League,0.7087118649157458,0.7623666796130459,1544.1280289358597,1529.5802433904562,51,1.0,False
