fixture_id,date,status,home_team,away_team,home_goals,away_goals,api_date,api_timestamp,api_timezone,referee,venue_id,venue_name,venue_city,league_id,league_name,league_country,home_team_api,away_team_api,metadata_available,context_source,context_in_main_v1
1489369,2026-06-11T19:00:00+00:00,FT,Mexico,South Africa,2,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1538999,2026-06-12T02:00:00+00:00,FT,South Korea,Czechia,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539000,2026-06-12T19:00:00+00:00,FT,Canada,Bosnia & Herzegovina,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489370,2026-06-13T01:00:00+00:00,FT,USA,Paraguay,4,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489373,2026-06-13T19:00:00+00:00,FT,Qatar,Switzerland,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489371,2026-06-13T22:00:00+00:00,FT,Brazil,Morocco,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489372,2026-06-14T01:00:00+00:00,FT,Haiti,Scotland,0,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539001,2026-06-14T04:00:00+00:00,FT,Australia,Türkiye,2,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489374,2026-06-14T17:00:00+00:00,FT,Germany,Curaçao,7,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489376,2026-06-14T20:00:00+00:00,FT,Netherlands,Japan,2,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489375,2026-06-14T23:00:00+00:00,FT,Ivory Coast,Ecuador,1,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539002,2026-06-15T02:00:00+00:00,FT,Sweden,Tunisia,5,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489380,2026-06-15T16:00:00+00:00,FT,Spain,Cape Verde Islands,0,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489377,2026-06-15T19:00:00+00:00,FT,Belgium,Egypt,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489379,2026-06-15T22:00:00+00:00,FT,Saudi Arabia,Uruguay,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489378,2026-06-16T01:00:00+00:00,FT,Iran,New Zealand,2,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489383,2026-06-16T19:00:00+00:00,FT,France,Senegal,3,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539016,2026-06-16T22:00:00+00:00,FT,Iraq,Norway,1,4,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489381,2026-06-17T01:00:00+00:00,FT,Argentina,Algeria,3,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489382,2026-06-17T04:00:00+00:00,FT,Austria,Jordan,3,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539003,2026-06-17T17:00:00+00:00,FT,Portugal,Congo DR,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489384,2026-06-17T20:00:00+00:00,FT,England,Croatia,4,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489385,2026-06-17T23:00:00+00:00,FT,Ghana,Panama,1,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489386,2026-06-18T02:00:00+00:00,FT,Uzbekistan,Colombia,1,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539004,2026-06-18T16:00:00+00:00,FT,Czechia,South Africa,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539005,2026-06-18T19:00:00+00:00,FT,Switzerland,Bosnia & Herzegovina,4,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489387,2026-06-18T22:00:00+00:00,FT,Canada,Qatar,6,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489388,2026-06-19T01:00:00+00:00,FT,Mexico,South Korea,1,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489391,2026-06-19T19:00:00+00:00,FT,USA,Australia,2,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489390,2026-06-19T22:00:00+00:00,FT,Scotland,Morocco,0,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489389,2026-06-20T00:30:00+00:00,FT,Brazil,Haiti,3,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539006,2026-06-20T03:00:00+00:00,FT,Türkiye,Paraguay,0,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539007,2026-06-20T17:00:00+00:00,FT,Netherlands,Sweden,5,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489393,2026-06-20T20:00:00+00:00,FT,Germany,Ivory Coast,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489392,2026-06-21T00:00:00+00:00,FT,Ecuador,Curaçao,0,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489394,2026-06-21T04:00:00+00:00,FT,Tunisia,Japan,0,4,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489397,2026-06-21T16:00:00+00:00,FT,Spain,Saudi Arabia,4,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489395,2026-06-21T19:00:00+00:00,FT,Belgium,Iran,0,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489398,2026-06-21T22:00:00+00:00,FT,Uruguay,Cape Verde Islands,2,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489396,2026-06-22T01:00:00+00:00,FT,New Zealand,Egypt,1,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489399,2026-06-22T17:00:00+00:00,FT,Argentina,Austria,2,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539017,2026-06-22T21:00:00+00:00,FT,France,Iraq,3,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489401,2026-06-23T00:00:00+00:00,FT,Norway,Senegal,3,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489400,2026-06-23T03:00:00+00:00,FT,Jordan,Algeria,1,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489404,2026-06-23T17:00:00+00:00,FT,Portugal,Uzbekistan,5,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489402,2026-06-23T20:00:00+00:00,FT,England,Ghana,0,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489403,2026-06-23T23:00:00+00:00,FT,Panama,Croatia,0,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539008,2026-06-24T02:00:00+00:00,FT,Colombia,Congo DR,1,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489408,2026-06-24T19:00:00+00:00,FT,Switzerland,Canada,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539009,2026-06-24T19:00:00+00:00,FT,Bosnia & Herzegovina,Qatar,3,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489405,2026-06-24T22:00:00+00:00,FT,Morocco,Haiti,4,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489406,2026-06-24T22:00:00+00:00,FT,Scotland,Brazil,0,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539010,2026-06-25T01:00:00+00:00,FT,Czechia,Mexico,0,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489407,2026-06-25T01:00:00+00:00,FT,South Africa,South Korea,1,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489410,2026-06-25T20:00:00+00:00,FT,Ecuador,Germany,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489409,2026-06-25T20:00:00+00:00,FT,Curaçao,Ivory Coast,0,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539011,2026-06-25T23:00:00+00:00,FT,Japan,Sweden,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489412,2026-06-25T23:00:00+00:00,FT,Tunisia,Netherlands,1,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539012,2026-06-26T02:00:00+00:00,FT,Türkiye,USA,3,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489411,2026-06-26T02:00:00+00:00,FT,Paraguay,Australia,0,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539074,2026-06-26T19:00:00+00:00,FT,Senegal,Iraq,5,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489416,2026-06-26T19:00:00+00:00,FT,Norway,France,1,4,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489417,2026-06-27T00:00:00+00:00,FT,Uruguay,Spain,0,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489413,2026-06-27T00:00:00+00:00,FT,Cape Verde Islands,Saudi Arabia,0,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489414,2026-06-27T03:00:00+00:00,FT,Egypt,Iran,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489415,2026-06-27T03:00:00+00:00,FT,New Zealand,Belgium,1,5,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489420,2026-06-27T21:00:00+00:00,FT,Croatia,Ghana,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489422,2026-06-27T21:00:00+00:00,FT,Panama,England,0,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489419,2026-06-27T23:30:00+00:00,FT,Colombia,Portugal,0,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1539013,2026-06-27T23:30:00+00:00,FT,Congo DR,Uzbekistan,3,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489418,2026-06-28T02:00:00+00:00,FT,Algeria,Austria,3,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1489421,2026-06-28T02:00:00+00:00,FT,Jordan,Argentina,1,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1561329,2026-06-28T19:00:00+00:00,FT,South Africa,Canada,0,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1562344,2026-06-29T17:00:00+00:00,FT,Brazil,Japan,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1565176,2026-06-29T20:30:00+00:00,PEN,Germany,Paraguay,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1562345,2026-06-30T01:00:00+00:00,PEN,Netherlands,Morocco,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1564789,2026-06-30T17:00:00+00:00,FT,Ivory Coast,Norway,1,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1565177,2026-06-30T21:00:00+00:00,FT,France,Sweden,3,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1567306,2026-07-01T01:00:00+00:00,FT,Mexico,Ecuador,2,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1567307,2026-07-01T16:00:00+00:00,FT,England,Congo DR,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1567308,2026-07-01T20:00:00+00:00,AET,Belgium,Senegal,3,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1562586,2026-07-02T00:00:00+00:00,FT,USA,Bosnia & Herzegovina,2,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1567311,2026-07-02T19:00:00+00:00,FT,Spain,Austria,3,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1567309,2026-07-02T23:00:00+00:00,FT,Portugal,Croatia,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1567312,2026-07-03T03:00:00+00:00,FT,Switzerland,Algeria,2,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1565178,2026-07-03T18:00:00+00:00,PEN,Australia,Egypt,1,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1565179,2026-07-03T22:00:00+00:00,AET,Argentina,Cape Verde Islands,3,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1567310,2026-07-04T01:30:00+00:00,FT,Colombia,Ghana,1,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1567824,2026-07-04T17:00:00+00:00,FT,Canada,Morocco,0,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1569870,2026-07-04T21:00:00+00:00,FT,Paraguay,France,0,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1568100,2026-07-05T20:00:00+00:00,FT,Brazil,Norway,1,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1570714,2026-07-06T01:00:00+00:00,FT,Mexico,England,2,3,,,,,,,,,,,,,False,API-Football fixture metadata,False
1576756,2026-07-06T19:00:00+00:00,FT,Portugal,Spain,0,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1570715,2026-07-07T00:00:00+00:00,FT,USA,Belgium,1,4,,,,,,,,,,,,,False,API-Football fixture metadata,False
1576804,2026-07-07T16:00:00+00:00,FT,Argentina,Egypt,3,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1576805,2026-07-07T20:00:00+00:00,PEN,Switzerland,Colombia,0,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1578539,2026-07-09T20:00:00+00:00,FT,France,Morocco,2,0,,,,,,,,,,,,,False,API-Football fixture metadata,False
1581821,2026-07-10T19:00:00+00:00,FT,Spain,Belgium,2,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1581037,2026-07-11T21:00:00+00:00,AET,Norway,England,1,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1582681,2026-07-12T01:00:00+00:00,AET,Argentina,Switzerland,3,1,,,,,,,,,,,,,False,API-Football fixture metadata,False
1585131,2026-07-14T19:00:00+00:00,FT,France,Spain,0,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
1586077,2026-07-15T19:00:00+00:00,FT,England,Argentina,1,2,,,,,,,,,,,,,False,API-Football fixture metadata,False
