match_id,competition,season,home_team,away_team,home_score,away_score,shots,goals,passes,possessions
7525,FIFA World Cup,2018,Russia,Saudi Arabia,5,0,20,5,960,194
7529,FIFA World Cup,2018,Croatia,Nigeria,2,0,24,1,928,176
7530,FIFA World Cup,2018,France,Australia,2,1,17,2,993,176
7531,FIFA World Cup,2018,Argentina,Iceland,1,1,37,2,1020,137
7532,FIFA World Cup,2018,Peru,Denmark,0,1,28,1,837,169
7533,FIFA World Cup,2018,Brazil,Switzerland,1,1,28,2,1013,182
7534,FIFA World Cup,2018,Germany,Mexico,0,1,38,1,943,183
7535,FIFA World Cup,2018,Costa Rica,Serbia,0,1,22,1,920,183
7536,FIFA World Cup,2018,Belgium,Panama,3,0,22,3,974,163
7537,FIFA World Cup,2018,Tunisia,England,1,2,24,3,938,168
7538,FIFA World Cup,2018,Sweden,South Korea,1,0,21,1,859,175
7539,FIFA World Cup,2018,Poland,Senegal,1,2,17,2,967,169
7540,FIFA World Cup,2018,Russia,Egypt,3,1,27,3,951,198
7541,FIFA World Cup,2018,Colombia,Japan,1,2,24,3,1052,167
7542,FIFA World Cup,2018,Portugal,Morocco,1,0,29,1,916,185
7543,FIFA World Cup,2018,Iran,Spain,0,1,24,1,1078,152
7544,FIFA World Cup,2018,Uruguay,Saudi Arabia,1,0,22,1,1095,172
7545,FIFA World Cup,2018,Argentina,Croatia,0,3,24,3,917,195
7546,FIFA World Cup,2018,France,Peru,1,0,24,1,983,187
7547,FIFA World Cup,2018,Denmark,Australia,1,1,23,2,1011,159
7548,FIFA World Cup,2018,Brazil,Costa Rica,2,0,27,2,1044,167
7549,FIFA World Cup,2018,Nigeria,Iceland,2,0,27,2,868,174
7550,FIFA World Cup,2018,Serbia,Switzerland,1,2,31,3,901,188
7551,FIFA World Cup,2018,Germany,Sweden,2,1,25,3,952,163
7552,FIFA World Cup,2018,Belgium,Tunisia,5,2,40,7,942,210
7553,FIFA World Cup,2018,South Korea,Mexico,1,2,31,3,855,175
7554,FIFA World Cup,2018,England,Panama,6,1,19,7,1013,130
7555,FIFA World Cup,2018,Poland,Colombia,0,3,24,3,996,177
7556,FIFA World Cup,2018,Japan,Senegal,2,2,22,4,868,167
7557,FIFA World Cup,2018,Iran,Portugal,1,1,24,2,869,141
7558,FIFA World Cup,2018,Uruguay,Russia,3,0,19,2,906,170
7559,FIFA World Cup,2018,Saudi Arabia,Egypt,2,1,29,3,1053,159
7560,FIFA World Cup,2018,Spain,Morocco,2,2,26,4,1004,152
7561,FIFA World Cup,2018,Iceland,Croatia,1,2,30,3,866,171
7562,FIFA World Cup,2018,Australia,Peru,0,2,20,2,1006,174
7563,FIFA World Cup,2018,Denmark,France,0,0,16,0,1041,154
7564,FIFA World Cup,2018,Nigeria,Argentina,1,2,17,3,917,182
7565,FIFA World Cup,2018,Serbia,Brazil,0,2,26,2,1100,168
7566,FIFA World Cup,2018,Mexico,Sweden,0,3,37,2,762,160
7567,FIFA World Cup,2018,South Korea,Germany,2,0,41,2,993,186
7568,FIFA World Cup,2018,Switzerland,Costa Rica,2,2,27,3,957,171
7569,FIFA World Cup,2018,Panama,Tunisia,1,2,24,2,939,177
7570,FIFA World Cup,2018,England,Belgium,0,1,26,1,1083,164
7571,FIFA World Cup,2018,Senegal,Colombia,0,1,11,1,794,172
7572,FIFA World Cup,2018,Japan,Poland,0,1,22,1,1086,153
7576,FIFA World Cup,2018,Portugal,Spain,3,3,22,6,1168,150
7577,FIFA World Cup,2018,Morocco,Iran,0,1,22,0,759,174
7578,FIFA World Cup,2018,Egypt,Uruguay,0,1,24,1,1092,182
7579,FIFA World Cup,2018,Uruguay,Portugal,2,1,28,3,884,178
7580,FIFA World Cup,2018,France,Argentina,4,3,21,7,885,163
7581,FIFA World Cup,2018,Croatia,Denmark,1,1,45,7,1246,229
7582,FIFA World Cup,2018,Spain,Russia,1,1,41,8,1483,205
7583,FIFA World Cup,2018,Brazil,Mexico,2,0,33,2,839,174
7584,FIFA World Cup,2018,Belgium,Japan,3,2,40,5,1075,169
7585,FIFA World Cup,2018,Colombia,England,1,1,41,9,1161,224
7586,FIFA World Cup,2018,Sweden,Switzerland,1,0,28,1,919,164
8649,FIFA World Cup,2018,Uruguay,France,0,2,21,2,919,177
8650,FIFA World Cup,2018,Brazil,Belgium,1,2,33,2,917,173
8651,FIFA World Cup,2018,Sweden,England,0,2,20,2,963,172
8652,FIFA World Cup,2018,Russia,Croatia,2,2,41,11,1188,241
8655,FIFA World Cup,2018,France,Belgium,1,0,28,1,990,155
8656,FIFA World Cup,2018,Croatia,England,2,1,33,3,1193,242
8657,FIFA World Cup,2018,Belgium,England,2,0,26,2,1184,150
8658,FIFA World Cup,2018,France,Croatia,4,2,23,5,846,182
3788741,UEFA Euro,2020,Turkey,Italy,0,3,27,2,1059,184
3788742,UEFA Euro,2020,Denmark,Finland,0,1,23,1,985,175
