match_id,competition_id,season_id,competition_name,season_name,match_date,kick_off,home_team,away_team,home_score,away_score,stadium,referee,data_version,shot_fidelity_version,xy_fidelity_version
3930166,55,282,UEFA Euro,2024,2024-06-18,19:00:00.000,Portugal,Czech Republic,2,1,Red Bull Arena,Marco Guida,1.1.0,2,2
3930159,55,282,UEFA Euro,2024,2024-06-15,13:00:00.000,Hungary,Switzerland,1,3,RheinEnergieStadion,Slavko Vinčić,1.1.0,2,2
3930163,55,282,UEFA Euro,2024,2024-06-16,19:00:00.000,Serbia,England,0,1,VELTINS-Arena,Daniele Orsato,1.1.0,2,2
3930181,55,282,UEFA Euro,2024,2024-06-25,19:00:00.000,England,Slovenia,0,0,RheinEnergieStadion,Clément Turpin,1.1.0,2,2
3930178,55,282,UEFA Euro,2024,2024-06-24,19:00:00.000,Croatia,Italy,1,1,Red Bull Arena,Danny Desmond Makkelie,1.1.0,2,2
3930160,55,282,UEFA Euro,2024,2024-06-15,16:00:00.000,Spain,Croatia,3,0,Olympiastadion Berlin,Michael Oliver,1.1.0,2,2
3930170,55,282,UEFA Euro,2024,2024-06-20,13:00:00.000,Slovenia,Serbia,1,1,Allianz Arena,István Kovács,1.1.0,2,2
3938643,55,282,UEFA Euro,2024,2024-06-25,16:00:00.000,France,Poland,1,1,Signal-Iduna-Park,Marco Guida,1.1.0,2,2
3938641,55,282,UEFA Euro,2024,2024-06-21,16:00:00.000,Poland,Austria,1,3,Olympiastadion Berlin,Halil Umut Meler,1.1.0,2,2
3938642,55,282,UEFA Euro,2024,2024-06-22,13:00:00.000,Georgia,Czech Republic,1,1,Volksparkstadion,Daniel Siebert,1.1.0,2,2
3938639,55,282,UEFA Euro,2024,2024-06-18,16:00:00.000,Turkey,Georgia,3,1,Signal-Iduna-Park,Facundo Tello Figueroa,1.1.0,2,2
3938638,55,282,UEFA Euro,2024,2024-06-17,13:00:00.000,Romania,Ukraine,3,0,Allianz Arena,Glenn Nyberg,1.1.0,2,2
3938640,55,282,UEFA Euro,2024,2024-06-21,13:00:00.000,Slovakia,Ukraine,1,2,Merkur Spiel-Arena,Michael Oliver,1.1.0,2,2
3938637,55,282,UEFA Euro,2024,2024-06-16,13:00:00.000,Poland,Netherlands,1,2,Volksparkstadion,Artur Manuel Ribeiro Soares Dias,1.1.0,2,2
3938644,55,282,UEFA Euro,2024,2024-06-26,19:00:00.000,Georgia,Portugal,2,0,VELTINS-Arena,Sandro Schärer,1.1.0,2,2
3941019,55,282,UEFA Euro,2024,2024-07-01,16:00:00.000,France,Belgium,1,0,Merkur Spiel-Arena,Glenn Nyberg,1.1.0,2,2
3942227,55,282,UEFA Euro,2024,2024-07-06,16:00:00.000,England,Switzerland,1,1,Merkur Spiel-Arena,Daniele Orsato,1.1.0,2,2
3930174,55,282,UEFA Euro,2024,2024-06-22,16:00:00.000,Turkey,Portugal,0,3,Signal-Iduna-Park,Felix Zwayer,1.1.0,2,2
3930162,55,282,UEFA Euro,2024,2024-06-16,16:00:00.000,Slovenia,Denmark,1,1,MHPArena,Sandro Schärer,1.1.0,2,2
