sequence,clock,minute,period,side,team,acting_team,affected_team,possession_team,benefiting_team,actor,actor_team,actor_membership_valid,zone,xg,home_score_before_context,away_score_before_context,score_state_before,numerical_state_before,score,headline
1,1.317,2,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Dm 1,Synthetic XI,True,1.0,,0,0,tied,equal,0-0,Falta de Synthetic Dm 1
2,3.256,4,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Am 1,Synthetic XI,True,1.0,0.0942,0,0,tied,equal,0-0,J. Garcia defende finalização de Synthetic Am 1
3,6.323,7,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,Rodri,Real Best XI,True,2.0,,0,0,tied,equal,0-0,Falta de Rodri
4,7.68,8,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,L. Messi,Real Best XI,True,3.0,0.2974,0,0,tied,equal,0-0,Synthetic Gk 1 defende finalização de L. Messi
5,10.244,11,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Rw 1,Synthetic XI,True,2.0,,0,0,tied,equal,0-0,Falta de Synthetic Rw 1
6,10.244,11,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,M. Olise,Real Best XI,True,2.0,0.1739,0,0,tied,equal,0-0,Grande chance de M. Olise para fora
7,12.374,13,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Cm 1,Synthetic XI,True,1.0,,0,0,tied,equal,0-0,Falta de Synthetic Cm 1
8,14.198,15,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,O. Dembele,Real Best XI,True,2.0,,0,0,tied,equal,0-0,Falta de O. Dembele
9,17.614,18,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Rw 1,Synthetic XI,True,2.0,,0,0,tied,equal,0-0,Falta de Synthetic Rw 1
10,19.894,20,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic St 1,Synthetic XI,True,3.0,,0,0,tied,equal,0-0,Synthetic St 1 perde sob pressão
11,21.252,22,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Rw 1,Synthetic XI,True,2.0,0.1553,0,0,tied,equal,0-0,J. Garcia defende finalização de Synthetic Rw 1
12,24.16,25,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,M. Olise,Real Best XI,True,2.0,0.1731,0,0,tied,equal,0-0,Grande chance de M. Olise para fora
13,26.14,27,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Rcb 1,Synthetic XI,True,1.0,,0,0,tied,equal,0-0,Falta de Synthetic Rcb 1
14,26.14,27,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,J. Quintero,Real Best XI,True,3.0,,0,0,tied,equal,0-0,J. Quintero perde sob pressão
15,27.02,28,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,J. Hadjam,Real Best XI,True,2.0,,0,0,tied,equal,0-0,Falta de J. Hadjam
16,27.03,28,first_half,away,Real Best XI,Real Best XI,Real Best XI,Synthetic XI,,J. Hadjam,Real Best XI,True,2.0,,0,0,tied,equal,0-0,Cartão amarelo para J. Hadjam
17,27.279,28,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,L. Messi,Real Best XI,True,3.0,,0,0,tied,equal,0-0,Falta de L. Messi
18,27.279,28,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Lw 1,Synthetic XI,True,2.0,0.1559,0,0,tied,equal,0-0,J. Garcia defende finalização de Synthetic Lw 1
19,28.338,29,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Rw 1,Synthetic XI,True,2.0,0.155,0,0,tied,equal,0-0,J. Garcia defende finalização de Synthetic Rw 1
20,32.883,33,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,N. Mendes,Real Best XI,True,2.0,,0,0,tied,equal,0-0,Falta de N. Mendes
21,33.032,34,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Am 1,Synthetic XI,True,1.0,0.0935,0,0,tied,equal,0-0,J. Garcia defende finalização de Synthetic Am 1
22,40.685,41,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic St 1,Synthetic XI,True,2.0,,0,0,tied,equal,0-0,Falta de Synthetic St 1
23,41.904,42,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Rcb 1,Synthetic XI,True,1.0,,0,0,tied,equal,0-0,Falta de Synthetic Rcb 1
24,43.664,44,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Rw 1,Synthetic XI,True,2.0,,0,0,tied,equal,0-0,Falta de Synthetic Rw 1
