score_state,numerical_state,phase,outcome,synthetic_minus_real_rate,low,high,simulation_count
leading,equal,extra_time,shots,-0.0004236565571877887,-0.0011364916818062429,0.0002992962048231788,50000
leading,equal,extra_time,goals,-9.515561428346458e-05,-0.000294148225269487,0.0001281818652659279,50000
leading,equal,extra_time,xg,-7.729149686966644e-05,-0.00020657248907990505,4.6798933599188024e-05,50000
leading,equal,first_half,shots,-0.017355624316809426,-0.019077793487444202,-0.015619676399500706,50000
leading,equal,first_half,goals,-0.0037902412598032694,-0.004232526540477893,-0.0032989654458050535,50000
leading,equal,first_half,xg,-0.003956853830486371,-0.004264145806660392,-0.0036593988230430104,50000
leading,equal,second_half,shots,-0.01946510166301724,-0.021132502123532584,-0.017750910433038617,50000
leading,equal,second_half,goals,-0.00337781739020423,-0.0038088161978415674,-0.002954645839697746,50000
leading,equal,second_half,xg,-0.003753969457966139,-0.004032880832205847,-0.003448324797668121,50000
leading,inferior,extra_time,shots,4.868064701036836e-05,-0.0001879254869678825,0.000273872608894803,50000
leading,inferior,extra_time,goals,2.4948874225190014e-05,-3.783995076560865e-05,9.364725045766065e-05,50000
leading,inferior,extra_time,xg,7.963201296137443e-06,-2.8654432903154344e-05,4.726016379081835e-05,50000
leading,inferior,first_half,shots,-0.0002188278633844385,-0.00045677020876018227,3.281050814288367e-05,50000
leading,inferior,first_half,goals,8.457708611479186e-07,-0.00011067936918540343,0.00011015665643818839,50000
leading,inferior,first_half,xg,-4.659921911671868e-05,-9.343232755972209e-05,-1.4085287022917375e-06,50000
leading,inferior,second_half,shots,-0.0013951813681330114,-0.0018354482832172257,-0.000972891480114377,50000
leading,inferior,second_half,goals,-0.00023285100395082332,-0.00034780393317763357,-0.00011992229471794197,50000
leading,inferior,second_half,xg,-0.0002245632372156505,-0.00029711026904369206,-0.00015457015365685062,50000
leading,superior,extra_time,shots,-9.479718222654686e-05,-0.00038048081803424894,0.00020832759023947414,50000
leading,superior,extra_time,goals,-9.78585913570429e-07,-0.00011159888601325537,0.00011447485651846085,50000
leading,superior,extra_time,xg,-1.7306134444405986e-05,-7.303533399669598e-05,3.8192969034155404e-05,50000
leading,superior,first_half,shots,-0.0005483717877508281,-0.00088524478821889,-0.00023485848806978045,50000
leading,superior,first_half,goals,-0.0001166693729504092,-0.0002202319444875775,-1.9099911669674636e-05,50000
leading,superior,first_half,xg,-0.00012981213043699777,-0.00019343836554442,-6.768481064934413e-05,50000
leading,superior,second_half,shots,-0.0018831962899897201,-0.0024030347170633276,-0.0013501634348471489,50000
leading,superior,second_half,goals,-0.0003733860470386709,-0.0005289925997313234,-0.00022033086358766205,50000
leading,superior,second_half,xg,-0.00035921408076651035,-0.00045538161131120335,-0.0002682276768557398,50000
tied,equal,extra_time,shots,-0.0005902544032793249,-0.0018173695139506768,0.000539563810759193,50000
tied,equal,extra_time,goals,-0.0002892093578517496,-0.0012783386583934242,0.0007519575029553644,50000
tied,equal,extra_time,xg,-1.2749293151814043e-05,-0.00027149232193310135,0.00023265141256990254,50000
tied,equal,first_half,shots,-0.019993689106555378,-0.022299499871891833,-0.01751694041901519,50000
tied,equal,first_half,goals,-0.015537005401816665,-0.017582436787941944,-0.013624341450076592,50000
tied,equal,first_half,xg,-0.007099286254925461,-0.007656005582667588,-0.006549999621499527,50000
tied,equal,second_half,shots,-0.005260566214954713,-0.007145160466405583,-0.003483212807276323,50000
tied,equal,second_half,goals,-0.004489500559401086,-0.006034916619109846,-0.003002283251611452,50000
tied,equal,second_half,xg,-0.0019503893593902722,-0.0023413054585307374,-0.0015399338185961616,50000
tied,inferior,extra_time,shots,-0.0001766272112102911,-0.0006385272823040953,0.0002640658893930207,50000
tied,inferior,extra_time,goals,-5.2930074311653236e-05,-0.000303378403833009,0.00021935191131967438,50000
tied,inferior,extra_time,xg,-2.9479311781077254e-05,-0.00013190906091435357,7.388942734874038e-05,50000
tied,inferior,first_half,shots,-3.794814439833957e-05,-0.00040757718311911867,0.0003207089358301956,50000
tied,inferior,first_half,goals,-0.0002160951308708342,-0.0004565604332489985,6.775202857502786e-06,50000
tied,inferior,first_half,xg,-6.920798533314063e-05,-0.00015682674700348597,1.0157905376659992e-05,50000
tied,inferior,second_half,shots,0.0003472528665350407,-0.00018105159156288128,0.000854641490873078,50000
tied,inferior,second_half,goals,6.530716522271348e-05,-0.00024019197913430971,0.0003652816390274414,50000
tied,inferior,second_half,xg,5.38954814596125e-05,-4.416111326007031e-05,0.00014911076519448299,50000
tied,superior,extra_time,shots,-0.00017555261785001658,-0.0007206247867780297,0.00040060548357136064,50000
tied,superior,extra_time,goals,-0.00021169360531035053,-0.000547170577406676,0.00016378532787505692,50000
tied,superior,extra_time,xg,-7.997592541570428e-06,-0.00011838488392157944,0.00010983078412826617,50000
tied,superior,first_half,shots,-0.00015181549669032333,-0.0005934781099876016,0.0003035291597533639,50000
tied,superior,first_half,goals,6.1025921794363055e-05,-0.00021575743867277488,0.00034585674014410065,50000
tied,superior,first_half,xg,-8.046172645866018e-05,-0.00017750952500093765,1.201041960578506e-05,50000
tied,superior,second_half,shots,-0.0010591115471920546,-0.001731919286631417,-0.0003615737521049361,50000
tied,superior,second_half,goals,-0.000633280837257727,-0.0010547296165852383,-0.00020765315845849874,50000
tied,superior,second_half,xg,-0.00022379854326344564,-0.0003557186097905358,-9.620633410780649e-05,50000
trailing,equal,extra_time,shots,0.0008586433216487125,-2.8639947314623126e-05,0.001741994324600089,50000
trailing,equal,extra_time,goals,0.00038394286982616505,-0.00018544937864824708,0.0009511234039155722,50000
trailing,equal,extra_time,xg,0.00012468155039565914,-5.3587634480316695e-05,0.0002999101541682143,50000
trailing,equal,first_half,shots,0.00892269645884562,0.006916850803537927,0.010980757948359971,50000
trailing,equal,first_half,goals,-0.0004622853429048354,-0.001741439488366476,0.00085336765720892,50000
trailing,equal,first_half,xg,0.00023699250880047855,-0.00015470630194324778,0.0006684422536926573,50000
trailing,equal,second_half,shots,0.016025816824769043,0.014023738369970356,0.018056701409724672,50000
trailing,equal,second_half,goals,0.0021563392430605757,0.0009056820095297266,0.0034463533346410407,50000
trailing,equal,second_half,xg,0.0018285422301707877,0.0014223217938493034,0.0022251275100665904,50000
trailing,inferior,extra_time,shots,-3.992277032430485e-05,-0.0003171630508589688,0.00023814930290736794,50000
trailing,inferior,extra_time,goals,-5.922199777160091e-06,-0.00016920663135883723,0.00015148076201497755,50000
trailing,inferior,extra_time,xg,-2.580235433365561e-05,-8.124694158471776e-05,2.19255232075359e-05,50000
trailing,inferior,first_half,shots,0.00019399398412105832,-0.00011637316376993028,0.0004905381868638666,50000
trailing,inferior,first_half,goals,-2.09116918828661e-05,-0.0002269206168224142,0.00019552574595421387,50000
trailing,inferior,first_half,xg,7.542560255240516e-06,-5.5488314393942786e-05,7.346856475929148e-05,50000
trailing,inferior,second_half,shots,0.001095770777516285,0.000580664119238098,0.0015890916590634422,50000
trailing,inferior,second_half,goals,8.956288111619958e-05,-0.00018476677464456472,0.00035507525681925184,50000
trailing,inferior,second_half,xg,0.0001641434986971106,8.977468820469756e-05,0.00024133754562778189,50000
trailing,superior,extra_time,shots,0.0001162985777514987,-0.00021464710048508422,0.0004516357048632555,50000
trailing,superior,extra_time,goals,9.010010371465483e-05,-0.00015609463489941428,0.00034167106784039806,50000
trailing,superior,extra_time,xg,2.0339747053035335e-05,-5.198307906271319e-05,9.623904475359217e-05,50000
trailing,superior,first_half,shots,0.00024111999521345324,-8.495665710538946e-05,0.0005754541031871426,50000
trailing,superior,first_half,goals,3.60956811996925e-05,-0.0001583504520525092,0.00022668031025337238,50000
trailing,superior,first_half,xg,4.458184291043733e-06,-6.593116664551175e-05,7.131510507060592e-05,50000
trailing,superior,second_half,shots,0.0014365562991740378,0.0008078677875158009,0.0020679718660841363,50000
trailing,superior,second_half,goals,0.00035579718566952233,-2.3371266667198848e-05,0.0007353843906871872,50000
trailing,superior,second_half,xg,0.0002400063875011109,0.00011308894094475443,0.0003641821443546391,50000
