sequence,clock,minute,period,side,team,acting_team,affected_team,possession_team,benefiting_team,actor,actor_team,actor_membership_valid,zone,xg,home_score_before_context,away_score_before_context,score_state_before,numerical_state_before,score,headline
1,1.794,2,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,N. Otamendi,Real Best XI,True,1.0,,0,0,tied,equal,0-0,Falta de N. Otamendi
2,2.88,3,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Rb 1,Synthetic XI,True,1.0,,0,0,tied,equal,0-0,Falta de Synthetic Rb 1
3,5.379,6,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,N. Otamendi,Real Best XI,True,3.0,,0,0,tied,equal,0-0,Falta de N. Otamendi
4,5.964,6,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Lw 1,Synthetic XI,True,3.0,,0,0,tied,equal,0-0,Falta de Synthetic Lw 1
5,5.964,6,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,L. Messi,Real Best XI,True,2.0,0.1739,0,0,tied,equal,0-0,Synthetic Gk 1 defende finalização de L. Messi
6,6.98,7,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,Real Best XI,O. Dembele,Real Best XI,True,3.0,0.1874,0,0,tied,equal,0-1,GOL de O. Dembele
7,8.755,9,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,L. Messi,Real Best XI,True,2.0,,0,1,trailing,equal,0-1,Falta de L. Messi
8,8.755,9,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Lw 1,Synthetic XI,True,2.0,0.1559,0,1,trailing,equal,0-1,Grande chance de Synthetic Lw 1 para fora
9,10.231,11,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,M. Rashford,Real Best XI,True,2.0,,0,1,leading,equal,0-1,M. Rashford perde sob pressão
10,12.389,13,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,M. Rashford,Real Best XI,True,2.0,0.1657,0,1,leading,equal,0-1,Synthetic Gk 1 defende finalização de M. Rashford
11,13.358,14,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Rb 1,Synthetic XI,True,2.0,,0,1,leading,equal,0-1,Falta de Synthetic Rb 1
12,14.447,15,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,M. Olise,Real Best XI,True,2.0,,0,1,trailing,equal,0-1,Falta de M. Olise
13,14.772,15,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,Rodri,Real Best XI,True,1.0,,0,1,trailing,equal,0-1,Falta de Rodri
15,14.772,15,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Rw 1,Synthetic XI,True,2.0,0.1439,0,1,trailing,equal,0-1,J. Garcia defende finalização de Synthetic Rw 1
14,14.787,15,first_half,home,Synthetic XI,Synthetic XI,Synthetic XI,,,Synthetic Rw 1,Synthetic XI,True,,,0,1,trailing,equal,0-1,Synthetic Rw 1 recebe atendimento médico
16,18.378,19,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Real Best XI,,L. Messi,Real Best XI,True,2.0,0.1731,0,1,leading,equal,0-1,Synthetic Gk 1 defende finalização de L. Messi
17,18.849,19,first_half,away,Real Best XI,Real Best XI,Synthetic XI,Synthetic XI,,N. Mendes,Real Best XI,True,2.0,,0,1,trailing,equal,0-1,Falta de N. Mendes
18,18.859,19,first_half,away,Real Best XI,Real Best XI,Real Best XI,Synthetic XI,,N. Mendes,Real Best XI,True,2.0,,0,1,trailing,equal,0-1,Cartão amarelo para N. Mendes
19,21.175,22,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Lb 1,Synthetic XI,True,1.0,,0,1,leading,equal,0-1,Falta de Synthetic Lb 1
20,22.855,23,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,,Synthetic Rw 1,Synthetic XI,True,2.0,0.1436,0,1,trailing,equal,0-1,J. Garcia defende finalização de Synthetic Rw 1
22,24.862,25,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Synthetic XI,Synthetic XI,Synthetic Lw 1,Synthetic XI,True,3.0,0.2502,0,1,trailing,equal,1-1,GOL de Synthetic Lw 1
21,24.882,25,first_half,system,,,,,,Synthetic Lw 1,,,3.0,,0,1,trailing,equal,0-1,VAR revisa o lance
23,26.478,27,first_half,home,Synthetic XI,Synthetic XI,Real Best XI,Real Best XI,,Synthetic Rb 1,Synthetic XI,True,3.0,,1,1,tied,equal,1-1,Falta de Synthetic Rb 1
