player_id,player_name,resolved_role,assigned_slot,minutes_num
47296,Gerónimo Rulli,GK,GK,3517.0
6610,Marcos Senesi,RB,RB,3461.0
30776,Cristian Romero,RCB,RCB,3294.0
624,Nicolás Otamendi,LCB,LCB,4243.0
529,Nicolás Tagliafico,LB,LB,2565.0
271,Leandro Paredes,DM,DM,3687.0
319572,Valentín Barco,CM,CM,3378.0
5996,Enzo Fernández,AM,AM,4949.0
154,Lionel Messi,RW,RW,3834.0
26315,Nicolás González,LW,LW,2275.0
295513,José López,ST,ST,4771.0
350037,Nico Paz,RW,bench,3370.0
19599,Emiliano Martínez,GK,bench,4741.0
217,Lautaro Martínez,ST,bench,3169.0
2465,Juan Musso,GK,bench,1657.0
6009,Julián Alvarez,ST,bench,4147.0
6067,Thiago Almada,CM,bench,2028.0
6002,Exequiel Palacios,CM,bench,1686.0
2467,Lisandro Martínez,LCB,bench,1898.0
1578,Giovani Lo Celso,CM,bench,1858.0
2472,Rodrigo de Paul,CM,bench,3650.0
323935,Giuliano Simeone,CM,bench,3992.0
6716,Alexis Mac Allister,CM,bench,4617.0
6503,Nahuel Molina,RB,bench,2996.0
6231,Facundo Medina,LB,bench,2291.0
2468,Gonzalo Montiel,RB,bench,2823.0
