player_id,player_name,resolved_role,assigned_slot,minutes_num
182718,Joan García,GK,GK,4049.0
47519,Pedro Porro,RB,RB,4374.0
295793,Marc Pubill,RCB,RCB,2783.0
396623,Pau Cubarsí,RCB,LCB,4615.0
563,Alejandro Grimaldo,LB,LB,4038.0
133609,Pedri,DM,DM,3539.0
1323,Dani Olmo,CM,CM,3265.0
386828,Lamine Yamal,AM,AM,4201.0
47348,Borja Iglesias,RW,RW,2718.0
184226,Yéremy Pino,LW,LW,3417.0
47323,Mikel Oyarzabal,ST,ST,3724.0
44,Rodri,DM,bench,2811.0
19465,David Raya,GK,bench,4620.0
47270,Unai Simón,GK,bench,4770.0
183799,Nico Williams,ST,bench,2175.0
338751,Victor Muñoz,ST,bench,2764.0
931,Ferran Torres,ST,bench,2933.0
619,Eric García,RB,bench,3953.0
328,Fabián Ruiz,CM,bench,2398.0
47315,Martín Zubimendi,CM,bench,4298.0
753,Marcos Llorente,RB,bench,4068.0
182219,Alejandro Baena,CM,bench,2730.0
47380,Marc Cucurella,LB,bench,4501.0
47311,Mikel Merino,CM,bench,2081.0
296667,Pablo Gavi,RW,bench,782.0
622,Aymeric Laporte,RB,bench,3063.0
