fixture_id,status,rows,updated_at_utc
1100310,completed,46,2026-07-20T15:34:40.918208+00:00
1100311,completed,46,2026-07-20T15:07:07.158089+00:00
1100314,completed,46,2026-07-20T15:35:20.464884+00:00
1100315,completed,46,2026-07-20T15:08:00.049491+00:00
1100316,completed,46,2026-07-20T15:09:37.889064+00:00
1100317,completed,46,2026-07-20T15:05:07.442543+00:00
1100318,completed,46,2026-07-20T15:49:55.338683+00:00
1100319,completed,46,2026-07-20T15:34:33.489789+00:00
1100320,completed,46,2026-07-20T15:04:59.748603+00:00
1100321,completed,46,2026-07-20T15:35:43.380461+00:00
1100322,completed,46,2026-07-20T15:49:28.471591+00:00
1321681,completed,52,2026-07-20T15:06:25.247750+00:00
1321682,completed,46,2026-07-20T15:05:53.189814+00:00
1321683,completed,52,2026-07-20T15:49:58.689131+00:00
1321685,completed,50,2026-07-20T15:09:29.326876+00:00
1321686,completed,52,2026-07-20T16:22:38.508869+00:00
1321688,completed,52,2026-07-20T15:36:13.351568+00:00
1321692,completed,52,2026-07-20T15:07:54.709787+00:00
1321693,completed,49,2026-07-20T15:08:15.779701+00:00
1321695,completed,52,2026-07-20T15:38:13.420320+00:00
1321696,completed,52,2026-07-20T16:19:28.297763+00:00
1321698,completed,52,2026-07-20T15:50:07.556571+00:00
1321699,completed,48,2026-07-20T15:07:02.851786+00:00
1321700,completed,51,2026-07-20T15:39:53.473001+00:00
1321701,completed,52,2026-07-20T15:08:58.829881+00:00
1321703,completed,52,2026-07-20T15:05:24.258755+00:00
1321704,completed,52,2026-07-20T15:36:47.255870+00:00
1321708,completed,52,2026-07-20T15:47:26.683359+00:00
1321709,completed,52,2026-07-20T15:37:58.658213+00:00
1321711,completed,52,2026-07-20T15:07:37.134329+00:00
1321713,completed,49,2026-07-20T15:06:57.960429+00:00
1321714,completed,48,2026-07-20T15:38:49.566430+00:00
1321716,completed,50,2026-07-20T15:05:22.606880+00:00
1321719,completed,49,2026-07-20T16:23:06.771578+00:00
1321720,completed,52,2026-07-20T15:38:53.292764+00:00
1321721,completed,52,2026-07-20T16:20:41.327296+00:00
1321724,completed,51,2026-07-20T15:05:34.966480+00:00
1321727,completed,46,2026-07-20T15:38:26.154305+00:00
1326463,completed,40,2026-07-20T16:01:54.166643+00:00
1326482,completed,40,2026-07-20T16:25:28.670381+00:00
1326484,completed,40,2026-07-20T16:25:19.966686+00:00
1326492,completed,40,2026-07-20T16:25:27.139446+00:00
1326500,completed,38,2026-07-20T16:25:24.580289+00:00
1326512,completed,39,2026-07-20T16:23:23.670422+00:00
1326513,completed,40,2026-07-20T16:25:25.091845+00:00
1326515,completed,40,2026-07-20T16:25:23.556253+00:00
1326527,completed,40,2026-07-20T16:25:25.610579+00:00
1326529,completed,40,2026-07-20T16:23:29.296270+00:00
1326533,completed,38,2026-07-20T16:22:56.911429+00:00
1326538,completed,40,2026-07-20T16:23:20.101883+00:00
