requested_at_utc,fixture_ids,requested_count,returned_count,http_status,provider_remaining,success,error
2026-07-21T16:45:14.286367+00:00,1100310-1100311-1100312-1100313-1100314-1100315-1100316-1100317-1100318-1100319-1100320-1100321-1100322-1169556-1321681-1321682-1321683-1321684-1321685-1321686,20,20,200,7475,True,
2026-07-21T16:45:15.221263+00:00,1321688-1321691-1321692-1321693-1321695-1321696-1321698-1321699-1321700-1321701-1321703-1321704-1321705-1321706-1321708-1321709-1321710-1321711-1321713-1321714,20,20,200,7474,True,
2026-07-21T16:45:16.145840+00:00,1321716-1321719-1321720-1321721-1321723-1321724-1321726-1321727-1326463-1326471-1326475-1326484-1326494-1326496-1326497-1326505-1326507-1326509-1326510-1326512,20,20,200,7473,True,
2026-07-21T16:45:17.088545+00:00,1326515-1326516-1326519-1326522-1326523-1326524-1326526-1326529-1326531-1326532-1326533-1326534-1326538-1326540-1326542-1326544-1326545-1326547-1326551-1326555,20,20,200,7472,True,
2026-07-21T16:45:17.928035+00:00,1326558-1326559-1326560-1326561-1326563-1326566-1326570-1326571-1326575-1326576-1326577-1326578-1326580-1326581-1326583-1326586-1326588-1326589-1326590-1326591,20,20,200,7471,True,
2026-07-21T16:45:18.798725+00:00,1326592-1326593-1326595-1326598-1326601-1326602-1326604-1326605-1326606-1326608-1326611-1326614-1326615-1326617-1326619-1326621-1326624-1326625-1326626-1326629,20,20,200,7470,True,
2026-07-21T16:45:19.508511+00:00,1326630-1326637-1326638-1326642-1326643-1326644-1326646-1326648-1326649-1326651-1326652-1326654-1326655-1326658-1326661-1326662-1326665-1326666-1326668-1326671,20,20,200,7469,True,
2026-07-21T16:45:20.262119+00:00,1326672-1326675-1326676-1326677-1326680-1326683-1326687-1326689-1326690-1326691-1326693-1326694-1326695-1326699-1326701-1326702-1326703-1326705-1326707-1326708,20,20,200,7468,True,
2026-07-21T16:45:20.925302+00:00,1326727-1326731-1326732-1326737-1326738-1326739-1342043-1342052-1342056-1342061-1342063-1342066-1342070-1342076-1342086-1342091-1342103-1342107-1342116-1342124,20,20,200,7467,True,
2026-07-21T16:45:21.673011+00:00,1342131-1342151-1342155-1342171-1342179-1342226-1342266-1342296-1342299-1342307-1342317-1342327-1342341-1342346-1342356-1342362-1342370-1342383-1342386-1342401,20,20,200,7466,True,
2026-07-21T16:45:22.394474+00:00,1342402-1342413-1342418-1347239-1347241-1347242-1347244-1347245-1347246-1347247-1347249-1347251-1347253-1347255-1347257-1347259-1347261-1347263-1347265-1347266,20,20,200,7465,True,
2026-07-21T16:45:23.235627+00:00,1347268-1347269-1347270-1347271-1347273-1351153-1351155-1351156-1351163-1351164-1351166-1351167-1351173-1351175-1351176-1351182-1351183-1351184-1351185-1351193,20,20,200,7464,True,
2026-07-21T16:45:23.989833+00:00,1351194-1351197-1351203-1351205-1351206-1351209-1351213-1351217-1351220-1351221-1351223-1351224-1351225-1351230-1351233-1351234-1351236-1351239-1351243-1351244,20,20,200,7463,True,
2026-07-21T16:45:24.680153+00:00,1351245-1351247-1351253-1351255-1351262-1351264-1351265-1351272-1351273-1351275-1351280-1351283-1351284-1351285-1351290-1351293-1351295-1351302-1351303-1351304,20,20,200,7462,True,
2026-07-21T16:45:25.437781+00:00,1351306-1351310-1351313-1351314-1351315-1351321-1351323-1351324-1351333-1351335-1351337-1351341-1351343-1351344-1351351-1351352-1351353-1351354-1351355-1351356,20,20,200,7461,True,
2026-07-21T16:45:26.144850+00:00,1351363-1351364-1351367-1351368-1351424-1351425-1351429-1351430-1351439-1351441-1351444-1351447-1351448-1351449-1351450-1351451-1351454-1351457-1351458-1351462,20,20,200,7460,True,
2026-07-21T16:45:26.812882+00:00,1351472-1351475-1371356-1371357-1371358-1371360-1371362-1371363-1371365-1371366-1371367-1371369-1371370-1371372-1371373-1371374-1371377-1371378-1371379-1377227,20,20,200,7459,True,
2026-07-21T16:45:27.510805+00:00,1377228-1377400-1377445-1377446-1377447-1377448-1377526-1377527-1377530-1377534-1377535-1377536-1377540-1377864-1377865-1377866-1377867-1377868-1377869-1377870,20,20,200,7458,True,
2026-07-21T16:45:28.133573+00:00,1377871-1377872-1377873-1377874-1377875-1377876-1377877-1377878-1377879-1377880-1377881-1377882-1377883-1377884-1377885-1377886-1377887-1377888-1377889-1377890,20,20,200,7457,True,
