player_id,player_name,team,primary_position,player_fixture_pairs,detailed_fixture_pairs,detailed_minutes,known_startXI_pairs,missing_startXI_detail_pairs,fixture_endpoint_coverage_annual_current,fixture_endpoint_coverage_pre_world_cup,coverage_pass_80pct_annual_current,coverage_pass_80pct_pre_world_cup,known_minute_coverage_lower_bound_annual_current,known_minute_coverage_lower_bound_pre_world_cup,known_missing_startXI_fixtures_annual_current,known_missing_startXI_fixtures_pre_world_cup,exact_detailed_minutes_annual_current,exact_detailed_minutes_pre_world_cup
0,,,,14,4,138.0,0,0,,,,,,,,,,
1,,,,1,1,90.0,1,0,,,,,,,,,,
5,M. Akanji,Switzerland,RB,62,54,4554.0,48,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4307.0,3954.0
6,,,,3,3,192.0,2,0,,,,,,,,,,
8,,,,3,2,11.0,0,0,,,,,,,,,,
9,A. Hakimi,Morocco,RB,53,50,4234.0,46,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,3641.0,3664.0
15,,,,2,2,176.0,2,0,,,,,,,,,,
17,C. Pulisic,USA,RW,39,38,2030.0,23,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2030.0,1806.0
18,,,,1,1,9.0,0,0,,,,,,,,,,
20,A. Witsel,Belgium,AM,39,34,2564.0,30,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2564.0,2533.0
23,,,,1,1,88.0,1,0,,,,,,,,,,
24,,,,1,0,0.0,0,0,,,,,,,,,,
29,,,,2,0,0.0,0,0,,,,,,,,,,
30,S. Arias,Colombia,RB,53,36,2823.0,29,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2709.0,2736.0
31,J. M. Gimenez,Uruguay,RCB,38,25,1537.0,16,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1537.0,1537.0
33,L. Hernandez,France,LB,65,40,2182.0,22,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2084.0,2182.0
39,,,,1,0,0.0,1,1,,,,,,,,,,
44,Rodri,Spain,DM,46,44,2983.0,34,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2811.0,2356.0
45,,,,2,1,20.0,0,0,,,,,,,,,,
48,,,,3,1,45.0,0,0,,,,,,,,,,
49,T. Partey,Ghana,CM,41,35,1602.0,16,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,1602.0,1332.0
50,,,,2,2,210.0,2,0,,,,,,,,,,
52,,,,2,1,20.0,0,0,,,,,,,,,,
53,,,,3,2,149.0,1,0,,,,,,,,,,
56,,,,2,2,160.0,2,0,,,,,,,,,,
69,B. Mechele,Belgium,RCB,60,59,5270.0,59,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,5270.0,4700.0
71,,,,1,1,8.0,0,0,,,,,,,,,,
74,S. Amrabat,Morocco,DM,45,35,2369.0,27,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2369.0,2224.0
75,,,,1,1,90.0,1,0,,,,,,,,,,
78,H. Vanaken,Belgium,AM,59,59,4957.0,55,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,4957.0,4633.0
81,K. Diatta,Senegal,RB,33,32,2180.0,22,0,1.0,1.0,True,True,1.0,1.0,0.0,0.0,2180.0,1790.0
86,,,,1,1,45.0,1,0,,,,,,,,,,
87,,,,1,1,78.0,1,0,,,,,,,,,,
99,,,,1,0,0.0,0,0,,,,,,,,,,
104,,,,1,1,90.0,1,0,,,,,,,,,,
107,,,,2,2,112.0,1,0,,,,,,,,,,
112,,,,1,1,56.0,1,0,,,,,,,,,,
115,,,,1,1,77.0,1,0,,,,,,,,,,
118,,,,1,1,28.0,0,0,,,,,,,,,,
124,,,,2,1,101.0,1,0,,,,,,,,,,
