fixture_id,competition,season,match_date,unresolved_player_count,positions,player_ids
1383440,UEFA Champions League,2025.0,,1,AM,160925
1383451,UEFA Champions League,2025.0,,2,AM | RB,1324 | 25341
1383454,UEFA Champions League,2025.0,,2,AM | RB,1324 | 25341
1384111,Super Liga,2025.0,,1,RB,2975
1384133,Super Liga,2025.0,,1,RB,2975
1384140,Super Liga,2025.0,,1,RB,2975
1384145,Super Liga,2025.0,,1,RB,2975
1384163,Super Liga,2025.0,,1,RB,2975
1388041,First League,2025.0,,1,AM,37435
1389594,Ligat Ha'al,2025.0,,1,RB,8450
1389645,Ligat Ha'al,2025.0,,2,RB | RW,8450 | 41627
1389652,Ligat Ha'al,2025.0,,1,RB,8450
1389661,Ligat Ha'al,2025.0,,2,RB | RW,8450 | 41627
1389684,Ligat Ha'al,2025.0,,2,RB | RW,8450 | 41627
1389732,Ligat Ha'al,2025.0,,2,RB | RW,8450 | 41627
1389742,Ligat Ha'al,2025.0,,2,RB | RW,8450 | 41627
1389753,Ligat Ha'al,2025.0,,2,RB | RW,8450 | 41627
1393730,Stars League,2025.0,,1,AM,283174
1393731,Stars League,2025.0,,1,RB,16813
1393732,Stars League,2025.0,,1,RB,377930
1393737,Stars League,2025.0,,1,RB,377930
1393738,Stars League,2025.0,,1,AM,283174
1393741,Stars League,2025.0,,1,GK,42207
1393744,Stars League,2025.0,,1,RB,16813
1393745,Stars League,2025.0,,1,AM,283174
1393749,Stars League,2025.0,,1,RB,377930
1393750,Stars League,2025.0,,1,GK,42207
1393752,Stars League,2025.0,,1,AM,283174
1393753,Stars League,2025.0,,1,GK,42207
1393757,Stars League,2025.0,,1,RB,377930
1393759,Stars League,2025.0,,2,GK | RB,42207 | 377930
1393763,Stars League,2025.0,,2,RB,16813 | 42288
1393764,Stars League,2025.0,,1,AM,283174
1393771,Stars League,2025.0,,1,RB,377930
1393772,Stars League,2025.0,,1,AM,283174
1393775,Stars League,2025.0,,3,GK | RB,16813 | 42207 | 42288
1393782,Stars League,2025.0,,1,AM,283174
1393790,Stars League,2025.0,,1,GK,42207
1393792,Stars League,2025.0,,1,RB,42288
1394076,3. Liga,2025.0,,1,RW,535046
1394084,3. Liga,2025.0,,1,RW,535046
1394096,3. Liga,2025.0,,1,RW,535046
1394111,3. Liga,2025.0,,1,RW,535046
1394115,3. Liga,2025.0,,1,RW,535046
1394127,3. Liga,2025.0,,1,RW,535046
1394165,3. Liga,2025.0,,1,RW,535046
1394176,3. Liga,2025.0,,1,RW,535046
1405447,UEFA Champions League,2025.0,,1,AM,160925
1405451,UEFA Champions League,2025.0,,1,RB,2975
1405458,UEFA Champions League,2025.0,,1,RB,2975
1405461,UEFA Champions League,2025.0,,1,AM,160925
1410019,UEFA Europa Conference League,2025.0,,1,AM,113580
1410025,UEFA Europa Conference League,2025.0,,1,RB,8450
1410049,UEFA Europa Conference League,2025.0,,1,AM,113580
1410056,UEFA Europa Conference League,2025.0,,1,RB,8450
1410072,UEFA Europa League,2025.0,,1,GK,49837
1410075,UEFA Europa League,2025.0,,1,GK,49837
1415590,1. Division,2025.0,,1,AM,113580
1415592,1. Division,2025.0,,2,AM | RB,1324 | 25341
1415598,1. Division,2025.0,,3,AM | RB,1324 | 2860 | 25341
1415603,1. Division,2025.0,,2,AM | RB,1324 | 25341
1415607,1. Division,2025.0,,1,AM,113580
1415609,1. Division,2025.0,,3,AM | RB,1324 | 2860 | 25341
1415614,1. Division,2025.0,,1,AM,113580
1415617,1. Division,2025.0,,2,AM,1324 | 2860
1415620,1. Division,2025.0,,1,AM,113580
1415626,1. Division,2025.0,,1,AM,113580
1415627,1. Division,2025.0,,2,AM | RB,1324 | 25341
1415630,1. Division,2025.0,,1,AM,113580
1415643,1. Division,2025.0,,4,AM | RB,1324 | 2860 | 25341 | 113580
1415644,1. Division,2025.0,,1,AM,113580
1415649,1. Division,2025.0,,2,AM | RB,2860 | 25341
1415657,1. Division,2025.0,,1,AM,113580
1415668,1. Division,2025.0,,2,AM | RB,1324 | 25341
1415679,1. Division,2025.0,,1,AM,113580
1415685,1. Division,2025.0,,2,AM | RB,1324 | 25341
1415692,1. Division,2025.0,,1,AM,113580
1415695,1. Division,2025.0,,1,AM,113580
1415697,1. Division,2025.0,,2,AM | RB,1324 | 25341
1415701,1. Division,2025.0,,1,AM,113580
1415708,1. Division,2025.0,,2,AM | RB,1324 | 25341
1415717,1. Division,2025.0,,1,AM,113580
1415721,1. Division,2025.0,,1,AM,113580
1415724,1. Division,2025.0,,2,AM | RB,2860 | 25341
1415732,1. Division,2025.0,,2,AM,1324 | 113580
1415916,Pro League,2025.0,,1,AM,19614
1415918,Pro League,2025.0,,2,CM | RW,2699 | 89982
1415919,Pro League,2025.0,,3,RB | RW,2514 | 41608 | 73520
1415921,Pro League,2025.0,,1,AM,341844
1415923,Pro League,2025.0,,2,CM | RW,2699 | 89982
1415924,Pro League,2025.0,,1,RW,70535
1415926,Pro League,2025.0,,1,RW,2514
1415927,Pro League,2025.0,,1,AM,341844
1415928,Pro League,2025.0,,2,RB | RW,41608 | 73520
1419568,UEFA Champions League,2025.0,,1,RB,2975
1421138,UEFA Champions League,2025.0,,2,AM | RB,1324 | 25341
1421145,UEFA Champions League,2025.0,,2,AM | RB,1324 | 25341
1421175,UEFA Europa Conference League,2025.0,,1,AM,113580
1421202,UEFA Europa Conference League,2025.0,,1,AM,113580
1435928,Pro League,2025.0,,1,RW,542644
1435937,Pro League,2025.0,,1,RW,542644
1435943,Pro League,2025.0,,1,RW,542644
1435949,Pro League,2025.0,,1,RW,542644
1435960,Pro League,2025.0,,1,RW,542644
1436778,UEFA Europa League,2025.0,,1,AM,37435
1436780,UEFA Europa League,2025.0,,1,AM,160925
1436783,UEFA Europa League,2025.0,,1,AM,37435
1437227,UEFA Europa League,2025.0,,1,AM,160925
1446895,Pro League,2025.0,,2,AM | CM,2699 | 341844
1446896,Pro League,2025.0,,1,AM,19614
1446899,Pro League,2025.0,,2,RB | RW,41608 | 73520
1446900,Pro League,2025.0,,1,RW,70535
1446901,Pro League,2025.0,,2,RB | RW,2514 | 16805
1446902,Pro League,2025.0,,1,AM,341844
1446903,Pro League,2025.0,,1,RW,70535
1446904,Pro League,2025.0,,2,RB | RW,2514 | 16805
1446906,Pro League,2025.0,,1,AM,19614
1446907,Pro League,2025.0,,2,RB | RW,41608 | 73520
1446909,Pro League,2025.0,,1,RW,89982
1446910,Pro League,2025.0,,2,AM | RW,70535 | 341844
1446911,Pro League,2025.0,,3,AM | RB | RW,2514 | 16805 | 19614
1446913,Pro League,2025.0,,2,RB | RW,41608 | 73520
