player_name,world_cup_team,squad_position,reported_minutes,benchmark_precheck,player_id,window,expected_official_fixtures,processed_fixture_endpoints,fixture_endpoint_coverage,missing_fixture_endpoints,detailed_appearance_fixtures,detailed_minutes,aggregate_reported_minutes,minute_reconciliation_ratio_raw,minute_reconciliation_ratio_clipped,coverage_pass_80pct,denominator_note,original_coverage_pass_80pct,exact_detailed_appearance_fixtures,exact_detailed_minutes,known_startXI_fixtures,startXI_with_detailed_row,known_missing_startXI_fixtures,known_missing_minutes_upper_bound,missing_startXI_with_exit_event,missing_minutes_inferred_from_events,known_minute_coverage_lower_bound,coverage_definition_version,pass_changed_false_to_true,pass_changed_true_to_false,reconstructed_exact_minutes,reconstructed_fixture_pairs,provider_detailed_minutes,candidate_type
M. Akanji,Switzerland,Defender,4981.0,True,5,annual_current,98,98,1.0,0,51,4307.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,51,4307.0,46,46,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,4307.0,benchmark
M. Akanji,Switzerland,Defender,4981.0,True,5,pre_world_cup,96,96,1.0,0,48,3954.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,48,3954.0,42,42,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,3954.0,benchmark
A. Hakimi,Morocco,Defender,4466.0,True,9,annual_current,65,65,1.0,0,43,3641.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,43,3641.0,39,39,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,3641.0,benchmark_and_avatar
A. Hakimi,Morocco,Defender,4466.0,True,9,pre_world_cup,66,66,1.0,0,44,3664.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,44,3664.0,40,40,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,3664.0,benchmark_and_avatar
C. Pulisic,USA,Midfielder,2607.0,True,17,annual_current,47,47,1.0,0,38,2030.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,False,38,2030.0,23,23,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,True,False,0.0,0,2030.0,benchmark
C. Pulisic,USA,Midfielder,2607.0,True,17,pre_world_cup,42,42,1.0,0,34,1806.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,34,1806.0,20,20,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,1806.0,benchmark
A. Witsel,Belgium,Midfielder,2678.0,True,20,annual_current,44,44,1.0,0,34,2564.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,34,2564.0,30,30,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,2564.0,benchmark
A. Witsel,Belgium,Midfielder,2678.0,True,20,pre_world_cup,38,38,1.0,0,32,2533.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,32,2533.0,30,30,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,2533.0,benchmark
S. Arias,Colombia,Defender,4115.0,True,30,annual_current,54,54,1.0,0,34,2709.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,False,34,2709.0,28,28,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,True,False,0.0,0,2709.0,benchmark
S. Arias,Colombia,Defender,4115.0,True,30,pre_world_cup,53,53,1.0,0,35,2736.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,35,2736.0,28,28,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,2736.0,benchmark
J. Giménez,Uruguay,Defender,2569.0,True,31,annual_current,66,66,1.0,0,25,1537.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,False,25,1537.0,16,16,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,True,False,0.0,0,1537.0,benchmark_and_avatar
J. Giménez,Uruguay,Defender,2569.0,True,31,pre_world_cup,63,63,1.0,0,25,1537.0,,1.0,1.0,True,exact-window detailed minutes plus event-bounded exposure for known startXI appearances without a positive-minute statistics row,True,25,1537.0,16,16,0,0.0,0,0.0,1.0,exact_window_known_minutes_v2_event_bounded,False,False,0.0,0,1537.0,benchmark_and_avatar
