canonical_name,player_name,fixture_id,team_id,formation,grid,grid_row,grid_col_normalized,observed_band,expected_side,confidence,inferred_side,correct_under_selected_mapping
N. Mendes,N. Mendes,1489419,27,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1585131,9,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1585131,9,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1576756,27,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1576756,9,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1576756,9,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1100310,26,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1567309,27,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1586077,26,4-1-4-1,2:4,2.0,1.0,high,R,high,R,True
N. Tagliafico,N. Tagliafico,1586077,26,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1489416,2,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Tagliafico,N. Tagliafico,1100320,26,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1489417,9,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1489383,2,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1582681,26,4-1-3-2,2:4,2.0,1.0,high,R,high,R,True
N. Tagliafico,N. Tagliafico,1582681,26,4-1-3-2,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1578539,31,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1539007,1118,4-3-3,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1581821,9,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1581821,9,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
D. Dumfries,D. Dumfries,1489376,1118,4-3-3,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1567311,9,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1567311,9,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1489399,26,4-4-2,2:4,2.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1562345,1118,3-4-3,3:4,3.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1562345,31,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1570715,2384,3-5-2,3:1,3.0,0.2,low,L,high,L,True
N. Molina,N. Molina,1576804,26,4-1-3-2,2:4,2.0,1.0,high,R,high,R,True
N. Tagliafico,N. Tagliafico,1576804,26,4-1-3-2,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1489397,9,4-3-3,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1489397,9,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1489371,31,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
R. Aït-Nouri,R. Ait-Nouri,1489381,1532,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Robinson,A. Robinson,1562586,2384,3-5-2,3:1,3.0,0.2,low,L,high,L,True
A. Robinson,A. Robinson,1489391,2384,3-5-2,3:1,3.0,0.2,low,L,high,L,True
A. Hakimi,A. Hakimi,1567824,31,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1489370,2384,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1567312,1532,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Mendes,N. Mendes,1539003,27,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1565179,26,4-4-2,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1489380,9,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1489390,31,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1489412,1118,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1508003,31,4-1-4-1,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1489405,31,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
R. Aït-Nouri,R. Ait-Nouri,1379275,50,4-2-2-2,4:1,4.0,1.0,high,L,high,R,False
N. Mendes,N. Mendes,1489404,27,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Tagliafico,N. Tagliafico,1489421,26,4-4-2,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Aït-Nouri,1386548,50,4-3-2-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1379215,50,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Robertson,A. Robertson,1379074,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1378975,50,4-3-3,2:1,2.0,0.3333333333333333,low,L,high,L,True
N. Mendes,N. Mendes,1540844,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1540841,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1540841,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
A. Davies,A. Davies,1540841,157,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379282,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1379207,50,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1451081,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1451081,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait-Nouri,1378986,50,4-1-4-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
P. Porro,P. Porro,1378986,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1544371,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Mendes,N. Mendes,1544371,85,4-3-3,2:1,2.0,0.25,low,L,high,L,True
R. Aït-Nouri,R. Ait Nouri,1501840,1532,4-4-2,2:1,2.0,0.25,low,L,high,L,True
