player_id,player_name,fixtures,starts,minutes_num,shots_total,shots_on,goals_total,assists,saves,passes_total,passes_completed,passes_key,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red,pass_completion_rate,window
5,Manuel Akanji,27,26,2413.0,11.0,5.0,1.0,0.0,0.0,1739.0,1596.0,10.0,43.0,9.0,27.0,169.0,98.0,2.0,2.0,14.0,17.0,3,0,0.9177688326624497,annual_current
9,Achraf Hakimi,43,39,3641.0,49.0,23.0,4.0,11.0,0.0,2869.0,2563.0,78.0,62.0,4.0,28.0,340.0,164.0,75.0,26.0,60.0,34.0,6,1,0.8933426280934124,annual_current
17,Christian Pulišić,19,11,960.0,18.0,12.0,4.0,4.0,0.0,351.0,301.0,22.0,6.0,0.0,2.0,108.0,47.0,46.0,20.0,19.0,5.0,0,0,0.8575498575498576,annual_current
20,Axel Witsel,9,7,627.0,5.0,3.0,1.0,0.0,0.0,319.0,298.0,5.0,8.0,6.0,10.0,60.0,28.0,6.0,4.0,7.0,8.0,2,0,0.9341692789968652,annual_current
30,Santiago Arias,2,2,177.0,0.0,0.0,0.0,1.0,0.0,100.0,90.0,7.0,3.0,1.0,3.0,12.0,6.0,0.0,0.0,1.0,1.0,0,0,0.9,annual_current
31,José María Giménez,25,16,1537.0,16.0,4.0,1.0,1.0,0.0,1029.0,930.0,1.0,30.0,17.0,24.0,181.0,98.0,5.0,4.0,12.0,23.0,4,0,0.9037900874635568,annual_current
33,Lucas Hernandez,5,2,228.0,0.0,0.0,0.0,0.0,0.0,237.0,218.0,0.0,6.0,0.0,3.0,22.0,11.0,2.0,0.0,2.0,6.0,1,0,0.919831223628692,annual_current
33,Lucas Hernández,31,19,1856.0,8.0,3.0,0.0,3.0,0.0,1692.0,1552.0,16.0,25.0,8.0,21.0,126.0,74.0,8.0,3.0,19.0,20.0,3,1,0.91725768321513,annual_current
44,Rodri,40,33,2811.0,24.0,6.0,2.0,0.0,0.0,3122.0,2846.0,44.0,73.0,8.0,23.0,298.0,193.0,28.0,17.0,44.0,29.0,8,1,0.9115951313260731,annual_current
49,Thomas Partey,18,11,970.0,6.0,1.0,0.0,0.0,0.0,535.0,462.0,12.0,18.0,4.0,20.0,84.0,42.0,8.0,4.0,9.0,10.0,0,0,0.8635514018691589,annual_current
69,Brandon Mechele,12,12,1108.0,4.0,1.0,0.0,0.0,0.0,758.0,695.0,3.0,16.0,9.0,10.0,82.0,50.0,2.0,2.0,5.0,11.0,1,0,0.91688654353562,annual_current
