player_id,player_name,fixtures,starts,minutes_num,shots_total,shots_on,goals_total,assists,saves,passes_total,passes_completed,passes_key,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red,pass_completion_rate,window
5,Manuel Akanji,48,42,3954.0,25.0,10.0,2.0,0.0,0.0,3064.0,2831.0,13.0,66.0,20.0,48.0,265.0,153.0,3.0,2.0,23.0,32.0,6,0,0.9239556135770235,pre_world_cup
9,Achraf Hakimi,44,40,3664.0,48.0,24.0,5.0,11.0,0.0,2977.0,2660.0,72.0,56.0,4.0,28.0,300.0,142.0,68.0,22.0,49.0,34.0,5,1,0.893516963385959,pre_world_cup
17,Christian Pulišić,34,20,1806.0,46.0,28.0,10.0,4.0,0.0,755.0,650.0,45.0,15.0,1.0,3.0,178.0,82.0,70.0,33.0,24.0,11.0,0,0,0.8609271523178808,pre_world_cup
20,Axel Witsel,32,30,2533.0,16.0,5.0,1.0,2.0,0.0,1467.0,1337.0,17.0,36.0,11.0,30.0,242.0,129.0,14.0,10.0,37.0,34.0,3,1,0.9113837764144512,pre_world_cup
30,Santiago Arias,1,1,90.0,0.0,0.0,0.0,1.0,0.0,59.0,56.0,2.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,1.0,0.0,0,0,0.9491525423728814,pre_world_cup
31,José María Giménez,25,16,1537.0,16.0,4.0,1.0,1.0,0.0,1029.0,930.0,1.0,30.0,17.0,24.0,181.0,98.0,5.0,4.0,12.0,23.0,4,0,0.9037900874635568,pre_world_cup
33,Lucas Hernandez,5,2,228.0,0.0,0.0,0.0,0.0,0.0,237.0,218.0,0.0,6.0,0.0,3.0,22.0,11.0,2.0,0.0,2.0,6.0,1,0,0.919831223628692,pre_world_cup
33,Lucas Hernández,35,20,1954.0,8.0,3.0,0.0,3.0,0.0,1782.0,1632.0,16.0,26.0,8.0,21.0,135.0,75.0,10.0,3.0,19.0,24.0,3,2,0.9158249158249159,pre_world_cup
44,Rodri,37,27,2356.0,21.0,6.0,2.0,1.0,0.0,2635.0,2389.0,39.0,55.0,7.0,23.0,253.0,160.0,29.0,18.0,39.0,22.0,8,1,0.9066413662239089,pre_world_cup
49,Thomas Partey,32,13,1332.0,9.0,3.0,0.0,0.0,0.0,740.0,632.0,16.0,26.0,5.0,22.0,117.0,62.0,12.0,10.0,8.0,15.0,2,0,0.8540540540540541,pre_world_cup
