player_id,player_name,active_fixtures,active_minutes,starts,modal_provider_position,provider_position_stability,modal_lineup_position,lineup_position_stability,modal_grid_row,grid_row_stability,modal_grid_band,grid_band_stability,modal_formation,world_cup_team,squad_position,rank_entry_precheck,benchmark_precheck
5,Manuel Akanji,30,2660.0,28,D,1.0,D,1.0,2.0,1.0,outer_high,0.75,3-5-2,Switzerland,Defender,True,True
9,Achraf Hakimi,50,4234.0,46,D,0.98,D,0.98,2.0,0.9782608695652174,outer_high,1.0,4-3-3,Morocco,Defender,True,True
17,Christian Pulišić,19,960.0,11,F,0.5263157894736842,F,0.5263157894736842,4.0,1.0,outer_high,0.5454545454545454,3-5-2,USA,Midfielder,True,True
20,Axel Witsel,9,627.0,7,M,1.0,M,1.0,3.0,1.0,outer_high,1.0,4-2-3-1,Belgium,Midfielder,True,True
30,Santiago Arias,2,177.0,2,D,1.0,D,1.0,2.0,1.0,outer_high,1.0,4-2-3-1,Colombia,Defender,True,True
31,José María Giménez,25,1537.0,16,D,1.0,D,1.0,2.0,1.0,outer_high,0.625,4-4-2,Uruguay,Defender,True,True
33,Lucas Hernandez,5,228.0,2,D,1.0,D,1.0,2.0,1.0,outer_low,1.0,4-3-3,France,Defender,True,True
33,Lucas Hernández,35,1954.0,20,D,1.0,D,1.0,2.0,1.0,outer_low,0.8,4-3-3,France,Defender,True,True
44,Rodri,44,2983.0,34,M,1.0,M,1.0,3.0,1.0,outer_high,0.7352941176470589,4-1-4-1,Spain,Midfielder,True,True
49,Thomas Partey,18,970.0,11,M,1.0,M,1.0,3.0,1.0,outer_high,0.6363636363636364,4-4-2,Ghana,Midfielder,True,True
69,Brandon Mechele,12,1108.0,12,D,1.0,D,1.0,2.0,1.0,center,0.8333333333333334,4-2-3-1,Belgium,Defender,True,True
74,Sofyan Amrabat,16,1089.0,12,M,1.0,M,1.0,3.0,1.0,outer_high,0.5833333333333334,4-2-3-1,Morocco,Midfielder,True,True
78,Hans Vanaken,12,864.0,9,M,1.0,M,1.0,4.0,0.6666666666666666,outer_high,0.7777777777777778,4-2-3-1,Belgium,Midfielder,True,True
81,Krépin Diatta,23,1646.0,18,M,0.5217391304347826,M,0.5217391304347826,2.0,0.6111111111111112,outer_high,1.0,3-4-2-1,Senegal,Defender,True,True
130,Nelson Semedo,2,174.0,2,D,1.0,D,1.0,2.0,1.0,outer_high,1.0,4-2-3-1,Portugal,Defender,True,True
130,Nélson Semedo,39,2671.0,32,D,0.8461538461538461,D,0.8461538461538461,2.0,0.8,outer_high,0.9666666666666667,4-2-3-1,Portugal,Defender,True,True
153,Ousmane Dembélé,51,2961.0,34,F,0.8627450980392157,F,0.8627450980392157,4.0,1.0,center,0.6764705882352942,4-3-3,France,Midfielder,True,True
154,Lionel Messi,10,878.0,9,F,1.0,F,1.0,4.0,0.5555555555555556,outer_high,1.0,4-4-2,Argentina,Attacker,True,True
168,Davinson Sánchez,39,3384.0,39,D,1.0,D,1.0,2.0,1.0,outer_high,0.9487179487179487,4-2-3-1,Colombia,Defender,True,True
184,Harry Kane,63,5077.0,55,F,0.9365079365079365,F,0.9365079365079365,5.0,0.9074074074074074,outer_high,0.9444444444444444,4-2-3-1,England,Attacker,True,True
186,Son Heung-min,3,171.0,2,F,1.0,F,1.0,,0.0,,0.0,,South Korea,Attacker,True,True
207,Ivan Perišić,20,1478.0,18,M,0.65,M,0.65,4.0,0.6666666666666666,outer_low,0.3888888888888889,4-2-3-1,Croatia,Defender,True,True
217,Lautaro Martínez,28,1686.0,22,F,1.0,F,1.0,4.0,0.9545454545454546,center,0.6363636363636364,3-5-2,Argentina,Attacker,True,True
221,Eloy Room,12,1096.0,12,G,1.0,G,1.0,1.0,1.0,outer_high,1.0,4-2-3-1,Curaçao,Goalkeeper,True,False
225,Aziz Behich,3,223.0,2,M,0.6666666666666666,M,0.6666666666666666,3.0,1.0,outer_low,1.0,3-4-2-1,Australia,Midfielder,True,True
226,Denzel Dumfries,15,1171.0,13,M,0.6666666666666666,M,0.6,3.0,0.7692307692307693,outer_high,1.0,3-5-2,Netherlands,Midfielder,True,True
228,Armando Obispo,20,1284.0,14,D,1.0,D,1.0,2.0,1.0,center,0.7692307692307693,4-2-3-1,Curaçao,Defender,True,True
241,Michal Sadílek,14,930.0,10,M,0.8571428571428571,M,0.8571428571428571,3.0,0.75,outer_high,0.75,3-4-2-1,Czech Republic,Midfielder,True,True
242,Ryan Thomas,5,241.0,3,M,1.0,M,1.0,3.0,1.0,outer_high,1.0,4-2-3-1,New Zealand,Midfielder,True,True
247,Cody Gakpo,54,3808.0,43,M,0.5370370370370371,M,0.5370370370370371,4.0,0.7674418604651163,outer_low,0.6511627906976745,4-2-3-1,Netherlands,Attacker,True,True
249,Donyell Malen,37,1749.0,19,F,0.972972972972973,F,0.972972972972973,5.0,0.6842105263157895,outer_high,0.9473684210526315,4-2-3-1,Netherlands,Attacker,True,True
257,Marquinhos,46,3842.0,42,D,1.0,D,1.0,2.0,1.0,outer_high,0.975,4-3-3,Brazil,Defender,True,True
264,Thomas Meunier,24,1796.0,20,D,0.9583333333333334,D,0.9583333333333334,2.0,0.95,outer_high,1.0,4-2-3-1,Belgium,Defender,True,True
271,Leandro Paredes,9,630.0,7,M,1.0,M,1.0,3.0,1.0,center,0.5714285714285714,4-4-2,Argentina,Midfielder,True,True
272,Adrien Rabiot,24,2115.0,24,M,0.9583333333333334,M,0.9583333333333334,3.0,0.9166666666666666,center,0.875,3-5-2,France,Midfielder,True,True
276,Neymar,2,37.0,0,F,1.0,F,1.0,,0.0,,0.0,4-3-3,Brazil,Attacker,True,True
278,Kylian Mbappé,48,3833.0,42,F,1.0,F,1.0,4.0,0.5,outer_high,0.8571428571428571,4-2-3-1,France,Attacker,True,True
280,Alisson,42,3751.0,42,G,1.0,G,1.0,1.0,1.0,outer_high,1.0,4-2-3-1,Brazil,Goalkeeper,True,True
289,Andrew Robertson,29,1438.0,13,D,1.0,D,1.0,2.0,1.0,outer_low,0.7692307692307693,4-2-3-1,Scotland,Defender,True,True
289,Andy Robertson,7,540.0,7,D,1.0,D,1.0,2.0,1.0,outer_low,1.0,4-2-3-1,Scotland,Defender,True,True
290,Virgil van Dijk,57,5151.0,57,D,1.0,D,1.0,2.0,1.0,center,0.9298245614035088,4-2-3-1,Netherlands,Defender,True,True
292,Jordan Henderson,20,1218.0,14,M,1.0,M,1.0,3.0,1.0,outer_high,1.0,4-2-3-1,England,Midfielder,True,True
299,Fabinho,8,534.0,5,M,1.0,M,1.0,3.0,1.0,outer_high,0.6,4-3-3,Brazil,Midfielder,True,True
304,Sadio Mane,1,90.0,1,M,1.0,M,1.0,3.0,1.0,outer_low,1.0,4-4-1-1,Senegal,Midfielder,True,True
304,Sadio Mané,19,1679.0,19,M,0.5789473684210527,M,0.5789473684210527,4.0,0.631578947368421,outer_low,0.631578947368421,4-3-3,Senegal,Midfielder,True,True
306,Mohamed Salah,51,4055.0,44,M,0.6470588235294118,M,0.6470588235294118,4.0,0.8947368421052632,outer_high,0.9210526315789473,4-2-3-1,Egypt,Attacker,True,True
318,Kalidou Koulibaly,34,2956.0,34,D,1.0,D,1.0,2.0,1.0,center,0.5882352941176471,4-3-3,Senegal,Defender,True,True
328,Fabián Ruiz,48,2859.0,33,M,1.0,M,1.0,3.0,1.0,outer_low,0.6060606060606061,4-3-3,Spain,Midfielder,True,True
369,Diogo Costa,11,997.0,11,G,1.0,G,1.0,1.0,1.0,outer_high,1.0,4-3-3,Portugal,Goalkeeper,True,True
375,Chancel Mbemba,19,1636.0,17,D,1.0,D,1.0,2.0,1.0,outer_high,0.8235294117647058,4-2-3-1,Congo DR,Defender,True,True
399,Alexander Nübel,35,3180.0,35,G,1.0,G,1.0,1.0,1.0,outer_high,1.0,4-2-3-1,Germany,Goalkeeper,True,True
409,Nabil Bentaleb,26,1636.0,18,M,0.9615384615384616,M,0.9615384615384616,3.0,0.9444444444444444,outer_high,0.7222222222222222,4-2-3-1,Algeria,Midfielder,True,True
415,Weston McKennie,33,2715.0,30,M,0.9090909090909091,M,0.90625,3.0,0.7931034482758621,outer_high,0.896551724137931,3-4-2-1,USA,Midfielder,True,True
421,Breel Embolo,18,1227.0,13,F,1.0,F,1.0,4.0,0.6153846153846154,outer_high,0.9230769230769231,3-5-2,Switzerland,Attacker,True,True
427,Haji Wright,3,19.0,0,F,1.0,F,1.0,,0.0,,0.0,3-5-2,USA,Attacker,True,True
429,Fernando Muslera,3,225.0,3,G,1.0,G,1.0,1.0,1.0,outer_high,1.0,4-1-4-1,Uruguay,Goalkeeper,True,True
440,Yuto Nagatomo,1,15.0,0,D,1.0,D,1.0,,0.0,,0.0,3-4-2-1,Japan,Defender,True,True
454,Yunus Akgün,32,1875.0,22,M,0.65625,M,0.65625,4.0,0.9545454545454546,center,0.5454545454545454,4-2-3-1,Türkiye,Midfielder,True,True
497,Manuel Neuer,46,4050.0,46,G,1.0,G,1.0,1.0,1.0,outer_high,1.0,4-2-3-1,Germany,Goalkeeper,True,True
502,Joshua Kimmich,58,4828.0,52,M,0.9310344827586207,M,0.9310344827586207,3.0,0.9215686274509803,outer_high,0.9803921568627451,4-2-3-1,Germany,Defender,True,True
505,David Alaba,16,645.0,7,D,1.0,D,1.0,2.0,1.0,center,0.5714285714285714,4-4-2,Austria,Defender,True,False
509,Alphonso Davies,24,874.0,8,D,1.0,D,1.0,2.0,1.0,outer_low,0.875,4-2-3-1,Canada,Defender,True,False
511,Leon Goretzka,54,2584.0,29,M,1.0,M,1.0,3.0,0.9285714285714286,center,0.7857142857142857,4-2-3-1,Germany,Midfielder,True,True
517,James Rodríguez,8,519.0,8,F,0.875,F,0.75,4.0,0.875,outer_high,1.0,4-3-3,Colombia,Attacker,True,True
524,Dominik Kotarski,3,270.0,3,G,1.0,G,1.0,1.0,1.0,outer_high,1.0,4-4-2,Croatia,Goalkeeper,True,True
529,Nicolás Tagliafico,17,1216.0,13,D,1.0,D,1.0,2.0,1.0,outer_low,0.46153846153846156,4-2-3-1,Argentina,Defender,True,True
538,Frenkie de Jong,42,2906.0,30,M,1.0,M,1.0,3.0,0.9666666666666667,outer_high,0.7,4-2-3-1,Netherlands,Midfielder,True,True
542,Ryan Gravenberch,52,4371.0,50,M,1.0,M,1.0,3.0,1.0,outer_high,1.0,4-2-3-1,Netherlands,Midfielder,True,True
544,Noa Lang,24,1178.0,13,F,0.625,F,0.625,4.0,0.9230769230769231,outer_low,0.6923076923076923,4-2-3-1,Netherlands,Attacker,True,True
545,Noussair Mazraoui,33,2136.0,23,D,0.8787878787878788,D,0.8787878787878788,2.0,0.8260869565217391,outer_high,0.6086956521739131,4-2-3-1,Morocco,Defender,True,True
563,Alejandro Grimaldo,34,3018.0,34,M,0.9411764705882353,M,0.9411764705882353,3.0,0.9411764705882353,outer_low,0.5,3-4-2-1,Spain,Defender,True,True
563,Alex Grimaldo,1,90.0,1,M,1.0,M,1.0,3.0,1.0,outer_low,1.0,3-4-2-1,Spain,Defender,True,True
567,Rúben Dias,40,3241.0,36,D,1.0,D,1.0,2.0,1.0,outer_high,0.8333333333333334,4-1-4-1,Portugal,Defender,True,True
583,João Félix,16,1346.0,16,F,0.6875,F,0.6875,4.0,1.0,outer_high,0.625,4-4-2,Portugal,Midfielder,True,True
617,Ederson,34,3062.0,34,G,1.0,G,1.0,1.0,1.0,outer_high,1.0,4-2-3-1,Brazil,Goalkeeper,True,True
619,Eric García,51,3953.0,47,D,0.7450980392156863,D,0.7450980392156863,2.0,0.723404255319149,outer_high,0.7021276595744681,4-2-3-1,Spain,Defender,True,True
622,Aymeric Laporte,14,1157.0,13,D,1.0,D,1.0,2.0,1.0,center,0.5384615384615384,4-2-3-1,Spain,Defender,True,True
