player_id,player_name,team_id,team_name,position_group,minutes,shots,shots_on,goals,goals_conceded,assists,saves,passes,passes_accurate,key_passes,tackles,blocks,interceptions,duels,duels_won,dribbles_attempted,dribbles_completed,fouls_drawn,fouls_committed,yellow_cards,red_cards,provider_rating_mean,shots_p90,goals_p90,goals_conceded_p90,assists_p90,saves_p90,passes_p90,key_passes_p90,tackles_p90,blocks_p90,interceptions_p90,duels_p90,dribbles_completed_p90,fouls_drawn_p90,fouls_committed_p90,cards_p90,shots_on_target_rate,duel_win_rate,dribble_success_rate,pass_accuracy
5,Manuel Akanji,15,Switzerland,CB,600.0,1.0,1.0,0.0,0.0,0.0,0.0,490.0,456.0,4.0,9.0,0.0,6.0,40.0,23.0,1.0,1.0,4.0,4.0,0.0,0.0,7.033333333333334,0.15,0.0,0.0,0.0,0.0,73.5,0.6,1.3499999999999999,0.0,0.8999999999999999,6.0,0.15,0.6,0.6,0.0,1.0,0.575,1.0,93.06122448979592
9,Achraf Hakimi,31,Morocco,FB,570.0,11.0,4.0,1.0,0.0,2.0,0.0,400.0,357.0,17.0,12.0,1.0,5.0,85.0,42.0,20.0,10.0,16.0,7.0,1.0,0.0,7.083333333333333,1.7368421052631577,0.15789473684210525,0.0,0.3157894736842105,0.0,63.1578947368421,2.6842105263157894,1.894736842105263,0.15789473684210525,0.7894736842105263,13.421052631578947,1.5789473684210527,2.526315789473684,1.1052631578947367,0.15789473684210525,0.36363636363636365,0.49411764705882355,0.5,89.25
17,Christian Pulišić,2384,USA,ST,224.0,3.0,2.0,0.0,0.0,1.0,0.0,78.0,68.0,3.0,3.0,0.0,0.0,39.0,20.0,21.0,9.0,8.0,1.0,0.0,0.0,7.0,1.2053571428571428,0.0,0.0,0.4017857142857143,0.0,31.339285714285715,1.2053571428571428,1.2053571428571428,0.0,0.0,15.669642857142858,3.616071428571429,3.2142857142857144,0.4017857142857143,0.0,0.6666666666666666,0.5128205128205128,0.42857142857142855,87.17948717948718
30,Santiago Arias,8,Colombia,FB,87.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,34.0,5.0,3.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,42.41379310344828,5.172413793103448,3.1034482758620694,1.0344827586206897,2.0689655172413794,6.206896551724139,0.0,0.0,1.0344827586206897,0.0,0.0,0.5,0.0,82.92682926829268
44,Rodri,9,Spain,DM,627.0,3.0,0.0,0.0,0.0,0.0,0.0,706.0,656.0,9.0,22.0,2.0,2.0,63.0,41.0,3.0,2.0,6.0,9.0,0.0,0.0,7.7,0.430622009569378,0.0,0.0,0.0,0.0,101.33971291866028,1.291866028708134,3.1578947368421053,0.28708133971291866,0.28708133971291866,9.043062200956937,0.28708133971291866,0.861244019138756,1.291866028708134,0.0,0.0,0.6507936507936508,0.6666666666666666,92.91784702549575
49,Thomas Partey,1504,Ghana,DM,270.0,2.0,0.0,0.0,0.0,0.0,0.0,152.0,136.0,1.0,4.0,1.0,6.0,17.0,11.0,3.0,1.0,5.0,2.0,0.0,0.0,6.733333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,50.666666666666664,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,5.666666666666666,0.3333333333333333,1.6666666666666665,0.6666666666666666,0.0,0.0,0.6470588235294118,0.3333333333333333,89.47368421052632
69,Brandon Mechele,1,Belgium,CB,570.0,4.0,1.0,0.0,0.0,0.0,0.0,407.0,371.0,2.0,7.0,3.0,4.0,43.0,26.0,1.0,1.0,2.0,9.0,1.0,0.0,6.933333333333334,0.631578947368421,0.0,0.0,0.0,0.0,64.26315789473684,0.3157894736842105,1.1052631578947367,0.47368421052631576,0.631578947368421,6.789473684210526,0.15789473684210525,0.3157894736842105,1.4210526315789473,0.15789473684210525,0.25,0.6046511627906976,1.0,91.15479115479116
74,Sofyan Amrabat,31,Morocco,DM,145.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,98.0,1.0,3.0,1.0,3.0,14.0,5.0,2.0,0.0,2.0,4.0,0.0,0.0,6.6000000000000005,0.0,0.0,0.0,0.0,0.0,66.41379310344828,0.6206896551724138,1.8620689655172415,0.6206896551724138,1.8620689655172415,8.689655172413794,0.0,1.2413793103448276,2.4827586206896552,0.0,0.0,0.35714285714285715,0.0,91.58878504672897
78,Hans Vanaken,1,Belgium,DM,324.0,3.0,1.0,1.0,0.0,2.0,0.0,169.0,155.0,8.0,3.0,2.0,1.0,29.0,15.0,3.0,2.0,6.0,0.0,0.0,0.0,6.8,0.8333333333333334,0.2777777777777778,0.0,0.5555555555555556,0.0,46.94444444444445,2.2222222222222223,0.8333333333333334,0.5555555555555556,0.2777777777777778,8.055555555555555,0.5555555555555556,1.6666666666666667,0.0,0.0,0.3333333333333333,0.5172413793103449,0.6666666666666666,91.71597633136095
81,Krépin Diatta,13,Senegal,FB,390.0,1.0,0.0,0.0,0.0,0.0,0.0,261.0,234.0,3.0,13.0,0.0,3.0,46.0,31.0,8.0,7.0,6.0,4.0,0.0,0.0,6.75,0.23076923076923078,0.0,0.0,0.0,0.0,60.23076923076923,0.6923076923076923,3.0,0.0,0.6923076923076923,10.615384615384617,1.6153846153846154,1.3846153846153846,0.9230769230769231,0.0,0.0,0.6739130434782609,0.875,89.65517241379311
