list_id,list_label,slot,player_name,source_url,checked_at_utc
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),GK,Unai Simón,https://sports.yahoo.com/articles/fifa-unveil-official-world-cup-155900805.html,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),RB,Pedro Porro,https://www.tottenhamhotspur.com/news/1079483/porro-named-in-world-cup-team-of-the-tournament,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),CB,Dayot Upamecano,https://sports.yahoo.com/articles/2026-fifa-world-cup-best-200448718.html,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),CB,Marc Guéhi,https://sports.yahoo.com/articles/2026-fifa-world-cup-best-200448718.html,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),LB,Marc Cucurella,https://www.realmadrid.com/en-US/news/football/first-team/latest-news/cucurella-bellingham-y-mbappe-en-el-once-ideal-del-mundial-22-07-2026,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),DM,Rodri,https://www.espn.com/soccer/story/_/id/49397919/kylian-mbappe-wins-golden-boot-2026-world-cup-lionel-messi-goalless-final,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),CM,Jude Bellingham,https://sports.yahoo.com/articles/2026-fifa-world-cup-team-053500772.html,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),AM,Michael Olise,https://sports.yahoo.com/articles/2026-fifa-world-cup-team-053500772.html,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),FW,Lionel Messi,https://sports.yahoo.com/articles/fifa-unveil-official-world-cup-155900805.html,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),FW,Kylian Mbappé,https://www.espn.com/soccer/story/_/id/49397919/kylian-mbappe-wins-golden-boot-2026-world-cup-lionel-messi-goalless-final,2026-08-08
fifa_wc2026_best_xi,FIFA World Cup 2026 Best XI (official),FW,Erling Haaland,https://sports.yahoo.com/articles/fifa-unveil-official-world-cup-155900805.html,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,GK,David Raya,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,RB,Marcos Llorente,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,CB,Marquinhos,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,CB,Gabriel Magalhães,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,LB,Nuno Mendes,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,DM,Declan Rice,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,CM,Vitinha,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,AM,Michael Olise,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,FW,Khvicha Kvaratskhelia,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,FW,Ousmane Dembélé,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
uefa_ucl_tots_2025_26,UEFA Champions League Team of the Season 2025-26,FW,Harry Kane,https://www.uefa.com/uefachampionsleague/news/02a5-20c1d7d33d69-be4f6ab11b0a-1000--2025-26-uefa-champions-league-team-of-the-season/,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,GK,Gianluigi Donnarumma,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,RB,Achraf Hakimi,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,CB,Virgil van Dijk,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,LB,Nuno Mendes,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,CM,Vitinha,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,CM,Cole Palmer,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,CM,Pedri,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,FW,Lamine Yamal,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,FW,Ousmane Dembélé,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
fifpro_world_xi_2025,FIFPro Men's World 11 2025,FW,Kylian Mbappé,https://www.fifpro.org/en/articles/2025/11/2025-fifpro-world-11-winners-revealed,2026-08-08
