canonical_name,aliases,expected_side,confidence,notes
A. Hakimi,Achraf Hakimi|A Hakimi,R,high,Established right-sided full-back/wing-back
N. Mendes,Nuno Mendes|N Mendes,L,high,Established left-sided full-back
T. Alexander-Arnold,Trent Alexander-Arnold|T Alexander-Arnold,R,high,Established right-sided full-back
A. Davies,Alphonso Davies|A Davies,L,high,Established left-sided full-back
T. Hernández,Theo Hernández|T Hernandez|Theo Hernandez,L,high,Established left-sided full-back
D. Carvajal,Dani Carvajal|Daniel Carvajal,R,high,Established right-sided full-back
A. Robertson,Andrew Robertson|A Robertson,L,high,Established left-sided full-back
D. Dumfries,Denzel Dumfries|D Dumfries,R,high,Established right wing-back/full-back
F. Dimarco,Federico Dimarco|F Dimarco,L,high,Established left wing-back/full-back
N. Molina,Nahuel Molina|N Molina,R,high,Established right-sided full-back
N. Tagliafico,Nicolás Tagliafico|Nicolas Tagliafico|N Tagliafico,L,high,Established left-sided full-back
M. Cucurella,Marc Cucurella|M Cucurella,L,high,Established left-sided full-back
R. Aït-Nouri,Rayan Aït-Nouri|Rayan Ait-Nouri|R Ait-Nouri,L,high,Established left-sided full-back
J. Frimpong,Jeremie Frimpong|J Frimpong,R,high,Established right wing-back/full-back
A. Robinson,Antonee Robinson|A Robinson,L,high,Established left-sided full-back
K. Walker,Kyle Walker|K Walker,R,high,Established right-sided full-back
L. Shaw,Luke Shaw|L Shaw,L,high,Established left-sided full-back
P. Porro,Pedro Porro|P Porro,R,high,Established right-sided full-back
A. Balde,Alejandro Balde|Álex Balde|Alex Balde,L,high,Established left-sided full-back
G. Di Lorenzo,Giovanni Di Lorenzo|G Di Lorenzo,R,high,Established right-sided full-back
