league_id,league_name,rows,players,minutes,league_effect,estimable,factor_estimated
95,Segunda Liga,14,2,1216.0,-1.6180489557361113,False,
296,Thai League 1,11,1,966.0,-0.6221375690950082,False,
169,Super League,15,1,1304.0,-0.5450752797081815,False,
283,Liga I,62,2,5158.0,-0.4224073142562295,False,
528,Community Shield,14,14,1253.0,-0.42236446135905636,False,
547,Super Cup,17,13,1427.0,-0.37632733597174145,False,
531,UEFA Super Cup,17,17,1503.0,-0.3707584673474155,False,
41,League One,81,3,6208.0,-0.30457351601142324,False,
529,Super Cup,15,15,1317.0,-0.2973726301503118,False,
526,Trophée des Champions,13,13,1195.0,-0.24914021944588893,False,
136,Serie B,123,4,10297.0,-0.1870889057971812,False,
39,Premier League,3790,161,309801.0,-0.1789712539954361,True,1.0497199716725585
1,World Cup,2328,771,184080.0,-0.15210405289079543,True,1.0362863711202381
206,Türkiye Kupası,24,18,2052.0,-0.145037881560099,False,
2,UEFA Champions League,2089,303,168840.0,-0.12918862305472711,True,1.024828656202204
556,Super Cup,35,23,2924.0,-0.11351088140279554,False,
140,La Liga,1743,80,136258.0,-0.10246119310972458,True,1.0114649412297028
551,Super Cup,22,12,1866.0,-0.08922880896451157,False,
48,League Cup,246,120,19609.0,-0.08766866716117322,True,1.0040686782554271
235,Premier League,197,10,16275.0,-0.06409919781834506,True,0.9922839435840131
301,Pro League,120,13,9793.0,-0.061826355105084385,True,0.9911475222273827
772,Leagues Cup,76,43,6384.0,-0.061575435147607514,True,0.9910220622486443
96,Taça de Portugal,42,18,3749.0,-0.0483209793804503,False,
98,J1 League,128,6,11125.0,-0.04347020674498149,False,
383,Ligat Ha'al,45,3,3811.0,-0.03979263527226252,False,
210,HNL,163,7,13874.0,-0.03920215743302338,False,
143,Copa del Rey,153,63,11937.0,-0.037133894450698056,True,0.9788012919001896
135,Serie A,1616,67,129217.0,-0.03429122081471972,True,0.9773799550822004
3,UEFA Europa League,898,129,72129.0,-0.03237815830604433,True,0.9764234238278627
848,UEFA Europa Conference League,422,67,34873.0,-0.017381943232478794,True,0.9689253162910799
94,Primeira Liga,611,28,49824.0,-0.011157896226240749,True,0.9658132927879609
61,Ligue 1,1579,80,128512.0,-0.00897524260518331,True,0.9647219659774322
262,Liga MX,784,30,64470.0,-0.005153542102522578,True,0.9628111157261018
144,Jupiler Pro League,733,33,58761.0,0.016651666615006586,True,0.9519085113673372
137,Coppa Italia,111,54,8422.0,0.020298502032044616,True,0.9500850936588182
197,Super League 1,240,14,19656.0,0.025498679588523022,True,0.9474850048805791
45,FA Cup,266,139,21453.0,0.028287107302999003,True,0.946090791023341
78,Bundesliga,2161,98,175538.0,0.028809240726085258,True,0.9458297243117979
203,Süper Lig,820,46,67493.0,0.03303643090274007,True,0.9437161292234705
119,Superliga,315,15,25813.0,0.03426702327081136,True,0.9431008330394348
141,Segunda División,132,8,10354.0,0.03711527453297447,True,0.9416767074083533
265,Primera División,25,1,1823.0,0.04386138086413254,False,
204,1. Lig,78,4,6301.0,0.05272913125893795,False,
6,Africa Cup of Nations,425,116,35379.0,0.053819011040949445,True,0.9333248391543658
81,DFB Pokal,231,87,19813.0,0.056584135931088166,True,0.9319422767092964
