minute,team,type,actor,zone,xg,headline
6,Real Best XI — exploratorio,shot_off_target,Lionel Messi,2,0.192,Ocasión de Lionel Messi fuera
10,Real Best XI — exploratorio,shot_on_target,João Félix,1,0.114,Remate de João Félix detenido por el portero
16,Real Best XI — exploratorio,goal,Pedri,3,0.209,GOL de Pedri
18,Real Best XI — exploratorio,shot_off_target,Yan Diomande,3,0.257,Ocasión de Yan Diomande fuera
22,Real Best XI — exploratorio,turnover,João Félix,3,0.0,João Félix pierde el balón bajo presión
29,Synthetic XI — exploratorio,goal,SYN-ST20,1,0.104,GOL de SYN-ST20
31,Synthetic XI — exploratorio,shot_off_target,SYN-ST20,2,0.166,Ocasión de SYN-ST20 fuera
37,Real Best XI — exploratorio,shot_off_target,Lionel Messi,3,0.31,Ocasión de Lionel Messi fuera
45,Synthetic XI — exploratorio,shot_on_target,SYN-W120,2,0.148,Remate de SYN-W120 detenido por el portero
51,Synthetic XI — exploratorio,shot_on_target,SYN-ST20,2,0.166,Remate de SYN-ST20 detenido por el portero
54,Real Best XI — exploratorio,goal,Lionel Messi,2,0.192,GOL de Lionel Messi
56,Synthetic XI — exploratorio,shot_off_target,SYN-W120,2,0.148,Ocasión de SYN-W120 fuera
67,Real Best XI — exploratorio,shot_off_target,Pedri,3,0.209,Ocasión de Pedri fuera
67,Real Best XI — exploratorio,shot_on_target,Pedri,2,0.129,Remate de Pedri detenido por el portero
79,Real Best XI — exploratorio,shot_on_target,Michael Olise,1,0.101,Remate de Michael Olise detenido por el portero
