simulation_id,match_seed,home_team,away_team,home_goals,away_goals,total_goals,scoreline,outcome,home_xg,away_xg,total_xg,home_shots,away_shots,total_shots,home_shots_on_target,away_shots_on_target,total_shots_on_target,home_possessions,away_possessions,home_possession_share,is_zero_zero
1,3504411320,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,4,5,1-4,real_win,2.1479814012888347,2.255861245468287,4.403842646757122,12,14,26,4,9,13,52,59,0.46846846846846846,0
2,3577372289,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,3,4,1-3,real_win,1.0926660703477162,1.7444085588502656,2.837074629197982,7,9,16,2,6,8,51,54,0.4857142857142857,0
3,443315933,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,2.170606111763547,1.9126059297262195,4.083212041489767,12,11,23,3,6,9,48,71,0.40336134453781514,0
4,3978762250,Synthetic XI — exploratorio,Real Best XI — exploratorio,2,3,5,2-3,real_win,1.533744688523102,1.4368868699005637,2.9706315584236656,11,7,18,5,4,9,49,48,0.5051546391752577,0
5,2049980676,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,0.30608105072982095,1.2441772703587688,1.5502583210885899,2,7,9,2,5,7,43,51,0.4574468085106383,0
6,2198377057,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,1,2,1-1,draw,0.6643787462626725,1.028984562360832,1.6933633086235045,5,6,11,1,3,4,41,55,0.4270833333333333,0
7,859429655,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,3,3,0-3,real_win,0.7761383101695085,2.056664565846195,2.8328028760157036,6,13,19,2,9,11,60,57,0.5128205128205128,0
8,2111270835,Synthetic XI — exploratorio,Real Best XI — exploratorio,3,1,4,3-1,synthetic_win,1.8332772684288936,1.276272358894194,3.1095496273230876,12,9,21,7,5,12,59,63,0.48360655737704916,0
9,2931979461,Synthetic XI — exploratorio,Real Best XI — exploratorio,1,2,3,1-2,real_win,1.232266282496317,1.6716647013221486,2.9039309838184657,7,9,16,3,7,10,50,52,0.49019607843137253,0
10,1923142659,Synthetic XI — exploratorio,Real Best XI — exploratorio,0,2,2,0-2,real_win,1.125969831541963,1.5695755098347763,2.6955453413767394,7,10,17,1,5,6,53,42,0.5578947368421052,0
