scoreline,matches,probability
1-1,1105,0.1105
1-2,991,0.0991
0-1,883,0.0883
0-2,757,0.0757
2-1,700,0.07
1-0,621,0.0621
2-2,536,0.0536
1-3,505,0.0505
0-0,489,0.0489
0-3,486,0.0486
2-0,406,0.0406
2-3,325,0.0325
3-1,280,0.028
3-2,249,0.0249
1-4,240,0.024
3-0,183,0.0183
0-4,174,0.0174
3-3,160,0.016
2-4,152,0.0152
4-1,90,0.009
1-5,84,0.0084
4-2,76,0.0076
0-5,74,0.0074
3-4,64,0.0064
4-0,58,0.0058
2-5,55,0.0055
4-3,44,0.0044
5-1,25,0.0025
1-6,25,0.0025
0-6,21,0.0021
4-4,18,0.0018
3-5,18,0.0018
5-2,14,0.0014
5-0,12,0.0012
2-6,11,0.0011
5-3,10,0.001
6-1,9,0.0009
5-4,7,0.0007
6-0,7,0.0007
4-5,6,0.0006
3-6,6,0.0006
1-7,5,0.0005
2-7,5,0.0005
0-7,4,0.0004
7-2,1,0.0001
5-6,1,0.0001
4-6,1,0.0001
1-8,1,0.0001
2-9,1,0.0001
6-6,1,0.0001
6-4,1,0.0001
2-8,1,0.0001
7-1,1,0.0001
7-4,1,0.0001
