slot,role_group,avatar_name,members,member_names,overall,uncertainty,provisional,role_universe_size
GK,GK,SYN-GK20,20,Joan García | Uğurcan Çakır | Bart Verbruggen | Matěj Kovář | Mike Maignan | Manuel Neuer | Sipho Chaine | Diogo Costa | Gerónimo Rulli | Alisson | Lukáš Horníček | Patrick Beach | Edouard Mendy | Oliver Baumann | Yvon Mvogo | Yehvann Diouf | Robin Roefs | Dominik Kotarski | Florian Wiegele | Mory Diaw,0.7901486127523853,0.025,True,87
CB1,CB,SYN-CB120,20,Cristian Romero | Brandon Mechele | Nicolás Otamendi | David Affengruber | Ramy Bensebaini | Waldemar Anton | Gustaf Lagerbielke | Chris Richards | Jan Paul van Hecke | Çağlar Söyüncü | Emmanuel Agbadou | Ibrahima Konaté | Finn Surman | Samet Akaydın | Cameron Burgess | José María Giménez | Ronald Araújo | Willian Pacho | Marc Pubill | Dayot Upamecano,0.6808670135682318,0.025,True,178
CB2,CB,SYN-CB220,20,Cristian Romero | Brandon Mechele | Nicolás Otamendi | David Affengruber | Ramy Bensebaini | Waldemar Anton | Gustaf Lagerbielke | Chris Richards | Jan Paul van Hecke | Çağlar Söyüncü | Emmanuel Agbadou | Ibrahima Konaté | Finn Surman | Samet Akaydın | Cameron Burgess | José María Giménez | Ronald Araújo | Willian Pacho | Marc Pubill | Dayot Upamecano,0.6808670135682318,0.025,True,178
FB1,FB,SYN-FB120,20,Jaouen Hadjam | Nuno Mendes | Rayan Aït-Nouri | Jordan Bos | João Cancelo | David Raum | Francis De Vries | Alejandro Grimaldo | Joshua Kimmich | Aubrey Modiba | Alphonso Davies | Maximiliano Araújo | Achraf Hakimi | Julian Ryerson | Kamogelo Sebelebele | Kieran Tierney | Konrad Laimer | Pedro Porro | Alexander Freeman | Jules Koundé,0.652170594321431,0.025,True,137
FB2,FB,SYN-FB220,20,Jaouen Hadjam | Nuno Mendes | Rayan Aït-Nouri | Jordan Bos | João Cancelo | David Raum | Francis De Vries | Alejandro Grimaldo | Joshua Kimmich | Aubrey Modiba | Alphonso Davies | Maximiliano Araújo | Achraf Hakimi | Julian Ryerson | Kamogelo Sebelebele | Kieran Tierney | Konrad Laimer | Pedro Porro | Alexander Freeman | Jules Koundé,0.652170594321431,0.025,True,137
DM,DM,SYN-DM20,20,Elliot Anderson | İsmail Yüksek | Rodri | Moisés Caicedo | Aurélien Tchouaméni | Samir El Mourabet | João Neves | Orbelín Pineda | Andrés Cubas | Casemiro | Rodrigo Bentancur | Amadou Onana | Fabinho | Mohanad Lasheen | Manuel Ugarte | Éderson | Paul Okon-Engstler | Ibrahim Sangaré | Richard Ríos | Aníbal Godoy,0.6607604716043735,0.025,True,79
CM,CM,SYN-CM20,20,Pedri | Frenkie de Jong | Valentín Barco | Jude Bellingham | Christ Inao Oulaï | Angelo Stiller | Patrick Berg | Lamine Camara | Maximilian Arfsten | Declan Rice | Warren Zaïre-Emery | Luka Modrić | Youri Tielemans | Bruno Guimarães | Mohammed Abu Al-Shamat | Álvaro Fidalgo | In-Beom Hwang | Jhon Arias | Nikola Moro | N'Golo Kanté,0.6445548928537426,0.025,True,105
AM,AM,SYN-AM20,20,Michael Olise | Lamine Yamal | Rayan Cherki | Luis Díaz | Juan Fernando Quintero | Jérémy Doku | Bruno Fernandes | Raphinha | Relebohile Mofokeng | Orkun Kökçü | Sadio Mané | Sebastian Berhalter | Rúben Neves | Azzedine Ounahi | Riyad Mahrez | Francisco Trincão | Nadiem Amiri | Kevin De Bruyne | Hakan Çalhanoğlu | Jorge Carrascal,0.7360534648259398,0.025,True,80
W1,W,SYN-W120,20,Yan Diomande | João Félix | Vinícius Júnior | Brian Rodríguez | Désiré Doué | Martin Baturina | Kang-in Lee | Ousmane Dembélé | Kenan Yıldız | Bukayo Saka | Alexis Vega | Arda Güler | Anis Hadj Moussa | Jamal Musiala | Jens Petter Hauge | Nicolas Pépé | Akram Afif | Charles De Ketelaere | Andreas Schjelderup | James Rodríguez,0.7412743979005156,0.025,True,145
W2,W,SYN-W220,20,Yan Diomande | João Félix | Vinícius Júnior | Brian Rodríguez | Désiré Doué | Martin Baturina | Kang-in Lee | Ousmane Dembélé | Kenan Yıldız | Bukayo Saka | Alexis Vega | Arda Güler | Anis Hadj Moussa | Jamal Musiala | Jens Petter Hauge | Nicolas Pépé | Akram Afif | Charles De Ketelaere | Andreas Schjelderup | James Rodríguez,0.7412743979005156,0.025,True,145
ST,ST,SYN-ST20,20,Lionel Messi | Kylian Mbappé | Rodrigo Zalazar | Harry Kane | José López | Marcus Thuram | Ismael Saibari | Luis Javier Suárez | Anthony Gordon | Edin Džeko | Gonçalo Ramos | Lautaro Martínez | Julián Quiñones | Mikel Oyarzabal | Tomáš Chorý | Igor Matanović | Federico Viñas | Matheus Cunha | Deniz Undav | Ayase Ueda,0.7108741050593065,0.025,True,97
