slot,role_group,player_id,player_name,minutes,overall,conservative_score,provisional
GK,GK,182718,Joan García,4049.0,0.8079421091831052,0.7345997206749106,True
CB1,CB,30776,Cristian Romero,3294.0,0.7252188789855023,0.6439045391804993,True
CB2,CB,69,Brandon Mechele,5023.0,0.7063652986399228,0.6405165769294308,True
FB1,FB,271539,Jaouen Hadjam,1844.0,0.7429017480986314,0.6342220359787321,True
FB2,FB,263482,Nuno Mendes,3391.0,0.7138759733097465,0.6337330752776452,True
DM,DM,138908,Elliot Anderson,4793.0,0.7192364422105431,0.6518263031240624,True
CM,CM,133609,Pedri,3539.0,0.7512953880462353,0.6728461632552768,True
AM,AM,19617,Michael Olise,4569.0,0.8155417252731623,0.7464989311555525,True
W1,W,513776,Yan Diomande,3400.0,0.7902219804287928,0.7101852241668029,True
W2,W,583,João Félix,3478.0,0.7710985886433736,0.6919644009210307,True
ST,ST,154,Lionel Messi,2878.0,0.8408811656477813,0.753888318897692,True
