player_id,name,role,minutes,overall,build_up,progression,creation,finishing,defending,duels,retention,goalkeeping,uncertainty,synthetic
25282,Gregor Kobel,GK,600.0,0.7301543801899064,0.3976912358122432,0.3367397770211443,0.36926610110764857,0.4356061773387757,0.2617752967467193,0.3029926248776703,0.33867050399476195,0.9996646498695336,0.18,False
355994,Alexander Freeman,CB1,373.0,0.7862318143119413,0.6918273321721377,0.7796087486294728,0.6566004467539638,0.6759740511440907,0.8369468909112127,0.8834374442568314,0.6848898308458151,0.5471443325338339,0.18,False
2194,Ramy Bensebaini,CB2,360.0,0.748233939494089,0.8497638413928994,0.40225131066907693,0.36926610110764857,0.4356061773387757,0.7320133140611198,0.6394871692600697,0.7992485421623213,0.6375670412467832,0.18,False
9,Achraf Hakimi,FB1,570.0,0.7673026787720787,0.7383161262185353,0.8829616235462756,0.8945323719348299,0.6842999160589487,0.5697646710335835,0.7200890491723393,0.5901573035689145,0.5633285175005274,0.18,False
753,Marcos Llorente,FB2,193.0,0.6979336981843288,0.740505277285919,0.638256895393926,0.8522058640429577,0.4356061773387757,0.6683504004596943,0.610690528097849,0.7912260814290769,0.6580820454503127,0.18,False
44,Rodri,DM,627.0,0.711357924053768,0.8821707861121161,0.5535879092722764,0.6193279864723753,0.4356061773387757,0.6549757684372477,0.6862299785003273,0.6855967008684742,0.6451811593322435,0.18,False
1646,Lucas Paquetá,CM,236.0,0.7849004689007452,0.7844749215863663,0.8868831226034718,0.9449970217114539,0.5724825723921341,0.809224380110097,0.8251224055508796,0.5226357341428155,0.486374390192428,0.18,False
19617,Michael Olise,AM,560.0,0.7880187019420826,0.6764970930185195,0.9092261620274575,0.9252712961364874,0.6157776379963678,0.4869010635734817,0.736776852808706,0.5857050578014125,0.49224941295429137,0.18,False
48471,Rubén Vargas,W1,289.0,0.8186616403715932,0.44470829112250204,0.8780413662818652,0.9023917499308767,0.938891594862136,0.49910314822443014,0.6690038939217227,0.4974494537533852,0.2589701456045773,0.18,False
762,Vinícius Júnior,W2,441.0,0.8197451577964756,0.4703117358931088,0.9366496404215972,0.7812529007944888,0.9776938576259675,0.3426846369640546,0.656357860979071,0.5326643064019894,0.45536126082172784,0.18,False
154,Lionel Messi,ST,620.0,0.8997642147609558,0.6350989974924348,0.9789838296734102,0.9695643136879297,0.9922640001102423,0.42657226512317736,0.7877494215205244,0.6253384402528139,0.3921966056067061,0.18,False
