player_id,player_name,position_group,avatar_id
25282,Gregor Kobel,GK,SYN-GK20
3275,Ronwen Williams,GK,SYN-GK20
2482,Camilo Vargas,GK,SYN-GK20
15304,Vozinha,GK,SYN-GK20
47270,Unai Simón,GK,SYN-GK20
2682,Alireza Beiranvand,GK,SYN-GK20
7525,Alexander Schlager,GK,SYN-GK20
19172,Ørjan Nyland,GK,SYN-GK20
369,Diogo Costa,GK,SYN-GK20
732,Luca Zidane,GK,SYN-GK20
129058,Bart Verbruggen,GK,SYN-GK20
24012,Lionel Mpasi Nzau,GK,SYN-GK20
49866,Uğurcan Çakır,GK,SYN-GK20
2932,Jordan Pickford,GK,SYN-GK20
270774,Raúl Rangel,GK,SYN-GK20
280,Alisson,GK,SYN-GK20
44411,Mohammed Al-Owais,GK,SYN-GK20
2701,Yassine Bounou,GK,SYN-GK20
730,Thibaut Courtois,GK,SYN-GK20
269174,Mostafa Shobeir,GK,SYN-GK20
2194,Ramy Bensebaini,CB,SYN-CB20
355994,Alexander Freeman,CB,SYN-CB20
30776,Cristian Romero,CB,SYN-CB20
1149,Dayot Upamecano,CB,SYN-CB20
38695,Jan Paul van Hecke,CB,SYN-CB20
22224,Gabriel Magalhães,CB,SYN-CB20
257,Marquinhos,CB,SYN-CB20
69260,Pico,CB,SYN-CB20
1567,Aïssa Mandi,CB,SYN-CB20
14701,Josip Šutalo,CB,SYN-CB20
61837,Abdülkerim Bardakcı,CB,SYN-CB20
135068,Emmanuel Agbadou,CB,SYN-CB20
126949,Chris Richards,CB,SYN-CB20
25916,Moussa Niakhaté,CB,SYN-CB20
48119,Odilon Kossounou,CB,SYN-CB20
1411,Hannes Delcroix,CB,SYN-CB20
47254,Mathías Olivera,CB,SYN-CB20
204043,Arthur Theate,CB,SYN-CB20
16813,Hamdy Fathy,CB,SYN-CB20
278898,Chadi Riad,CB,SYN-CB20
9,Achraf Hakimi,FB,SYN-FB20
753,Marcos Llorente,FB,SYN-FB20
21138,Rayan Aït-Nouri,FB,SYN-FB20
280074,Nathaniel Brown,FB,SYN-FB20
502,Joshua Kimmich,FB,SYN-FB20
46601,Khuliso Mudau,FB,SYN-FB20
81,Krépin Diatta,FB,SYN-FB20
2920,Timothy Castagne,FB,SYN-FB20
47519,Pedro Porro,FB,SYN-FB20
855,João Cancelo,FB,SYN-FB20
33321,Keito Nakamura,FB,SYN-FB20
19549,Antonee Robinson,FB,SYN-FB20
24866,Douglas Santos,FB,SYN-FB20
2878,Jorge Sánchez,FB,SYN-FB20
271444,Merchas Doski,FB,SYN-FB20
310785,Mohannad Abu Taha,FB,SYN-FB20
2691,Ramin Rezaeian,FB,SYN-FB20
353808,Deveron Fonville,FB,SYN-FB20
2973,Amir Murillo,FB,SYN-FB20
36970,Sherel Constancio Floranus,FB,SYN-FB20
44,Rodri,DM,SYN-DM20
328,Fabián Ruiz,DM,SYN-DM20
22149,Ibrahim Sangaré,DM,SYN-DM20
335051,João Neves,DM,SYN-DM20
1271,Aurélien Tchouaméni,DM,SYN-DM20
409,Nabil Bentaleb,DM,SYN-DM20
271,Leandro Paredes,DM,SYN-DM20
1640,Hakan Çalhanoğlu,DM,SYN-DM20
7328,Nicolas Seiwald,DM,SYN-DM20
277003,Neil El Aynaoui,DM,SYN-DM20
128384,Vitinha,DM,SYN-DM20
49,Thomas Partey,DM,SYN-DM20
138908,Elliot Anderson,DM,SYN-DM20
2291,Mateo Kovačić,DM,SYN-DM20
1095,Xaver Schlager,DM,SYN-DM20
272,Adrien Rabiot,DM,SYN-DM20
266345,Erik Lira,DM,SYN-DM20
78,Hans Vanaken,DM,SYN-DM20
754,Luka Modrić,DM,SYN-DM20
51494,Manuel Ugarte,DM,SYN-DM20
1646,Lucas Paquetá,CM,SYN-CM20
294824,Nathan-Dylan Saliba,CM,SYN-CM20
13708,Jhon Arias,CM,SYN-CM20
201713,Sebastian Berhalter,CM,SYN-CM20
37127,Martin Ødegaard,CM,SYN-CM20
10135,Bruno Guimarães,CM,SYN-CM20
3287,Teboho Mokoena,CM,SYN-CM20
32966,Ao Tanaka,CM,SYN-CM20
19047,Juninho Bacuna,CM,SYN-CM20
35570,Stephen Eustaquio,CM,SYN-CM20
538,Frenkie de Jong,CM,SYN-CM20
2472,Rodrigo De Paul,CM,SYN-CM20
162037,Malik Tillman,CM,SYN-CM20
39064,Patrick Berg,CM,SYN-CM20
747,Casemiro,CM,SYN-CM20
1150,Tyler Adams,CM,SYN-CM20
441269,Paul Okon-Engstler,CM,SYN-CM20
1934,Sander Berge,CM,SYN-CM20
6067,Thiago Almada,CM,SYN-CM20
365331,Noah Sadiki,CM,SYN-CM20
19617,Michael Olise,AM,SYN-AM20
406244,Johan Manzambi,AM,SYN-AM20
129718,Jude Bellingham,AM,SYN-AM20
129678,Azzedine Ounahi,AM,SYN-AM20
1323,Dani Olmo,AM,SYN-AM20
629,Kevin De Bruyne,AM,SYN-AM20
348205,Petar Sučić,AM,SYN-AM20
374058,Lamine Camara,AM,SYN-AM20
380587,Ibrahim Maza,AM,SYN-AM20
474591,Christ Inao Oulaï,AM,SYN-AM20
1485,Bruno Fernandes,AM,SYN-AM20
482605,Gilberto Mora,AM,SYN-AM20
756,Federico Valverde,AM,SYN-AM20
37435,Deroy Duarte,AM,SYN-AM20
163032,Fabian Rieder,AM,SYN-AM20
50745,Jamiro Monteiro,AM,SYN-AM20
863,Rodrigo Bentancur,AM,SYN-AM20
3608,Kwasi Sibo,AM,SYN-AM20
327895,Paul Wanner,AM,SYN-AM20
762,Vinícius Júnior,W,SYN-W20
48471,Rubén Vargas,W,SYN-W20
157997,Amad Diallo,W,SYN-W20
161904,Bradley Barcola,W,SYN-W20
37724,Crysencio Summerville,W,SYN-W20
51776,Maximiliano Araújo,W,SYN-W20
1946,Leandro Trossard,W,SYN-W20
407806,Rayan,W,SYN-W20
1460,Bukayo Saka,W,SYN-W20
35532,Julián Quiñones,W,SYN-W20
2879,Roberto Alvarado,W,SYN-W20
304,Sadio Mané,W,SYN-W20
153,Ousmane Dembélé,W,SYN-W20
517,James Rodríguez,W,SYN-W20
301528,Andreas Schjelderup,W,SYN-W20
343027,Désiré Doué,W,SYN-W20
635,Riyad Mahrez,W,SYN-W20
513776,Yan Diomande,W,SYN-W20
744,Brahim Díaz,W,SYN-W20
48648,Dan Ndoye,W,SYN-W20
154,Lionel Messi,ST,SYN-ST20
278,Kylian Mbappé,ST,SYN-ST20
18979,Viktor Gyökeres,ST,SYN-ST20
1100,Erling Haaland,ST,SYN-ST20
147859,Charles De Ketelaere,ST,SYN-ST20
38750,Brian Brobbey,ST,SYN-ST20
421,Breel Embolo,ST,SYN-ST20
17,Christian Pulišić,ST,SYN-ST20
47323,Mikel Oyarzabal,ST,SYN-ST20
1942,Junya Ito,ST,SYN-ST20
1165,Matheus Cunha,ST,SYN-ST20
217,Lautaro Martínez,ST,SYN-ST20
70747,Julio Enciso,ST,SYN-ST20
184,Harry Kane,ST,SYN-ST20
2887,Raúl Jiménez,ST,SYN-ST20
15286,Mousa Tamari,ST,SYN-ST20
907,Romelu Lukaku,ST,SYN-ST20
874,Cristiano Ronaldo,ST,SYN-ST20
978,Kai Havertz,ST,SYN-ST20
138835,Folarin Balogun,ST,SYN-ST20
