simulation_id,match_seed,winner,decided_by,regulation_home_goals,regulation_away_goals,regulation_total_goals,regulation_draw,extra_time_home_goals,extra_time_away_goals,home_penalties,away_penalties,total_shots,total_shots_on_target,total_fouls,total_yellows,total_reds,total_injuries,total_substitutions
0,725017161,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,14,5,14,3,0,0,6
1,3010690006,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,21,12,13,2,0,0,6
2,3538199013,Real Best XI — exploratorio,penalties,2,2,4,True,1,1,4.0,5.0,19,10,28,4,0,2,8
3,1108111915,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,14,8,28,4,1,0,6
4,2443223768,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,15,12,20,6,2,0,6
5,1824140492,Synthetic XI — exploratorio,regulation,3,2,5,False,0,0,,,22,11,27,8,2,0,6
6,1177009516,Synthetic XI — exploratorio,regulation,3,2,5,False,0,0,,,29,14,17,3,0,0,6
7,2373962907,Real Best XI — exploratorio,regulation,1,3,4,False,0,0,,,20,12,31,5,2,1,6
8,1646904902,Synthetic XI — exploratorio,regulation,4,3,7,False,0,0,,,29,18,29,4,0,0,6
9,2014159961,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,25,15,19,8,0,1,6
10,1048503718,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,21,15,31,5,0,0,6
11,2677129096,Real Best XI — exploratorio,regulation,0,4,4,False,0,0,,,19,8,34,7,3,0,6
12,2607688704,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,21,9,25,5,1,2,6
13,3837832099,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,28,15,22,4,0,0,6
14,70494617,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,26,10,21,3,0,0,6
15,3028516100,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,20,10,17,3,1,0,6
16,1855058519,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,17,10,27,3,0,0,6
17,279080945,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,16,7,17,3,0,0,6
18,745526036,Real Best XI — exploratorio,regulation,2,4,6,False,0,0,,,18,13,23,5,0,1,6
