slot,role_group,avatar_name,members,member_names,overall,uncertainty,provisional,role_universe_size
GK,GK,SYN-GK20,20,Joan García | Uğurcan Çakır | Bart Verbruggen | Luca Zidane | Matěj Kovář | Mike Maignan | Diogo Costa | Manuel Neuer | Sipho Chaine | Gerónimo Rulli | Lukáš Horníček | Alisson | Patrick Beach | David Ospina | Edouard Mendy | Yvon Mvogo | Oliver Baumann | Camilo Vargas | Seung-gyu Kim | Mory Diaw,0.7943284624080202,0.025,True,106
CB1,CB,SYN-CB120,20,Cristian Romero | Brandon Mechele | Nicolás Otamendi | David Affengruber | Kamogelo Sebelebele | Ramy Bensebaini | Luka Vušković | Waldemar Anton | Chris Richards | Jan Paul van Hecke | Emmanuel Agbadou | Ibrahima Konaté | Çağlar Söyüncü | Gustaf Lagerbielke | Samet Akaydın | Roberto Lopes | José María Giménez | Willian Pacho | Pau Cubarsí | Ronald Araújo,0.67846311911707,0.025,True,204
CB2,CB,SYN-CB220,20,Cristian Romero | Brandon Mechele | Nicolás Otamendi | David Affengruber | Kamogelo Sebelebele | Ramy Bensebaini | Luka Vušković | Waldemar Anton | Chris Richards | Jan Paul van Hecke | Emmanuel Agbadou | Ibrahima Konaté | Çağlar Söyüncü | Gustaf Lagerbielke | Samet Akaydın | Roberto Lopes | José María Giménez | Willian Pacho | Pau Cubarsí | Ronald Araújo,0.67846311911707,0.025,True,204
FB1,FB,SYN-FB120,20,Jaouen Hadjam | Nuno Mendes | Rayan Aït-Nouri | Jordan Bos | João Cancelo | David Raum | Francis De Vries | Alejandro Grimaldo | Joshua Kimmich | Aubrey Modiba | Maximiliano Araújo | Alphonso Davies | Achraf Hakimi | Mateo Chávez | Elliot Stroud | Alexander Freeman | Julian Ryerson | Konrad Laimer | Pedro Porro | Jules Koundé,0.6532129537397404,0.025,True,158
FB2,FB,SYN-FB220,20,Jaouen Hadjam | Nuno Mendes | Rayan Aït-Nouri | Jordan Bos | João Cancelo | David Raum | Francis De Vries | Alejandro Grimaldo | Joshua Kimmich | Aubrey Modiba | Maximiliano Araújo | Alphonso Davies | Achraf Hakimi | Mateo Chávez | Elliot Stroud | Alexander Freeman | Julian Ryerson | Konrad Laimer | Pedro Porro | Jules Koundé,0.6532129537397404,0.025,True,158
DM,DM,SYN-DM20,20,Elliot Anderson | İsmail Yüksek | Rodri | Moisés Caicedo | Andrés Cubas | Paul Okon-Engstler | Orbelín Pineda | Lamine Camara | Aurélien Tchouaméni | Samir El Mourabet | João Neves | Kevin Felida | Casemiro | Rodrigo Bentancur | Amadou Onana | Fabinho | Zidane Iqbal | Aníbal Godoy | Mohanad Lasheen | Jin-seob Park,0.6632932124902085,0.025,True,92
CM,CM,SYN-CM20,20,Pedri | Leandro Paredes | Frenkie de Jong | Valentín Barco | Christ Inao Oulaï | Jude Bellingham | Angelo Stiller | Patrick Berg | Maximilian Arfsten | Cristian Roldán | Declan Rice | Warren Zaïre-Emery | Luka Modrić | Federico Valverde | Youri Tielemans | Bruno Guimarães | Mohammed Abu Al-Shamat | Álvaro Fidalgo | In-Beom Hwang | Caleb Yirenkyi,0.6484433575806121,0.025,True,122
AM,AM,SYN-AM20,20,Michael Olise | Lamine Yamal | Rayan Cherki | Luis Díaz | Jérémy Doku | Juan Fernando Quintero | Bruno Fernandes | Raphinha | Relebohile Mofokeng | Orkun Kökçü | Sadio Mané | Sebastian Berhalter | Rúben Neves | Azzedine Ounahi | Riyad Mahrez | Francisco Trincão | Besfort Zeneli | Nadiem Amiri | Kevin De Bruyne | Hakan Çalhanoğlu,0.7346637266317665,0.025,True,93
W1,W,SYN-W120,20,Lionel Messi | Yan Diomande | João Félix | Vinícius Júnior | Brian Rodríguez | John Yeboah | Désiré Doué | Alexis Vega | Neymar | Martin Baturina | Ayoube Amaimouni Echghouyab | Kang-in Lee | Ousmane Dembélé | Heung-min Son | Kenan Yıldız | Bukayo Saka | Arda Güler | Anis Hadj Moussa | Jamal Musiala | Nico Paz,0.753187490634605,0.025,True,164
W2,W,SYN-W220,20,Lionel Messi | Yan Diomande | João Félix | Vinícius Júnior | Brian Rodríguez | John Yeboah | Désiré Doué | Alexis Vega | Neymar | Martin Baturina | Ayoube Amaimouni Echghouyab | Kang-in Lee | Ousmane Dembélé | Heung-min Son | Kenan Yıldız | Bukayo Saka | Arda Güler | Anis Hadj Moussa | Jamal Musiala | Nico Paz,0.753187490634605,0.025,True,164
ST,ST,SYN-ST20,20,Kylian Mbappé | Harry Kane | Rodrigo Zalazar | José López | Marcus Thuram | Ismael Saibari | Luis Javier Suárez | Jeremy Arevalo | Anthony Gordon | Mehdi Taremi | Edin Džeko | Gonçalo Ramos | Lautaro Martínez | Julián Quiñones | Jhon Córdoba | Mikel Oyarzabal | Tomáš Chorý | Federico Viñas | Igor Matanović | Deniz Undav,0.7098126246201232,0.025,True,111
