simulation_id,match_seed,winner,decided_by,regulation_home_goals,regulation_away_goals,regulation_total_goals,regulation_draw,extra_time_home_goals,extra_time_away_goals,home_penalties,away_penalties,total_shots,total_shots_on_target,total_fouls,total_yellows,total_yellows_raw,total_second_yellows,total_reds,total_injuries,total_substitutions
0,725017161,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,17,6,16,2,2,0,0,0,10
1,3010690006,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,20,10,10,2,2,0,0,0,10
2,3538199013,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,18,8,24,1,1,0,0,1,10
3,1108111915,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,15,10,23,4,5,1,1,0,10
4,2443223768,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,14,7,17,4,4,0,1,0,10
5,1824140492,Synthetic XI — exploratorio,regulation,4,2,6,False,0,0,,,20,11,25,7,8,1,1,0,10
6,1177009516,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,32,12,18,3,3,0,0,0,10
7,2373962907,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,23,12,31,3,4,1,1,1,10
8,1646904902,Synthetic XI — exploratorio,regulation,5,3,8,False,0,0,,,32,19,30,7,7,0,0,0,10
9,2014159961,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,26,12,16,7,7,0,0,1,10
10,1048503718,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,20,14,34,6,6,0,0,0,10
11,2677129096,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,22,9,36,6,6,0,1,1,10
12,2607688704,Real Best XI — exploratorio,extra_time,1,1,2,True,0,2,,,20,10,32,5,5,0,1,2,12
13,3837832099,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,26,16,21,1,1,0,0,0,10
14,70494617,Real Best XI — exploratorio,penalties,1,1,2,True,1,1,4.0,5.0,23,10,32,6,7,1,1,0,12
15,3028516100,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,21,15,19,5,5,0,1,0,10
16,1855058519,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,17,8,25,1,1,0,0,0,10
17,279080945,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,14,3,19,4,4,0,0,0,10
18,745526036,Real Best XI — exploratorio,regulation,2,4,6,False,0,0,,,16,13,25,7,7,0,0,1,10
19,2629925947,Synthetic XI — exploratorio,regulation,3,0,3,False,0,0,,,18,13,36,8,9,1,2,1,10
20,2442039896,Real Best XI — exploratorio,regulation,2,3,5,False,0,0,,,13,9,20,7,8,1,1,0,10
21,3612324068,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,23,8,22,5,5,0,0,0,10
22,3491319937,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,12,4,20,5,5,0,0,0,10
23,569006047,Synthetic XI — exploratorio,regulation,2,0,2,False,0,0,,,19,8,19,3,4,1,1,0,10
24,3345269992,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,14,4,28,7,8,1,1,0,10
25,3474043224,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,12,7,12,3,3,0,0,0,10
26,880599917,Real Best XI — exploratorio,penalties,0,0,0,True,0,0,2.0,4.0,17,4,27,10,11,1,1,0,12
27,2346292844,Real Best XI — exploratorio,penalties,0,0,0,True,1,1,4.0,5.0,14,5,36,6,7,1,1,0,12
28,1930240553,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,10,7,23,4,4,0,0,1,10
29,3944713814,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,23,14,27,4,4,0,0,0,10
30,3053320015,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,22,12,27,6,6,0,0,1,10
31,4009460698,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,18,9,13,3,3,0,0,0,10
32,3855195633,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,16,9,27,8,9,1,1,0,10
33,765491271,Synthetic XI — exploratorio,regulation,2,1,3,False,0,0,,,17,10,25,5,5,0,0,1,10
34,1264906959,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,21,9,29,7,9,2,2,1,10
35,1728378126,Real Best XI — exploratorio,regulation,0,3,3,False,0,0,,,19,11,27,5,6,1,1,0,10
36,2614278374,Synthetic XI — exploratorio,penalties,3,3,6,True,0,0,5.0,2.0,32,12,24,4,4,0,0,0,12
37,3155383482,Synthetic XI — exploratorio,penalties,1,1,2,True,0,0,5.0,3.0,14,8,30,5,5,0,0,1,12
38,3059522360,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,18,10,17,2,2,0,0,0,10
39,401364280,Synthetic XI — exploratorio,penalties,2,2,4,True,1,1,4.0,2.0,18,11,21,4,4,0,0,0,12
40,48134167,Synthetic XI — exploratorio,regulation,4,2,6,False,0,0,,,18,13,17,3,3,0,0,1,10
41,1494797581,Synthetic XI — exploratorio,penalties,0,0,0,True,0,0,4.0,3.0,17,6,44,7,8,1,2,1,12
42,2549071758,Real Best XI — exploratorio,regulation,0,2,2,False,0,0,,,27,14,14,0,0,0,0,0,10
43,1330026112,Real Best XI — exploratorio,regulation,0,5,5,False,0,0,,,24,12,26,4,5,1,1,0,10
44,3478989632,Synthetic XI — exploratorio,regulation,3,1,4,False,0,0,,,15,13,11,1,1,0,0,0,10
45,2046728640,Real Best XI — exploratorio,regulation,1,2,3,False,0,0,,,17,10,29,7,7,0,0,0,10
46,3743398296,Real Best XI — exploratorio,regulation,0,1,1,False,0,0,,,15,6,31,6,6,0,0,0,10
47,397333815,Synthetic XI — exploratorio,regulation,1,0,1,False,0,0,,,21,9,22,4,4,0,0,0,10
48,876204293,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,24,14,21,3,3,0,0,0,10
49,1436572587,Real Best XI — exploratorio,extra_time,1,1,2,True,0,1,,,18,7,26,5,5,0,0,0,12
50,692474312,Real Best XI — exploratorio,regulation,1,4,5,False,0,0,,,20,9,30,4,5,1,1,0,10
51,484257685,Synthetic XI — exploratorio,penalties,0,0,0,True,0,0,9.0,8.0,22,8,17,3,3,0,0,0,12
