role,reference_candidate,alternative_candidate,metric,reference_mean,alternative_mean,alternative_minus_reference
GK,J. Garcia,L. Hornicek,synthetic_win_probability,0.250390625,0.2514843749999999,0.001093749999999949
GK,J. Garcia,L. Hornicek,draw_probability,0.2421875,0.24210937499999996,-7.812500000003997e-05
GK,J. Garcia,L. Hornicek,real_win_probability,0.5074218749999999,0.50640625,-0.0010156249999999645
GK,J. Garcia,L. Hornicek,goal_difference,-0.58875,-0.5850781249999999,0.003671875000000102
GK,J. Garcia,L. Hornicek,xg_difference,-0.6108658198801926,-0.6068439960456786,0.004021823834513993
GK,J. Garcia,L. Hornicek,synthetic_possession_share,0.48216481500163905,0.48217445723641283,9.642234773787894e-06
RB,D. Raum,J. Hadjam,synthetic_win_probability,0.26312499999999994,0.23874999999999996,-0.02437499999999998
RB,D. Raum,J. Hadjam,draw_probability,0.23570312499999996,0.24859375,0.012890625000000044
RB,D. Raum,J. Hadjam,real_win_probability,0.501171875,0.51265625,0.011484374999999991
RB,D. Raum,J. Hadjam,goal_difference,-0.5496875,-0.6241406249999999,-0.0744531249999999
RB,D. Raum,J. Hadjam,xg_difference,-0.5670460630608297,-0.6506637528650414,-0.08361768980421169
RB,D. Raum,J. Hadjam,synthetic_possession_share,0.48249211371730727,0.48184715852074467,-0.0006449551965626021
AM,J. Quintero,W. Semedo,synthetic_win_probability,0.2548437499999999,0.24703124999999998,-0.0078124999999999445
AM,J. Quintero,W. Semedo,draw_probability,0.24593749999999998,0.23835937499999998,-0.007578124999999991
AM,J. Quintero,W. Semedo,real_win_probability,0.49921875,0.514609375,0.015390625000000047
AM,J. Quintero,W. Semedo,goal_difference,-0.558203125,-0.6156249999999999,-0.057421874999999845
AM,J. Quintero,W. Semedo,xg_difference,-0.5804243748952279,-0.6372854410306432,-0.056861066135415306
AM,J. Quintero,W. Semedo,synthetic_possession_share,0.48405787890006574,0.48028139333798614,-0.003776485562079601
